,Field,Type,Null,Key,Default,Extra
0,systemid,int(10),NO,PRI,,
1,zoning,varchar(100),YES,,,
2,type,varchar(21),YES,,,
3,acreage,"decimal(18,2)",YES,,,
4,activation_date,date,YES,,,
5,addendum,text,YES,,,
6,additional_document1_amt,int(10),YES,,,
7,additional_document1_type,varchar(50),YES,,,
8,additional_document2_amt,int(10),YES,,,
9,additional_document2_type,varchar(50),YES,,,
10,additional_documents_yn,varchar(10),YES,,,
11,address,varchar(100),YES,,,
12,address_direction,varchar(2),YES,,,
13,address_number,varchar(15),YES,,,
14,address_search_number,int(10),YES,,,
15,address_street,varchar(50),YES,,,
16,advertisingmarketing_yn,varchar(10),YES,,,
17,agent,int(10),YES,MUL,,
18,agent_remarks,text,YES,,,
19,alt_mlsnum,varchar(50),YES,,,
20,area_municipality,varchar(31),YES,,,
21,asking_price,int(10),YES,MUL,,
22,assessments_amount,"decimal(18,2)",YES,,,
23,assessments_yn,varchar(10),YES,,,
24,associated_document_count,int(10),YES,,,
25,association_name,varchar(50),YES,,,
26,at_ski_resort_yn,varchar(3),YES,,,
27,ba_comp_description,varchar(30),YES,,,
28,ba_compensation_amount,"decimal(18,2)",YES,,,
29,ba_compensation_type,varchar(16),YES,,,
30,ba_compensation_yn,varchar(10),YES,,,
31,back_on_market_date,date,YES,,,
32,below_grade_lavatory,int(10),YES,,,
33,board_confirmed,varchar(14),YES,,,
34,body_of_water,varchar(25),YES,,,
35,branded_virtual_tour,text,YES,,,
36,broker_exclusive,varchar(10),YES,,,
37,cancel_date,date,YES,,,
38,certification_date,date,YES,,,
39,class,varchar(25),YES,,,
40,closing_date,date,YES,,,
41,colist_agent,int(10),YES,MUL,,
42,colist_office,int(10),YES,,,
43,concession_amount,"decimal(18,2)",YES,,,
44,concessions_comment,varchar(50),YES,,,
45,contract,varchar(26),YES,,,
46,cosell_agent,int(10),YES,,,
47,cosell_office,int(10),YES,,,
48,county,varchar(14),YES,,,
49,county__municipality,varchar(100),YES,,,
50,cross_street_1,varchar(25),YES,,,
51,cross_street_2,varchar(25),YES,,,
52,cumulative_dom,int(10),YES,,,
53,cumulative_domls,int(10),YES,,,
54,cure_selling_agent_1,varchar(50),YES,,,
55,cure_selling_agent_2,varchar(50),YES,,,
56,cure_selling_office_1,varchar(50),YES,,,
57,cure_selling_office_2,varchar(50),YES,,,
58,directions,varchar(1564),YES,,,
59,doc_timestamp,datetime,YES,,,
60,dom,int(10),YES,,,
61,domls,int(10),YES,,,
62,encroachment_yn,varchar(3),YES,,,
63,expiration_date,date,YES,,,
64,financial_terms,varchar(199),YES,,,
65,fips,varchar(10),YES,,,
66,fips_entity,varchar(5),YES,,,
67,first_photo_add_timestamp,datetime,YES,,,
68,flood_insurance,varchar(12),YES,,,
69,flood_plain,varchar(8),YES,,,
70,frontage,int(10),YES,,,
71,frontage_type,varchar(11),YES,,,
72,full_addresses,varchar(100),YES,,,
73,full_service_listing_yn,varchar(10),YES,,,
74,geo_address_line,varchar(255),YES,,,
75,geo_latitude,"decimal(18,15)",YES,,,
76,geo_longitude,"decimal(19,15)",YES,,,
77,geo_match_code,smallint(3),YES,,,
78,geo_matched_method,smallint(3),YES,,,
79,geo_postal_code,varchar(10),YES,,,
80,geo_primary_city,varchar(100),YES,,,
81,geo_quality,"decimal(12,8)",YES,,,
82,geo_secondary_city,varchar(100),YES,,,
83,geo_subdivision,varchar(2),YES,,,
84,geo_update_timestamp,datetime,YES,,,
85,geo_zoom_level,"decimal(2,0)",YES,,,
86,handle_incmg_inquiries_yn,varchar(10),YES,,,
87,hotsheet_date,date,YES,,,
88,how_sold,varchar(21),YES,,,
89,idx_automated_valuation,varchar(3),YES,,,
90,idx_consumer_comment,varchar(3),YES,,,
91,idx_include,varchar(19),YES,,,
92,incmg_inquiries_contact,varchar(50),YES,,,
93,incmg_inquiries_exp_date,date,YES,,,
94,incmg_inquiries_phone,varchar(10),YES,,,
95,incmg_inquiries_title,varchar(25),YES,,,
96,input_date,datetime,YES,,,
97,insp_cmpl_for_wellseptic,varchar(10),YES,,,
98,la1agent_address2,varchar(50),YES,,,
99,la1agent_address_street_name,varchar(51),YES,,,
100,la1agent_city,varchar(50),YES,,,
101,la1agent_email,varchar(50),YES,,,
102,la1agent_first_name,varchar(50),YES,,,
103,la1agent_idx_pin,int(10),YES,,,
104,la1agent_last_name,varchar(50),YES,,,
105,la1agent_license_id,varchar(25),YES,,,
106,la1agent_logon_name,varchar(20),YES,,,
107,la1agent_middle_initial,varchar(1),YES,,,
108,la1agent_phone1_countryid,varchar(28),YES,,,
109,la1agent_phone1_description,varchar(10),YES,,,
110,la1agent_phone1_extension,varchar(5),YES,,,
111,la1agent_phone1_number,varchar(30),YES,,,
112,la1agent_phone2_countryid,varchar(28),YES,,,
113,la1agent_phone2_description,varchar(10),YES,,,
114,la1agent_phone2_extension,varchar(5),YES,,,
115,la1agent_phone2_number,varchar(30),YES,,,
116,la1agent_phone3_countryid,varchar(28),YES,,,
117,la1agent_phone3_description,varchar(10),YES,,,
118,la1agent_phone3_extension,varchar(5),YES,,,
119,la1agent_phone3_number,varchar(30),YES,,,
120,la1agent_phone4_countryid,varchar(28),YES,,,
121,la1agent_phone4_description,varchar(10),YES,,,
122,la1agent_phone4_extension,varchar(5),YES,,,
123,la1agent_phone4_number,varchar(30),YES,,,
124,la1agent_phone5_countryid,varchar(28),YES,,,
125,la1agent_phone5_description,varchar(10),YES,,,
126,la1agent_phone5_extension,varchar(5),YES,,,
127,la1agent_phone5_number,varchar(30),YES,,,
128,la1agent_state,varchar(2),YES,,,
129,la1agent_status,varchar(13),YES,,,
130,la1agent_subscriptions,varchar(50),YES,,,
131,la1agent_termination_date,date,YES,,,
132,la1agent_type,varchar(24),YES,,,
133,la1agent_url,varchar(80),YES,,,
134,la1agent_zip,varchar(20),YES,,,
135,la1duplicate_replacement_id,varchar(100),YES,,,
136,la1mirex_agent_key,varchar(50),YES,,,
137,la1mirex_board_verified,date,YES,,,
138,la1mirex_office_key,varchar(50),YES,,,
139,la1new_agent_date,date,YES,,,
140,la1notes,varchar(255),YES,,,
141,la1orientation_class_date,date,YES,,,
142,la1original_agent_id,varchar(20),YES,,,
143,la1originating_database,varchar(10),YES,,,
144,la1rco_matrix_unique_id,varchar(50),YES,,,
145,la1trial_activation,date,YES,,,
146,la1user_code,varchar(20),YES,,,
147,la2agent_address2,varchar(50),YES,,,
148,la2agent_address_street_name,varchar(50),YES,,,
149,la2agent_city,varchar(50),YES,,,
150,la2agent_email,varchar(50),YES,,,
151,la2agent_first_name,varchar(50),YES,,,
152,la2agent_idx_pin,int(10),YES,,,
153,la2agent_last_name,varchar(50),YES,,,
154,la2agent_middle_initial,varchar(1),YES,,,
155,la2agent_phone1_countryid,varchar(28),YES,,,
156,la2agent_phone1_description,varchar(10),YES,,,
157,la2agent_phone1_extension,varchar(5),YES,,,
158,la2agent_phone1_number,varchar(30),YES,,,
159,la2agent_phone2_countryid,varchar(28),YES,,,
160,la2agent_phone2_description,varchar(10),YES,,,
161,la2agent_phone2_extension,varchar(5),YES,,,
162,la2agent_phone2_number,varchar(30),YES,,,
163,la2agent_phone3_countryid,varchar(28),YES,,,
164,la2agent_phone3_description,varchar(10),YES,,,
165,la2agent_phone3_extension,varchar(5),YES,,,
166,la2agent_phone3_number,varchar(30),YES,,,
167,la2agent_phone4_countryid,varchar(28),YES,,,
168,la2agent_phone4_description,varchar(10),YES,,,
169,la2agent_phone4_extension,varchar(5),YES,,,
170,la2agent_phone4_number,varchar(30),YES,,,
171,la2agent_phone5_countryid,varchar(28),YES,,,
172,la2agent_phone5_description,varchar(10),YES,,,
173,la2agent_phone5_extension,varchar(5),YES,,,
174,la2agent_phone5_number,varchar(30),YES,,,
175,la2agent_state,varchar(2),YES,,,
176,la2agent_status,varchar(13),YES,,,
177,la2agent_subscriptions,varchar(50),YES,,,
178,la2agent_termination_date,date,YES,,,
179,la2agent_type,varchar(24),YES,,,
180,la2agent_url,varchar(80),YES,,,
181,la2agent_zip,varchar(20),YES,,,
182,la2duplicate_replacement_id,varchar(100),YES,,,
183,la2mirex_agent_key,varchar(50),YES,,,
184,la2mirex_board_verified,date,YES,,,
185,la2mirex_office_key,varchar(50),YES,,,
186,la2new_agent_date,date,YES,,,
187,la2notes,varchar(255),YES,,,
188,la2orientation_class_date,date,YES,,,
189,la2original_agent_id,varchar(20),YES,,,
190,la2originating_database,varchar(10),YES,,,
191,la2rco_matrix_unique_id,varchar(50),YES,,,
192,la2trial_activation,date,YES,,,
193,la2user_code,varchar(20),YES,,,
194,lc_down_payment,"decimal(18,2)",YES,,,
195,lc_includes_taxesins_yn,varchar(10),YES,,,
196,lc_interest_rate,"decimal(18,2)",YES,,,
197,lc_monthly_payment,"decimal(18,2)",YES,,,
198,lc_terms_months,smallint(5),YES,,,
199,lease_yn,varchar(10),YES,,,
200,legal_water_access_only,varchar(13),YES,,,
201,listing_broker_sign_yn,varchar(10),YES,,,
202,listing_date,date,YES,,,
203,listing_exception_yn,varchar(10),YES,,,
204,listing_office,int(10),YES,,,
205,listing_services_offered,varchar(500),YES,,,
206,listing_visibility_type,varchar(21),YES,,,
207,lo1board_id,varchar(49),YES,,,
208,lo1broker_name_attended,varchar(50),YES,,,
209,lo1broker_welcome_date,date,YES,,,
210,lo1corporate_license,varchar(50),YES,,,
211,lo1dmca,varchar(6),YES,,,
212,lo1duplicate_replacement_id,varchar(50),YES,,,
213,lo1firm_groupid,varchar(50),YES,,,
214,lo1main_office_id,int(10),YES,,,
215,lo1mirex_office_key,varchar(50),YES,,,
216,lo1notes,varchar(255),YES,,,
217,lo1offce_address_street_name,varchar(51),YES,,,
218,lo1office_abbreviation,varchar(25),YES,,,
219,lo1office_address2,varchar(50),YES,,,
220,lo1office_city,varchar(50),YES,,,
221,lo1office_email,varchar(50),YES,,,
222,lo1office_groupid,varchar(50),YES,,,
