,Field,Type,Null,Key,Default,Extra
0,Matrix_Unique_ID,bigint(19),NO,PRI,,
1,ACPercentage,int(11),YES,,,
2,ADOM,int(11),YES,,,
3,AVM,tinyint(1),YES,,,
4,AccountingandLegalExpens,int(11),YES,,,
5,AcreageDescription,varchar(32),YES,,,
6,AdditionalFurnishedInfo,varchar(32),YES,,,
7,AddlMoveInCostYN,tinyint(1),YES,,,
8,AddressInternetDisplay,varchar(80),YES,,,
9,AddressonInternet,tinyint(1),YES,,,
10,AdvertisingExpenses,int(11),YES,,,
11,AgentAlternatePhone,varchar(15),YES,,,
12,AgentLicenseNum,varchar(25),YES,,,
13,AgentsOfficeExtension,varchar(6),YES,,,
14,Amenities,text,YES,,,
15,ApplicationFee,int(11),YES,,,
16,ApprovalInformation,text,YES,,,
17,ApproximateLotSize,varchar(24),YES,,,
18,Area,varchar(47),YES,,,
19,AssocFeePaidPer,varchar(32),YES,,,
20,AssociationFee,int(11),YES,,,
21,AssumableYN,tinyint(1),YES,,,
22,AvailableDate,datetime,YES,,,
23,AvailableDocuments,text,YES,,,
24,BalconyPorchandorPatioYN,tinyint(1),YES,,,
25,BathsFull,int(11),YES,,,
26,BathsHalf,int(11),YES,,,
27,BedroomDescription,text,YES,,,
28,BedsTotal,int(11),YES,MUL,,
29,Blogging,tinyint(1),YES,,,
30,BoardIdentifier,varchar(32),YES,,,
31,BoatDockAccommodates,varchar(32),YES,,,
32,BrokerRemarks,varchar(765),YES,,,
33,BuildingIncludes,text,YES,,,
34,BuildingNameNumber,varchar(30),YES,,,
35,CableAvailableYN,tinyint(1),YES,,,
36,CarportDescription,varchar(32),YES,,,
37,CeilingDescription,text,YES,,,
38,City,varchar(40),YES,MUL,,
39,CloseDate,date,YES,,,
40,ClosePrice,"decimal(16,2)",YES,,,
41,CoAgentLicenseNum,varchar(25),YES,,,
42,CoListAgentDirectWorkPhone,varchar(50),YES,,,
43,CoListAgentEmail,varchar(80),YES,,,
44,CoListAgentFullName,varchar(150),YES,,,
45,CoListAgentMLSID,varchar(25),YES,MUL,,
46,CoListAgent_MUI,bigint(19),YES,,,
47,CoListOfficeMLSID,varchar(25),YES,,,
48,CoListOfficeName,varchar(50),YES,,,
49,CoListOfficePhone,varchar(50),YES,,,
50,CoListOffice_MUI,bigint(19),YES,,,
51,CoSellAgentLicenseNum,varchar(25),YES,,,
52,CoSellingAgentDirectWorkPhone,varchar(50),YES,,,
53,CoSellingAgentEmail,varchar(80),YES,,,
54,CoSellingAgentFullName,varchar(150),YES,,,
55,CoSellingAgentMLSID,varchar(25),YES,,,
56,CoSellingAgent_MUI,bigint(19),YES,,,
57,CoSellingOfficeMLSID,varchar(25),YES,,,
58,CoSellingOfficeName,varchar(50),YES,,,
59,CoSellingOfficePhone,varchar(50),YES,,,
60,CoSellingOffice_MUI,bigint(19),YES,,,
61,ColumnDescription,varchar(32),YES,,,
62,CommonAreaMaintAmount,"decimal(11,4)",YES,,,
63,CommonAreaMaintIncludes,text,YES,,,
64,ComplexName,varchar(25),YES,,,
65,ComprehensivePlanUse,text,YES,,,
66,ComptoBuyersAgent,varchar(8),YES,,,
67,ComptoNonRepresentative,varchar(8),YES,,,
68,ComptoTransactionBroker,varchar(8),YES,,,
69,ConstructionType,text,YES,,,
70,ConvertibleBedroomYN,tinyint(1),YES,,,
71,CoolingDescription,text,YES,,,
72,CountyLandCode,varchar(4),YES,,,
73,CountyOrParish,varchar(32),YES,,,
74,DOM,int(11),YES,,,
75,DXORIGLPID,varchar(30),YES,,,
76,DXORIGMLNO,varchar(30),YES,,,
77,DXORIGMLSID,varchar(3),YES,,,
78,DXORIGOFFCODE,varchar(30),YES,,,
79,DadeAssessedAmtSOHValue,int(11),YES,,,
80,DadeMarketAmtAssessedAmt,int(11),YES,,,
81,DeedRestrictions,text,YES,,,
82,DenDimensions,varchar(5),YES,,,
83,DepositInformation,text,YES,,,
84,Design,text,YES,,,
85,DesignDescription,text,YES,,,
86,Development,text,YES,,,
87,DevelopmentName,varchar(20),YES,,,
88,DiningAreaDimensions,varchar(5),YES,,,
89,DiningDescription,text,YES,,,
90,DiningRoomDimensions,varchar(5),YES,,,
91,Directions,varchar(255),YES,,,
92,DockHeight,int(11),YES,,,
93,DockInformation,text,YES,,,
94,DoorHeight,varchar(32),YES,,,
95,EaveHeight,"decimal(11,4)",YES,,,
96,EfficiencyYN,tinyint(1),YES,,,
97,ElectricService,text,YES,,,
98,ElementarySchool,varchar(37),YES,,,
99,ElevationAboveSeaLevel,varchar(32),YES,,,
100,EnvironmentalAudit,varchar(32),YES,,,
101,EquipmentAppliances,text,YES,,,
102,ExpInclAcctgLegalYN,tinyint(1),YES,,,
103,ExpInclAdvLicPermitYN,tinyint(1),YES,,,
104,ExpInclElectricYN,tinyint(1),YES,,,
105,ExpInclExterminationYN,tinyint(1),YES,,,
106,ExpInclGasOilYN,tinyint(1),YES,,,
107,ExpInclInsuranceYN,tinyint(1),YES,,,
108,ExpInclJanitorYN,tinyint(1),YES,,,
109,ExpInclLawnMaintenanceYN,tinyint(1),YES,,,
110,ExpInclMaintandRepairYN,tinyint(1),YES,,,
111,ExpInclManagementYN,tinyint(1),YES,,,
112,ExpInclMiscellaneousYN,tinyint(1),YES,,,
113,ExpInclPoolServiceYN,tinyint(1),YES,,,
