,Field,Type,Null,Key,Default,Extra
0,ListingId,varchar(30),NO,PRI,,
1,MlsNumber,varchar(30),YES,MUL,,
2,PropertyType,varchar(100),YES,,,
3,Price,int(11),YES,MUL,,
4,StreetAddress,varchar(100),YES,,,
5,City,varchar(50),YES,MUL,,
6,State,varchar(20),YES,,,
7,Zip,varchar(20),YES,,,
8,Bedrooms,float,YES,MUL,,
9,Bathrooms,float,YES,,,
10,FullBathrooms,float,YES,,,
11,HalfBathrooms,float,YES,,,
12,LivingArea,int(11),YES,MUL,,
13,ListingAgentEmail1,varchar(255),YES,,,
14,ListingAgentEmail2,varchar(255),YES,,,
15,ListingAgentMlsId,varchar(30),YES,MUL,,
16,PictureURL,varchar(255),YES,,,
17,ListingUrl,varchar(255),YES,,,
18,ListDate,date,YES,,,
19,added_timestamp,timestamp,NO,,CURRENT_TIMESTAMP,
20,GeoOverride,int(11),NO,MUL,0,
21,GeoCacheV2Id,int(11),YES,,,
22,GeoAddress,varchar(100),YES,,,
23,GeoCity,varchar(50),YES,,,
24,GeoState,varchar(14),YES,,,
25,GeoZipCode,varchar(10),YES,,,
26,GeoLat,"float(20,8)",YES,,,
27,GeoLon,"float(20,8)",YES,,,
28,GeoTimestamp,datetime,YES,,,
29,PriceDropDate,datetime,YES,,,
30,PriceDropFrom,int(8),YES,,,
31,PictureLastDownloadedTimestamp,datetime,YES,MUL,,
32,PictureDownloaded,int(11),NO,MUL,0,
33,PictureDownloadedCount,smallint(4),YES,,,
34,HasPictures,tinyint(2),NO,,0,
35,HoursUntilNextRetry,int(11),YES,,,
