,Field,Type,Null,Key,Default,Extra
0,internal_listing_id,varchar(26),NO,PRI,,
1,absolute_longitude,"decimal(11,6)",YES,,,
2,agent_days_on_market,varchar(7),YES,,,
3,agent_id,varchar(26),YES,,,
4,agent_interest,varchar(100),YES,,,
5,bac,"decimal(11,2)",YES,,,
6,bac_type,varchar(100),YES,,,
7,back_on_market_timestamp,datetime,YES,,,
8,buyer_name,varchar(30),YES,,,
9,cancel_date,date,YES,,,
10,city,varchar(100),YES,MUL,,
11,colist_agent_id,varchar(26),YES,,,
12,colist_office_id,varchar(26),YES,,,
13,colistingmemberaddress,varchar(150),YES,,,
14,colistingmemberemail,varchar(150),YES,,,
15,colistingmemberfax,varchar(15),YES,,,
16,colistingmembername,varchar(122),YES,,,
17,colistingmemberphone,varchar(25),YES,,,
18,colistingmembershortid,varchar(15),YES,MUL,,
19,colistingmemberurl,varchar(150),YES,,,
20,colistingofficeaddress,varchar(150),YES,,,
21,colistingofficeemail,varchar(150),YES,,,
22,colistingofficefax,varchar(15),YES,,,
23,colistingofficename,varchar(150),YES,,,
24,colistingofficephone,varchar(25),YES,,,
25,colistingofficeshortid,varchar(15),YES,,,
26,colistingofficeurl,varchar(150),YES,,,
27,concessions,varchar(120),YES,,,
28,contingent,varchar(100),YES,,,
29,contingent_remarks,varchar(20),YES,,,
30,coselling_agency_id,varchar(26),YES,,,
31,coselling_agent_id,varchar(26),YES,,,
32,cosellingmemberaddress,varchar(150),YES,,,
33,cosellingmemberemail,varchar(150),YES,,,
34,cosellingmemberfax,varchar(15),YES,,,
35,cosellingmembername,varchar(122),YES,,,
36,cosellingmemberphone,varchar(25),YES,,,
37,cosellingmembershortid,varchar(15),YES,,,
38,cosellingmemberurl,varchar(150),YES,,,
39,cosellingofficeaddress,varchar(150),YES,,,
40,cosellingofficeemail,varchar(150),YES,,,
41,cosellingofficefax,varchar(15),YES,,,
42,cosellingofficename,varchar(150),YES,,,
43,cosellingofficephone,varchar(25),YES,,,
44,cosellingofficeshortid,varchar(15),YES,,,
45,cosellingofficeurl,varchar(150),YES,,,
46,directions,varchar(400),YES,,,
47,display_on_public_websites,varchar(1),YES,,,
48,document_count,int(11),YES,,,
49,document_timestamp,datetime,YES,,,
50,documents,varchar(100),YES,,,
51,entry_timestamp,datetime,YES,,,
52,exp_date,date,YES,,,
53,exterior_amenities,varchar(228),YES,,,
