,Field,Type,Null,Key,Default,Extra
0,AccessibilityFeatures,varchar(190),YES,,,
1,AccessibilityYN,tinyint(1),YES,,,
2,AdditionalParcelsDescription,text,YES,,,
3,AdditionalParcelsYN,tinyint(1),YES,,,
4,Amps,varchar(24),YES,,,
5,ArchitecturalStyle,varchar(50),YES,,,
6,AssociationAmenities,varchar(160),YES,,,
7,AssociationFee,"decimal(14,2)",YES,,,
8,AssociationFee2,"decimal(14,2)",YES,,,
9,AssociationFee2Frequency,varchar(22),YES,,,
10,AssociationFeeFrequency,varchar(22),YES,,,
11,AssociationParkingSpaceNo,varchar(30),YES,,,
12,AssociationParkingSpaceOwnedYN,tinyint(1),YES,,,
13,AssociationYN,tinyint(1),YES,,,
14,AttachedGarageYN,tinyint(1),YES,,,
15,AuctionAssessedPrice,"decimal(16,2)",YES,,,
16,AuctionEndDate,datetime,YES,,,
17,AuctionLocation,varchar(80),YES,,,
18,AuctionPreview1EndDate,datetime,YES,,,
19,AuctionPreview1StartDate,datetime,YES,,,
20,AuctionRegistrationUrlYN,tinyint(1),YES,,,
21,AuctionStartDate,datetime,YES,,,
22,AuctionTerms,varchar(80),YES,,,
23,AuctionTermsUrl,text,YES,,,
24,AuctionTermsUrlYN,tinyint(1),YES,,,
25,AuctionType,varchar(32),YES,,,
26,Availability,varchar(24),YES,,,
27,BankOwnedYN,tinyint(1),YES,,,
28,Basement,varchar(80),YES,,,
29,BathroomsFull,int(11),YES,,,
30,BathroomsFullLowerLevel,int(11),YES,,,
31,BathroomsFullMainLevel,int(11),YES,,,
32,BathroomsFullUpperLevel,int(11),YES,,,
33,BathroomsHalf,int(11),YES,,,
34,BathroomsPartial,int(11),YES,,,
35,BathroomsPartialLowerLevel,int(11),YES,,,
36,BathroomsPartialMainLevel,int(11),YES,,,
37,BathroomsPartialUpperLevel,int(11),YES,,,
38,BathroomsTotalInteger,int(11),YES,,,
39,BathroomsTotalLowerLevel,varchar(25),YES,,,
40,BathroomsTotalMainLevel,varchar(25),YES,,,
41,BathroomsTotalUpperLevel,varchar(25),YES,,,
42,BathsTotal,varchar(25),YES,,,
43,BedroomsTotal,int(11),YES,,,
44,BuildingAreaCalculated,int(11),YES,,,
45,BuildingAreaDescription,varchar(30),YES,,,
46,BuildingAreaTotal,"decimal(14,2)",YES,,,
47,BusinessName,text,YES,,,
48,BuyerAgencyCompensation,varchar(45),YES,,,
49,BuyerAgencyCompensationType,varchar(14),YES,,,
50,BuyerAgentFirstName,varchar(70),YES,,,
51,BuyerAgentFullName,varchar(170),YES,,,
52,BuyerAgentLastName,varchar(70),YES,,,
53,BuyerAgentMlsId,varchar(45),YES,,,
54,BuyerFinancing,varchar(40),YES,,,
55,BuyerMainOfficeKey,varchar(255),YES,,,
56,BuyerMainOfficeKeyNumeric,int(11),YES,,,
57,BuyerOfficeMlsId,varchar(45),YES,,,
58,BuyerOfficeName,text,YES,,,
59,BuyerOfficePhone,varchar(36),YES,,,
60,CancellationDate,date,YES,,,
61,City,varchar(28),YES,,,
62,CloseDate,date,YES,,,
63,ClosePrice,"decimal(16,2)",YES,,,
64,CoListAgentEmail,varchar(100),YES,,,
65,CoListAgentFirstName,varchar(70),YES,,,
66,CoListAgentFullName,varchar(170),YES,,,
67,CoListAgentLastName,varchar(70),YES,,,
68,CoListAgentMlsId,varchar(45),YES,MUL,,
69,CoListAgentPreferredPhone,varchar(36),YES,,,
70,CoListMainOfficeKey,varchar(255),YES,,,
71,CoListMainOfficeKeyNumeric,int(11),YES,,,
72,CoListOfficeMlsId,varchar(45),YES,,,
73,CoListOfficeName,text,YES,,,
74,CommercialFeatures,varchar(90),YES,,,
75,CommunityFeatures,varchar(50),YES,,,
76,CondominiumConciergeYN,tinyint(1),YES,,,
77,CondominiumConversionYN,tinyint(1),YES,,,
78,CondominiumDeckArea,int(11),YES,,,
79,CondominiumDeckAvailYN,tinyint(1),YES,,,
80,CondominiumDeckDimensions,varchar(40),YES,,,
81,CondominiumGarageType,varchar(18),YES,,,
82,CondominiumParkingSpaceNo,varchar(30),YES,,,
83,CondominiumParkingSpaceNo2,varchar(30),YES,,,
84,CondominiumParkingTax,varchar(31),YES,,,
85,CondominiumParkingTax2,varchar(31),YES,,,
86,CondominiumPetPolicies,varchar(70),YES,,,
87,CondominiumRentalCapYN,tinyint(1),YES,,,
88,CondominiumStorageAvailYN,tinyint(1),YES,,,
89,CondominiumStorageTax,varchar(31),YES,,,
90,CondominiumStorageUnitNo,varchar(30),YES,,,
91,CondominiumUnitLevel,int(11),YES,,,
92,CondominiumUnitsInComplex,int(11),YES,,,
93,CondominiumWasherDryer,varchar(25),YES,,,
94,CondominiumYardYN,tinyint(1),YES,,,
95,ConstructionMaterials,varchar(50),YES,,,
96,ContractStatusChangeDate,date,YES,,,
97,Cooling,varchar(35),YES,,,
98,CoolingYN,tinyint(1),YES,,,
99,Country,varchar(12),YES,,,
100,CountyOrParish,varchar(25),YES,,,
101,CropLandLeaseYN,tinyint(1),YES,,,
102,CropsIncludedYN,tinyint(1),YES,,,
103,CultivatedArea,"decimal(14,2)",YES,,,
104,CumulativeDaysOnMarket,int(11),YES,,,
105,CurrentPriceForStatus,"decimal(16,2)",YES,,,
106,CurrentUse,varchar(50),YES,,,
107,DaysOnMarket,int(11),YES,,,
108,DirectionFaces,varchar(19),YES,,,
109,Directions,text,YES,,,
110,Disclosures,varchar(20),YES,,,
111,DocumentsAvailable,varchar(70),YES,,,
112,DualVariableCompensationYN,tinyint(1),YES,,,
113,ElectricOnPropertyDesc,varchar(26),YES,,,
