,Field,Type,Null,Key,Default,Extra
0,unique_id,varchar(10),YES,MUL,,
1,city,varchar(18),YES,MUL,,
2,colisting_agent_id,int(10),YES,MUL,,
3,date_expired_hidden,date,YES,,,
4,date_listed,date,YES,,,
5,district,varchar(18),YES,,,
6,id,int(10),NO,PRI,,
7,interior_features,varchar(284),YES,,,
8,internet_remarks,text,YES,,,
9,latitude,"decimal(20,0)",YES,,,
10,listing_agent_id,int(10),YES,MUL,,
11,listing_office_id,int(10),YES,MUL,,
12,listing_photo_count,int(10),YES,,,
13,longitude,"decimal(20,0)",YES,,,
14,lot_features,varchar(327),YES,,,
15,lot_sqft,int(10),YES,,,
16,map_area,varchar(26),YES,,,
17,modification_date,datetime,YES,,,
18,photo_modification_date,datetime,YES,,,
19,possession,varchar(30),YES,,,
20,postal_code,varchar(10),YES,MUL,,
21,price_current,int(10),YES,MUL,,
22,price_original,int(10),YES,,,
23,property_type,varchar(30),YES,,,
24,remarks,text,YES,,,
25,restrictions,varchar(100),YES,,,
26,seller,varchar(40),YES,,,
27,status,varchar(16),YES,,,
28,street_name,varchar(30),YES,,,
29,street_number,varchar(10),YES,,,
30,taxes,int(10),YES,,,
31,title,varchar(100),YES,,,
32,waste_disposal,varchar(100),YES,,,
33,water,varchar(100),YES,,,
34,zoning,varchar(7),YES,,,
35,building_type,int(10),YES,,,
36,business_subtype,varchar(100),YES,,,
37,legal_description_1,varchar(160),YES,,,
38,lot_depth_side_1,int(10),YES,,,
39,lot_width_front,int(10),YES,,,
40,major_type,varchar(18),YES,,,
41,multi_family_type,varchar(100),YES,,,
42,price_type,varchar(18),YES,,,
43,total_area,varchar(21),YES,,,
44,unit,varchar(10),YES,,,
45,access,varchar(100),YES,,,
46,age,varchar(2),YES,,,
47,attic,varchar(100),YES,,,
48,basement_type,varchar(100),YES,,,
49,bathrooms,int(10),YES,MUL,,
50,bedrooms_total,varchar(6),YES,,,
51,construction,varchar(100),YES,,,
52,csa_number,text,YES,,,
53,distance_to_schools,varchar(10),YES,,,
54,distance_to_transportation,varchar(10),YES,,,
55,ensuites,int(10),YES,,,
56,exterior_features,varchar(100),YES,,,
57,exterior_finish,varchar(100),YES,,,
58,fireplace_types,varchar(100),YES,,,
59,fireplaces,int(10),YES,,,
60,flooring,varchar(100),YES,,,
61,fuel,varchar(100),YES,,,
62,heating,varchar(100),YES,,,
63,irrigation,varchar(10),YES,,,
64,land_type,varchar(100),YES,,,
65,lease,varchar(10),YES,,,
66,lease_term,varchar(20),YES,,,
67,legal_description,varchar(160),YES,,,
68,lot_depth,int(10),YES,,,
69,lot_size_cleared,varchar(10),YES,,,
70,lot_size_cultivated,varchar(10),YES,,,
71,lot_size_irrigated,varchar(10),YES,,,
72,lot_size_treed,varchar(10),YES,,,
73,lot_width,int(10),YES,,,
74,mobile_approval,varchar(100),YES,,,
75,mobile_csa_number,varchar(6),YES,,,
76,mobile_dimension,varchar(10),YES,,,
77,mobile_disposition,varchar(100),YES,,,
78,mobile_esb_number,varchar(7),YES,,,
79,mobile_make,varchar(30),YES,,,
80,mobile_model,varchar(30),YES,,,
81,mobile_pad,varchar(10),YES,,,
82,mobile_pad_size,varchar(10),YES,,,
83,mobile_park,varchar(40),YES,,,
84,mobile_registration,varchar(20),YES,,,
85,mobile_serial_number,varchar(20),YES,,,
86,mobile_type,varchar(100),YES,,,
87,number_of_parcels,int(10),YES,,,
88,parking_spaces,int(10),YES,,,
89,parking_types,varchar(100),YES,,,
90,prospectus,varchar(100),YES,,,
91,roof,varchar(100),YES,,,
92,room_matrix_row_1,text,YES,,,
93,room_matrix_row_10,text,YES,,,
94,room_matrix_row_11,text,YES,,,
95,room_matrix_row_12,text,YES,,,
96,room_matrix_row_13,text,YES,,,
97,room_matrix_row_14,text,YES,,,
98,room_matrix_row_15,text,YES,,,
99,room_matrix_row_2,text,YES,,,
100,room_matrix_row_3,text,YES,,,
101,room_matrix_row_4,text,YES,,,
102,room_matrix_row_5,text,YES,,,
103,room_matrix_row_6,text,YES,,,
104,room_matrix_row_7,text,YES,,,
105,room_matrix_row_8,text,YES,,,
106,room_matrix_row_9,text,YES,,,
107,sqft_1st_floor,int(10),YES,,,
108,sqft_2nd_floor,int(10),YES,,,
109,sqft_bsmt,int(10),YES,,,
110,sqft_finished,int(10),YES,MUL,,
111,sqft_other_floor,int(10),YES,,,
112,style,varchar(100),YES,MUL,,
113,unit_number,varchar(10),YES,,,
114,year_built,int(10),YES,,,
115,hs_rets_class,varchar(30),YES,MUL,,
116,PictureLastDownloadedTimestamp,datetime,YES,MUL,,
117,PictureDownloaded,int(11),NO,MUL,0,
118,PictureDownloadedCount,smallint(4),YES,,,
119,HasPictures,tinyint(2),NO,,0,
120,HoursUntilNextRetry,int(11),YES,,,
121,GeoOverride,int(11),NO,MUL,0,
122,GeoCacheV2Id,int(11),YES,,,
123,GeoAddress,varchar(100),YES,,,
124,GeoCity,varchar(50),YES,,,
125,GeoState,varchar(14),YES,,,
126,GeoZipCode,varchar(10),YES,,,
127,GeoTimestamp,datetime,YES,,,
128,added_timestamp,timestamp,NO,,CURRENT_TIMESTAMP,
129,PriceDropDate,datetime,YES,,,
130,PriceDropFrom,int(8),YES,,,
131,GeoLat,"decimal(12,8)",YES,MUL,,
132,GeoLon,"decimal(12,8)",YES,MUL,,
