,Field,Type,Null,Key,Default,Extra
0,APIModificationTimestamp,datetime,YES,,,
1,AboveGradeFinishedArea,"decimal(14,2)",YES,,,
2,AccessibilityFeatures,text,YES,,,
3,Appliances,text,YES,,,
4,ArchitecturalStyle,varchar(200),YES,MUL,,
5,AssociationAmenities,text,YES,,,
6,AssociationFee,"decimal(14,2)",YES,,,
7,AssociationFeeFrequency,varchar(45),YES,,,
8,AssociationFeeIncludes,text,YES,,,
9,AssociationName,varchar(70),YES,,,
10,AssociationPhone,varchar(36),YES,,,
11,AssociationYN,tinyint(1),YES,,,
12,AttachedGarageYN,tinyint(1),YES,,,
13,Basement,text,YES,,,
14,BathroomsFull,bigint(20),YES,,,
15,BathroomsHalf,bigint(20),YES,,,
16,BathroomsTotalInteger,bigint(20),YES,MUL,,
17,BedroomsTotal,bigint(20),YES,MUL,,
18,BodyType,text,YES,,,
19,BuildingAreaTotal,"decimal(14,2)",YES,,,
20,BuildingFeatures,text,YES,,,
21,BuyerAgencyCompensationType,varchar(45),YES,,,
22,BuyerAgentEmail,varchar(100),YES,,,
23,BuyerAgentFirstName,varchar(70),YES,,,
24,BuyerAgentHomePhone,varchar(36),YES,,,
25,BuyerAgentLastName,varchar(70),YES,,,
26,BuyerAgentMlsId,varchar(45),YES,MUL,,
27,BuyerAgentPreferredPhone,varchar(36),YES,,,
28,BuyerAgentPreferredPhoneExt,varchar(30),YES,,,
29,BuyerAgentURL,text,YES,,,
30,BuyerFinancing,text,YES,,,
31,BuyerOfficeEmail,varchar(100),YES,,,
32,BuyerOfficeFax,varchar(36),YES,,,
33,BuyerOfficeMlsId,varchar(45),YES,,,
34,BuyerOfficeName,text,YES,,,
35,BuyerOfficePhone,varchar(36),YES,,,
36,BuyerOfficePhoneExt,varchar(30),YES,,,
37,BuyerOfficeURL,text,YES,,,
38,CarportYN,tinyint(1),YES,,,
39,City,varchar(70),YES,,,
40,CloseDate,date,YES,,,
41,ClosePrice,"decimal(14,2)",YES,,,
42,CoBuyerAgentEmail,varchar(100),YES,,,
43,CoBuyerAgentFirstName,varchar(70),YES,,,
