,Field,Type,Null,Key,Default,Extra
0,ml_num,varchar(15),NO,PRI,,
1,system_id,int(10),NO,UNI,,
2,address,varchar(100),YES,,,
3,address_direction,varchar(2),YES,,,
4,address_number,varchar(15),YES,,,
5,address_number_low,varchar(15),YES,,,
6,address_street,varchar(50),YES,,,
7,address_unit,varchar(15),YES,,,
8,alt_feature_sheet_url,varchar(996),YES,,,
9,appointment_phone_number,varchar(25),YES,,,
10,area,varchar(29),YES,,,
11,back_on_market_date,date,YES,,,
12,buyer,varchar(30),YES,,,
13,cancel_effective_date,date,YES,,,
14,cancel_protection_date,date,YES,,,
15,city,varchar(50),YES,MUL,,
16,class,varchar(20),YES,,,
17,collapse_date,date,YES,,,
18,commission,varchar(255),YES,,,
19,complexsubdivision,varchar(50),YES,,,
20,deposit,"decimal(18,2)",YES,,,
21,depth,varchar(30),YES,,,
22,display_addr_on_internet,varchar(3),YES,,,
23,dom,int(10),YES,,,
24,entry_date,datetime,YES,,,
25,entry_date_delay,date,YES,,,
26,expiry_date,date,YES,,,
27,flood_plain,varchar(10),YES,,,
28,floorplan_url,varchar(893),YES,,,
29,for_appointment_call,varchar(30),YES,,,
30,for_tax_year,smallint(5),YES,,,
31,frontage,"decimal(12,2)",YES,,,
32,frontage__metric,"decimal(12,2)",YES,,,
33,geo_latitude,"decimal(19,15)",YES,,,
34,geo_longitude,"decimal(19,15)",YES,,,
35,gross_taxes,"decimal(15,2)",YES,,,
36,internet_remarks,varchar(1172),YES,,,
37,jurisdiction,varchar(33),YES,,,
38,la1agent_email,varchar(50),YES,,,
39,la1agent_full_name,varchar(100),YES,,,
40,la1agent_logon_name,varchar(20),YES,MUL,,
41,la1agent_phone1_number,varchar(30),YES,,,
42,la1agent_url,varchar(80),YES,,,
43,la2agent_email,varchar(50),YES,,,
44,la2agent_logon_name,varchar(20),YES,MUL,,
45,la2agent_phone1_number,varchar(30),YES,,,
46,la2agent_url,varchar(80),YES,,,
47,la2crea_id,varchar(10),YES,,,
48,la3agent_email,varchar(50),YES,,,
49,la3agent_logon_name,varchar(20),YES,,,
50,la3agent_phone1_number,varchar(30),YES,,,
51,la3agent_url,varchar(80),YES,,,
52,la3crea_id,varchar(10),YES,,,
53,last_trans_date,datetime,YES,,,
54,list_date,date,YES,,,
55,list_firm_1_code,smallint(5),YES,,,
56,list_firm_2_code,smallint(5),YES,,,
57,list_price,int(10),YES,,,
58,list_realtor_2_id,int(10),YES,,,
59,list_realtor_3_id,int(10),YES,,,
60,listing_agent_1,int(10),YES,,,
61,lo1office_name,varchar(100),YES,MUL,,
62,lo1office_phone1_number,varchar(30),YES,,,
63,lo2office_name,varchar(100),YES,,,
64,lo2office_phone1_number,varchar(30),YES,,,
65,lo3office_abbreviation,varchar(25),YES,,,
66,lot_sz_acres,"decimal(12,2)",YES,,,
67,lot_sz_hectares,"decimal(12,2)",YES,,,
68,lot_sz_sqft,"decimal(16,2)",YES,,,
69,lot_sz_sqmtrs,"decimal(13,2)",YES,,,
70,measurement_type,varchar(6),YES,,,
71,member_board_affiliation,varchar(39),YES,,,
72,multi_ml_num_flag,varchar(3),YES,,,
73,multiple_mlnum,varchar(30),YES,,,
74,municipality,varchar(30),YES,,,
75,neighborhood_code,varchar(5),YES,,,
76,original_price,int(10),YES,,,
77,other_board,varchar(5),YES,,,
78,owner_name,varchar(100),YES,,,
79,photo_count,int(10),YES,,,
80,phototimestamp,datetime,YES,,,
81,pidnum,varchar(100),YES,,,
82,postal_code,varchar(20),YES,MUL,,
83,prev_commission,varchar(50),YES,,,
84,prev_price,int(10),YES,,,
85,prev_status,varchar(50),YES,,,
86,previous_exp_date,date,YES,,,
87,price_per_sqft,"decimal(11,2)",YES,,,
88,privacy_flag,varchar(16),YES,,,
89,processed_date,date,YES,,,
90,prop_disclosure_statement,varchar(50),YES,,,
91,prop_type,varchar(20),YES,,,
92,property_brochure_url,varchar(1002),YES,,,
93,property_disclosure,varchar(10),YES,,,
94,province,varchar(2),YES,,,
95,pub_listing_on_internet,varchar(3),YES,,,
96,public_remarks,varchar(1172),YES,,,
97,realtor_remarks,varchar(500),YES,,,
98,reference_num,varchar(30),YES,,,
99,region,varchar(17),YES,,,
100,sa1agent_full_name,varchar(100),YES,,,
101,sa2agent_full_name,varchar(100),YES,,,
102,sa3crea_id,varchar(10),YES,,,
103,selling_agent_1,int(10),YES,,,
104,selling_agent_2,int(10),YES,,,
105,selling_agent_3,int(10),YES,,,
106,selling_office_1,smallint(5),YES,,,
107,selling_office_2,smallint(5),YES,,,
108,short_region_code,varchar(39),YES,,,
109,showing_appts,varchar(26),YES,,,
110,so1office_name,varchar(100),YES,,,
111,so2office_name,varchar(100),YES,,,
112,so3office_name,varchar(100),YES,,,
113,sold_date,date,YES,,,
114,sold_price,int(10),YES,,,
115,sold_price_per_sqft,"decimal(18,2)",YES,,,
116,status,varchar(16),YES,,,
117,status_change_date,date,YES,,,
118,street_designation,varchar(9),YES,,,
119,subareacommunity,varchar(39),YES,,,
120,tax_utilities_incl,varchar(10),YES,,,
121,title_to_land,varchar(31),YES,,,
122,url_4,varchar(867),YES,,,
123,view,varchar(10),YES,,,
124,view__specify,varchar(100),YES,,,
125,virtual_tour_url,varchar(262),YES,,,
126,zoning,varchar(10),YES,,,
127,stories_in_building,smallint(5),YES,,,
128,age,smallint(5),YES,,,
129,age_type,varchar(18),YES,,,
130,approx_year_built,smallint(5),YES,MUL,,
131,approxyr_of_renosaddns,smallint(5),YES,,,
132,bath1_ensuite,varchar(3),YES,,,
133,bath1_level,varchar(25),YES,,,
134,bath1_numpcs,smallint(3),YES,,,
135,bath2_ensuite,varchar(3),YES,,,
136,bath2_level,varchar(25),YES,,,
137,bath2_numpcs,smallint(3),YES,,,
138,bath3_ensuite,varchar(3),YES,,,
139,bath3_level,varchar(25),YES,,,
140,bath3_numpcs,smallint(3),YES,,,
141,bath4_ensuite,varchar(3),YES,,,
142,bath4_level,varchar(25),YES,,,
143,bath4_numpcs,smallint(3),YES,,,
144,bath5_ensuite,varchar(3),YES,,,
145,bath5_level,varchar(25),YES,,,
146,bath5_numpcs,smallint(3),YES,,,
147,bath6_ensuite,varchar(3),YES,,,
148,bath6_level,varchar(25),YES,,,
149,bath6_numpcs,smallint(3),YES,,,
150,bath7_ensuite,varchar(3),YES,,,
151,bath7_level,varchar(25),YES,,,
152,bath7_numpcs,smallint(3),YES,,,
153,bath8_ensuite,varchar(3),YES,,,
154,bath8_level,varchar(25),YES,,,
155,bath8_numpcs,smallint(3),YES,,,
156,bath_ensuite_num_of_pcs,smallint(3),YES,,,
157,bds_in_bsmt,smallint(3),YES,,,
158,bds_not_in_bsmt,smallint(3),YES,,,
159,cats,varchar(3),YES,,,
160,council_apprv,varchar(3),YES,,,
161,crawl_height,varchar(5),YES,,,
162,dist_to_schoolschool_bus,varchar(15),YES,,,
163,distance_to_pubrapid_tr,varchar(15),YES,,,
164,dogs,varchar(3),YES,,,
165,dwelling_classification,varchar(35),YES,,,
166,fireplaces,smallint(3),YES,,,
167,fixt_rntdlsd__specify,varchar(100),YES,,,
168,fixtures_removed_yn,varchar(3),YES,,,
169,fixtures_remvd,varchar(100),YES,,,
170,fixtures_rntdlsd,varchar(3),YES,,,
171,floor_area__unfinished,"decimal(10,0)",YES,,,
172,floor_area_fin__abv_main,"decimal(10,0)",YES,,,
173,floor_area_fin__basement,"decimal(10,0)",YES,,,
174,floor_area_fin__blw_main,"decimal(10,0)",YES,,,
175,floor_area_fin__main_flr,"decimal(10,0)",YES,,,
176,floor_area_fin__total,"decimal(10,0)",YES,,,
177,floor_area_grand_total,"decimal(10,0)",YES,MUL,,
178,foundation,varchar(48),YES,,,
179,full_baths,smallint(3),YES,,,
180,full_height,varchar(5),YES,,,
181,half_baths,smallint(3),YES,,,
182,locker,varchar(3),YES,,,
183,mgmt_co_name,varchar(30),YES,,,
184,mgmt_co_phonenum,varchar(25),YES,,,
185,no_floor_levels,smallint(3),YES,,,
186,not_incl_in_tax__dyking,"decimal(18,2)",YES,,,
187,not_incl_in_tax__garbage,"decimal(18,2)",YES,,,
188,not_incl_in_tax__other,"decimal(18,2)",YES,,,
189,not_incl_in_tax__sewer,"decimal(18,2)",YES,,,
190,not_incl_in_tax__water,"decimal(18,2)",YES,,,
191,num_of_kitchens,smallint(3),YES,,,
192,num_of_pets,varchar(30),YES,,,
193,num_or__of_rentals_allowed,varchar(30),YES,,,
194,num_rms,smallint(3),YES,,,
195,num_roughedin_fp,smallint(3),YES,,,
196,out_bldgsbarn_sz,varchar(25),YES,,,
197,out_bldgsdoor_ht,varchar(25),YES,,,
198,out_bldgsgarage_sz,varchar(25),YES,,,
199,out_bldgspool_sz,varchar(25),YES,,,
200,out_bldgswrkshpshed_sz,varchar(25),YES,,,
201,parking_places__covered,smallint(5),YES,,,
202,parking_places__total,smallint(5),YES,,,
203,part_height,varchar(5),YES,,,
204,rain_screen,varchar(10),YES,,,
205,restricted_age,varchar(30),YES,,,
206,room_10_dimension_1,varchar(5),YES,,,
207,room_10_dimension_2,varchar(5),YES,,,
208,room_10_level,varchar(10),YES,,,
209,room_10_type,varchar(16),YES,,,
210,room_11_dimension_1,varchar(5),YES,,,
211,room_11_dimension_2,varchar(5),YES,,,
212,room_11_level,varchar(10),YES,,,
213,room_11_type,varchar(16),YES,,,
214,room_12_dimension_1,varchar(5),YES,,,
215,room_12_dimension_2,varchar(5),YES,,,
216,room_12_level,varchar(10),YES,,,
217,room_12_type,varchar(16),YES,,,
218,room_13_dimension_1,varchar(5),YES,,,
219,room_13_dimension_2,varchar(5),YES,,,
220,room_13_level,varchar(10),YES,,,
221,room_13_type,varchar(16),YES,,,
222,room_14_dimension_1,varchar(5),YES,,,
223,room_14_dimension_2,varchar(10),YES,,,
224,room_14_level,varchar(10),YES,,,
225,room_14_type,varchar(16),YES,,,
226,room_15_dimension_1,varchar(10),YES,,,
227,room_15_dimension_2,varchar(10),YES,,,
228,room_15_level,varchar(10),YES,,,
229,room_15_type,varchar(16),YES,,,
230,room_16_dimension_1,varchar(10),YES,,,
231,room_16_dimension_2,varchar(10),YES,,,
232,room_16_level,varchar(10),YES,,,
233,room_16_type,varchar(16),YES,,,
234,room_17_dimension_1,varchar(10),YES,,,
235,room_17_dimension_2,varchar(10),YES,,,
236,room_17_level,varchar(10),YES,,,
237,room_17_type,varchar(16),YES,,,
238,room_18_dimension_1,varchar(10),YES,,,
239,room_18_dimension_2,varchar(10),YES,,,
240,room_18_level,varchar(10),YES,,,
241,room_18_type,varchar(16),YES,,,
242,room_19_dimension_1,varchar(10),YES,,,
243,room_19_dimension_2,varchar(10),YES,,,
244,room_19_level,varchar(10),YES,,,
245,room_19_type,varchar(16),YES,,,
246,room_1_dimension_1,varchar(5),YES,,,
247,room_1_dimension_2,varchar(5),YES,,,
248,room_1_level,varchar(10),YES,,,
249,room_1_type,varchar(16),YES,,,
250,room_20_dimension_1,varchar(10),YES,,,
251,room_20_dimension_2,varchar(10),YES,,,
252,room_20_level,varchar(10),YES,,,
253,room_20_type,varchar(16),YES,,,
254,room_21_dimension_1,varchar(10),YES,,,
255,room_21_dimension_2,varchar(10),YES,,,
256,room_21_level,varchar(10),YES,,,
257,room_21_type,varchar(16),YES,,,
258,room_22_dimension_1,varchar(10),YES,,,
259,room_22_dimension_2,varchar(10),YES,,,
260,room_22_level,varchar(10),YES,,,
261,room_22_type,varchar(16),YES,,,
262,room_23_dimension_1,varchar(10),YES,,,
263,room_23_dimension_2,varchar(10),YES,,,
264,room_23_level,varchar(10),YES,,,
265,room_23_type,varchar(16),YES,,,
