,Field,Type,Null,Key,Default,Extra
0,UID,int(7),NO,PRI,0,
1,ACRES,"decimal(11,3)",YES,,,
2,AGENT_FULLNAME,varchar(150),YES,,,
3,AGENT_PREFERREDPHONE,varchar(100),YES,,,
4,AGENT_SELLINGAGENT,varchar(75),YES,,,
5,AgentOwner,int(1),YES,,,
6,AGRICULTURALWATER,varchar(15),YES,,,
7,AllowAutoValuation,varchar(3),YES,,,
8,AllowConsumerComment,varchar(3),YES,,,
9,AMENITIESSHARED,varchar(255),YES,,,
10,AMENITIESUNIT,varchar(500),YES,,,
11,APPLIANCES,varchar(295),YES,,,
12,AppointmentPhone,varchar(30),YES,,,
13,AREASECONDARY,varchar(35),YES,,,
14,AssessedValuation,"decimal(17,4)",YES,,,
15,ASSESSMENTPENDING,varchar(7),YES,,,
16,ASSOCFEEINCLUDES,varchar(277),YES,,,
17,ASSOCFEEPAID,varchar(9),YES,,,
18,AssocFeeYN,int(1),YES,,,
19,AssociationFee,"decimal(10,2)",YES,,,
20,AssumableMortgage,varchar(125),YES,,,
21,AUCTIONEERLICENSE,varchar(15),YES,,,
22,AUCTIONYN,int(1),YES,,,
23,AutcionType,varchar(11),YES,,,
24,BASEMENT,varchar(175),YES,,,
25,BATHQUARTER,int(1),YES,,,
26,BathsFull,int(2),YES,,,
27,BathsHalf,int(1),YES,,,
28,BATHSTHREEQUARTER,int(2),YES,,,
29,BATHSTOTAL,int(2),YES,MUL,,
30,Bedrooms,int(2),YES,MUL,,
31,BUYERBROKERCOMP,varchar(25),YES,,,
32,BuyerBrokerComp_Numeric,"decimal(13,4)",YES,,,
33,BuyerBrokerComp_Type,varchar(1),YES,,,
34,City,varchar(50),YES,MUL,,
35,Class,varchar(10),YES,MUL,,
36,CONSTRUCTIONSTATUS,varchar(30),YES,,,
37,Contingency,varchar(60),YES,,,
38,CoolingDescription,varchar(44),YES,,,
39,COUNTY,varchar(30),YES,,,
40,CROPTYPE,varchar(75),YES,,,
41,DAYSONMARKET,int(4),YES,,,
42,DaysOnMarketCumulative,int(4),YES,,,
43,DevMaxPrice,int(8),YES,,,
44,DevMinPrice,int(8),YES,,,
45,DIRECTIONS,varchar(300),YES,,,
46,DistributeAddressToInternet,int(1),YES,,,
47,DistributeToInternet,int(1),YES,,,
48,District,varchar(50),YES,,,
49,DPResource,int(1),YES,,,
50,EXTERIOR,varchar(100),YES,,,
51,FACILITATORCOMP,varchar(25),YES,,,
52,FacilitatorComp_Numeric,"decimal(12,4)",YES,,,
53,FacilitatorComp_Type,varchar(1),YES,,,
54,FARMTYPE,varchar(50),YES,,,
55,FENCE,varchar(125),YES,,,
56,FinancingTerms,varchar(50),YES,,,
57,FIRENUMBER,varchar(10),YES,,,
58,Fireplaces,int(2),YES,,,
59,FireplaceYN,int(1),YES,,,
60,Foreclosure,varchar(13),YES,,,
61,FOUNDATIONSIZE,int(8),YES,,,
62,FrontageFeet,varchar(255),YES,,,
63,Fuel,varchar(75),YES,,,
64,GarageDescription,varchar(500),YES,,,
65,HandicapAccess,varchar(169),YES,,,
66,HasSupplements,int(1),YES,,,
67,HeatingDescription,varchar(125),YES,,,
68,HOMESTEADDESC,varchar(3),YES,,,
69,InputDate,datetime,YES,,,
70,InsuranceFee,int(4),YES,,,
71,InsuranceFeeFrequency,varchar(9),YES,,,
72,IsBuyersPremium,int(1),YES,,,
73,LAKENAME,varchar(31),YES,,,
74,LAKEWATERFRONT,varchar(110),YES,,,
75,LastUpdateDate,datetime,YES,,,
76,LATITUDE,"decimal(12,10)",YES,,,
77,LEGALDESC,varchar(512),YES,,,
78,LenderOwned,varchar(13),YES,,,
79,ListAgent1AgentID,varchar(20),YES,MUL,,
80,ListAgent1Name,varchar(50),YES,,,
81,ListAgent1Phone,varchar(30),YES,,,
82,listagent2agentid,varchar(20),YES,MUL,,
83,listagent2name,varchar(75),YES,,,
84,LISTDATE,datetime,YES,MUL,,
85,ListOfficeID,varchar(16),YES,,,
86,LISTPRICE,int(8),YES,MUL,,
87,LISTTYPE,varchar(50),YES,,,
88,LivingArea,"decimal(9,2)",YES,MUL,,
89,LOANORIGINATIONDATE,datetime,YES,,,
90,LOANTERMS,varchar(255),YES,,,
91,LONGITUDE,"decimal(17,10)",YES,,,
92,LOTDESCRIPTION,varchar(255),YES,,,
93,LotSizeDimensions,varchar(30),YES,,,
94,MapLetter,varchar(2),YES,,,
95,MAPPAGE,varchar(5),YES,,,
96,MATRIX_MAPCOORD,varchar(8),YES,,,
97,MLNumber,varchar(20),NO,MUL,,
98,ModificationTimestamp,datetime,YES,,,
99,MORTGAGE,int(11),YES,,,
100,MortgageBalance,"decimal(10,1)",YES,,,
101,MortgageType,varchar(100),YES,,,
102,OFFICE_OFFICENAME,varchar(75),YES,MUL,,
103,OFFICE_PHONE,varchar(30),YES,,,
104,OFFICE_SELLINGOFFICE,varchar(75),YES,,,
105,offmarketdate,datetime,YES,,,
106,OriginalListPrice,int(8),YES,,,
107,OUTBUILDINGS,varchar(175),YES,,,
108,ParkingGarage,"decimal(7,2)",YES,,,
109,ParkingOpen,int(2),YES,,,
110,PastureAcres,"decimal(10,2)",YES,,,
111,PHOTOCODE,varchar(100),YES,,,
112,PHOTOCOUNT,int(2),YES,,,
113,PHOTOREMARKS,varchar(255),YES,,,
114,PictureModificationTimestamp,datetime,YES,MUL,,
115,pid,varchar(65),YES,,,
116,PoolDescription,varchar(75),YES,,,
117,postalcity,varchar(35),YES,,,
118,PostalCode,varchar(10),YES,MUL,,
119,PotentialShortSale,varchar(13),YES,,,
120,ProposedTitleDate,datetime,YES,,,
121,PublicRemarks,varchar(1000),YES,,,
122,REMARKS,varchar(1000),YES,,,
123,REMARKSFINANCIAL,varchar(1024),YES,,,
124,RESTRICTIONS,varchar(350),YES,,,
125,ROOF,varchar(125),YES,,,
126,SalesAgent1AgentID,varchar(20),YES,,,
127,SalesCloseDate,datetime,YES,,,
128,SalesClosePrice,int(8),YES,MUL,,
129,SalesContractDate,datetime,YES,,,
130,SalesOfficeID,varchar(16),YES,,,
131,SchoolDistrictNumber,varchar(70),YES,,,
132,SCHOOLDISTRICTPHONE,varchar(20),YES,,,
133,SECONDARYFINANCE,varchar(25),YES,,,
134,SELLERCONTRIBUTION,"decimal(12,2)",YES,,,
135,SEWER,varchar(100),YES,,,
136,SHAREDROOMS,varchar(125),YES,,,
137,SOILTYPE,varchar(30),YES,,,
138,SQFTABOVEGROUND,int(7),YES,,,
139,SQFTBELOWGROUND,int(7),YES,,,
140,StateOrProvince,varchar(2),YES,,,
141,Status,varchar(26),YES,,,
142,StreetDirPrefix,varchar(2),YES,,,
143,streetdirsuffix,varchar(2),YES,,,
144,STREETNAME,varchar(30),YES,MUL,,
145,StreetNumber,varchar(15),YES,MUL,,
146,StreetNumberNumeric,int(10),YES,,,
147,streetsuffix,varchar(10),YES,,,
148,STYLE,varchar(35),YES,MUL,,
149,SUBAGENTCOMP,varchar(20),YES,,,
150,SubAgentComp_Numeric,"decimal(12,4)",YES,,,
151,SubAgentComp_Type,varchar(1),YES,,,
152,SUBDIVISION,varchar(50),YES,,,
153,Supplement_CNT,int(2),YES,,,
154,Supplement_Mod_Dt,datetime,YES,,,
155,Taxes,"decimal(12,3)",YES,,,
156,TAXWITHASSESSMENTS,"decimal(14,2)",YES,,,
157,TAXYEAR,int(4),YES,,,
158,TillableAcres,"decimal(10,2)",YES,,,
159,TOPOGRAPHY,varchar(100),YES,,,
160,UNITNUMBER,varchar(6),YES,,,
161,UPDATEDATE,datetime,YES,,,
162,VARIABLERATECOMP,varchar(1),YES,,,
163,VirtualTour_CNT,int(2),YES,,,
164,VirtualTour_URL1,varchar(256),YES,,,
165,VirtualTour_URL2,varchar(256),YES,,,
166,WaterFrontName,varchar(100),YES,,,
167,WATER,varchar(100),YES,,,
168,WaterFrontPresent,int(1),YES,,,
169,WoodedAcres,"decimal(10,2)",YES,,,
170,YEARBUILT,int(4),YES,MUL,,
171,ZONING,varchar(75),YES,,,
172,APPROVEDFINANCING,varchar(35),YES,,,
173,ATTACHED,int(1),YES,,,
174,BATHDESC,varchar(301),YES,,,
175,COMPLETIONDATE,datetime,YES,,,
176,DiningRoomDescription,varchar(175),YES,,,
177,FIREPLACELOC,varchar(125),YES,,,
178,GarageStallNum,varchar(6),YES,,,
179,is_ManufacturedHome,int(1),YES,,,
180,IsNewDevelopment,int(1),YES,,,
181,LISTPRICEHIGH,int(8),YES,,,
182,LISTPRICELOW,int(8),YES,,,
183,LOTPRICE,"decimal(11,3)",YES,,,
184,MODELHOURS,varchar(25),YES,,,
185,MODELLOCATION,varchar(50),YES,,,
186,MODELPHONE,varchar(20),YES,,,
187,RoomArea1,varchar(20),YES,,,
188,RoomArea2,varchar(20),YES,,,
189,RoomArea3,varchar(20),YES,,,
190,RoomArea4,varchar(20),YES,,,
191,RoomArea5,varchar(20),YES,,,
192,RoomArea6,varchar(20),YES,,,
193,RoomArea7,varchar(20),YES,,,
194,RoomArea8,varchar(20),YES,,,
195,RoomArea9,varchar(20),YES,,,
196,RoomArea10,varchar(20),YES,,,
197,RoomArea11,varchar(20),YES,,,
198,RoomArea12,varchar(20),YES,,,
199,RoomArea13,varchar(20),YES,,,
200,RoomArea14,varchar(20),YES,,,
201,ROOMFAMILYCHAR,varchar(175),YES,,,
202,RoomFloor1,varchar(11),YES,,,
203,RoomFloor2,varchar(11),YES,,,
204,RoomFloor3,varchar(11),YES,,,
205,RoomFloor4,varchar(11),YES,,,
206,RoomFloor5,varchar(11),YES,,,
207,RoomFloor6,varchar(11),YES,,,
208,RoomFloor7,varchar(11),YES,,,
209,RoomFloor8,varchar(11),YES,,,
210,RoomFloor9,varchar(11),YES,,,
211,RoomFloor10,varchar(11),YES,,,
212,RoomFloor11,varchar(11),YES,,,
213,RoomFloor12,varchar(11),YES,,,
214,RoomFloor13,varchar(11),YES,,,
215,RoomFloor14,varchar(11),YES,,,
216,RoomType9,varchar(30),YES,,,
217,RoomType10,varchar(30),YES,,,
218,RoomType11,varchar(30),YES,,,
219,RoomType12,varchar(30),YES,,,
220,RoomType13,varchar(30),YES,,,
221,RoomType14,varchar(30),YES,,,
222,SECONDUNIT,varchar(125),YES,,,
223,SPECIALSEARCH,varchar(125),YES,,,
224,THCharacteristics,varchar(100),YES,,,
225,TotalUnitsAvailable,int(4),YES,,,
226,applicationFee,"decimal(10,2)",YES,,,
227,availableDate,datetime,YES,,,
228,backgroundCheckReq,int(1),YES,,,
229,forSaleMLNumber,int(7),YES,,,
230,furnished,int(1),YES,,,
231,laundry,varchar(11),YES,,,
232,minLeaseMonths,int(3),YES,,,
233,otherDepositsFees,varchar(100),YES,,,
234,payAssociationFee,varchar(11),YES,,,
235,payCable,varchar(11),YES,,,
236,payElectric,varchar(11),YES,,,
237,payGas,varchar(11),YES,,,
238,payHeat,varchar(11),YES,,,
239,payTrash,varchar(11),YES,,,
240,payWater,varchar(11),YES,,,
241,prepaidRent,int(1),YES,,,
242,securityDeposit,"decimal(10,2)",YES,,,
243,smokingPermitted,int(1),YES,,,
244,transactionType,varchar(8),YES,,,
245,EXPENSECARETAKER,"decimal(10,2)",YES,,,
246,EXPENSEELECTRIC,"decimal(10,2)",YES,,,
247,EXPENSEFUEL,"decimal(10,2)",YES,,,
248,EXPENSEINSURANCE,"decimal(10,2)",YES,,,
249,EXPENSEMAINTENANCE,"decimal(10,2)",YES,,,
250,EXPENSEREPAIR,"decimal(10,2)",YES,,,
251,Expenses,"decimal(10,2)",YES,,,
252,EXPENSETOTALANN,"decimal(10,2)",YES,,,
253,EXPENSETRASH,"decimal(10,2)",YES,,,
254,EXPENSEWATERSEWER,"decimal(10,2)",YES,,,
255,GrossIncome,"decimal(10,2)",YES,,,
256,INCOMEMISCANN,"decimal(10,2)",YES,,,
257,INCOMEMISCMON,"decimal(10,2)",YES,,,
258,OWNEROCCUPIED,varchar(1),YES,,,
259,OWNERSEXPENSE,varchar(150),YES,,,
260,RANGENUM,varchar(25),YES,,,
261,REFRIGERATORNUM,varchar(25),YES,,,
262,TenantExpenses,varchar(150),YES,,,
263,TotalUnits,int(3),YES,,,
264,UNIT1_UNITAMENITIES,varchar(215),YES,,,
265,UNIT1_UNITANNUALRENT,int(8),YES,,,
266,UNIT1_UNITAPPL,varchar(150),YES,,,
267,UNIT1_UNITB1DIM,varchar(9),YES,,,
268,UNIT1_UNITB1LEVEL,varchar(13),YES,,,
269,UNIT1_UNITB2DIM,varchar(9),YES,,,
270,UNIT1_UNITB2LEVEL,varchar(13),YES,,,
271,UNIT1_UNITB3DIM,varchar(9),YES,,,
272,UNIT1_UNITB3LEVEL,varchar(13),YES,,,
273,UNIT1_UNITB4DIM,varchar(9),YES,,,
274,UNIT1_UNITB4LEVEL,varchar(13),YES,,,
275,UNIT1_UNITBATH3QTR,int(2),YES,,,
276,UNIT1_UNITBATHCHAR,varchar(162),YES,,,
277,UNIT1_UNITBATHFULL,int(2),YES,,,
278,UNIT1_UNITBATHHALF,int(2),YES,,,
279,UNIT1_UNITBATHQTR,int(2),YES,,,
280,UNIT1_UNITBATHSTOTAL,int(2),YES,,,
281,UNIT1_UNITBEDS,int(2),YES,,,
282,UNIT1_UNITCOOLSYSTEM,varchar(34),YES,,,
283,UNIT1_UNITDR,varchar(200),YES,,,
284,UNIT1_UNITDRDIM,varchar(9),YES,,,
285,UNIT1_UNITDRLEVEL,varchar(13),YES,,,
286,UNIT1_UNITE1DIM,varchar(9),YES,,,
287,UNIT1_UNITE1LEVEL,varchar(13),YES,,,
288,UNIT1_UNITE1NAME,varchar(25),YES,,,
289,UNIT1_UNITE2DIM,varchar(9),YES,,,
290,UNIT1_UNITE2LEVEL,varchar(13),YES,,,
291,UNIT1_UNITE2NAME,varchar(25),YES,,,
292,UNIT1_UNITE3DIM,varchar(9),YES,,,
293,UNIT1_UNITE3LEVEL,varchar(13),YES,,,
294,UNIT1_UNITE3NAME,varchar(25),YES,,,
295,UNIT1_UNITE4DIM,varchar(7),YES,,,
296,UNIT1_UNITE4LEVEL,varchar(13),YES,,,
297,UNIT1_UNITE4NAME,varchar(25),YES,,,
298,UNIT1_UNITEXP,int(9),YES,,,
299,UNIT1_UNITFIREPLACELOCATION,varchar(100),YES,,,
300,UNIT1_UNITFIREPLACENUM,int(1),YES,,,
301,UNIT1_UNITFRCHAR,varchar(74),YES,,,
302,UNIT1_UNITFRDIM,varchar(9),YES,,,
303,UNIT1_UNITFRLEVEL,varchar(13),YES,,,
304,UNIT1_UNITKTDIM,varchar(9),YES,,,
305,UNIT1_UNITKTLEVEL,varchar(13),YES,,,
306,UNIT1_UNITLRDIM,varchar(9),YES,,,
307,UNIT1_UNITLRLEVEL,varchar(13),YES,,,
308,UNIT1_UNITMONTHRENT,int(5),YES,,,
309,UNIT1_UNITNUM,int(1),YES,,,
310,UNIT1_UNITNUMUNITS,int(2),YES,,,
311,UNIT1_UNITPARKING,int(2),YES,,,
312,UNIT1_UNITROOMSPEC,varchar(125),YES,,,
313,UNIT1_UNITROOMSTOTAL,int(2),YES,,,
314,UNIT1_UNITSQFT,int(4),YES,,,
315,UNIT2_UNITAMENITIES,varchar(199),YES,,,
316,UNIT2_UNITANNUALRENT,int(8),YES,,,
317,UNIT2_UNITAPPL,varchar(150),YES,,,
318,UNIT2_UNITB1DIM,varchar(9),YES,,,
319,UNIT2_UNITB1LEVEL,varchar(13),YES,,,
320,UNIT2_UNITB2DIM,varchar(9),YES,,,
321,UNIT2_UNITB2LEVEL,varchar(13),YES,,,
322,UNIT2_UNITB3DIM,varchar(9),YES,,,
323,UNIT2_UNITB3LEVEL,varchar(13),YES,,,
324,UNIT2_UNITB4DIM,varchar(9),YES,,,
325,UNIT2_UNITB4LEVEL,varchar(13),YES,,,
326,UNIT2_UNITBATH3QTR,int(2),YES,,,
327,UNIT2_UNITBATHCHAR,varchar(249),YES,,,
328,UNIT2_UNITBATHFULL,int(2),YES,,,
