,Field,Type,Null,Key,Default,Extra
0,AboveGradeFinishedArea,"decimal(13,2)",YES,,,
1,AboveGradeFinishedAreaSource,varchar(70),YES,,,
2,AboveGradeFinishedAreaUnits,varchar(45),YES,,,
3,AccessibilityFeatures,text,YES,,,
4,AdditionalParcelsDescription,text,YES,,,
5,AdditionalParcelsYN,tinyint(1),YES,,,
6,AnchorsCoTenants,text,YES,,,
7,Appliances,text,YES,,,
8,ArchitecturalStyle,text,YES,,,
9,AssociationAmenities,text,YES,,,
10,AssociationFee,"decimal(13,2)",YES,,,
11,AssociationFee2,"decimal(13,2)",YES,,,
12,AssociationFee2Frequency,varchar(45),YES,,,
13,AssociationFeeFrequency,varchar(45),YES,,,
14,AssociationFeeIncludes,text,YES,,,
15,AssociationName,varchar(70),YES,,,
16,AssociationName2,varchar(70),YES,,,
17,AssociationPhone,varchar(36),YES,,,
18,AssociationPhone2,varchar(36),YES,,,
19,AssociationYN,tinyint(1),YES,,,
20,AttachedGarageYN,tinyint(1),YES,,,
21,AvailabilityDate,date,YES,,,
22,Basement,text,YES,,,
23,BasementYN,tinyint(1),YES,,,
24,BathroomsFull,int(11),YES,MUL,,
25,BathroomsHalf,int(11),YES,MUL,,
26,BathroomsOneQuarter,int(11),YES,MUL,,
27,BathroomsThreeQuarter,int(11),YES,MUL,,
28,BathroomsTotalInteger,int(11),YES,,,
29,BedroomsPossible,int(11),YES,,,
30,BedroomsTotal,int(11),YES,MUL,,
31,BelowGradeFinishedArea,"decimal(13,2)",YES,,,
32,BelowGradeFinishedAreaSource,varchar(70),YES,,,
33,BelowGradeFinishedAreaUnits,varchar(45),YES,,,
34,BodyType,text,YES,,,
35,BuilderModel,varchar(70),YES,,,
36,BuilderName,varchar(70),YES,,,
37,BuildingAreaSource,varchar(70),YES,,,
38,BuildingAreaTotal,"decimal(13,2)",YES,,,
39,BuildingAreaUnits,varchar(45),YES,,,
40,BuildingFeatures,text,YES,,,
41,BuildingName,varchar(70),YES,,,
42,BusinessName,text,YES,,,
43,BusinessType,text,YES,,,
44,BuyerAgencyCompensation,varchar(45),YES,,,
45,BuyerAgencyCompensationType,varchar(45),YES,,,
46,BuyerAgentAOR,varchar(70),YES,,,
47,BuyerAgentEmail,varchar(100),YES,,,
48,BuyerAgentFax,varchar(36),YES,,,
49,BuyerAgentFirstName,varchar(70),YES,,,
50,BuyerAgentFullName,varchar(170),YES,,,
51,BuyerAgentKey,varchar(275),YES,MUL,,
52,BuyerAgentKeyNumeric,bigint(20),YES,,,
53,BuyerAgentLastName,varchar(70),YES,,,
54,BuyerAgentMiddleName,varchar(70),YES,,,
55,BuyerAgentMlsId,varchar(45),YES,,,
56,BuyerAgentMobilePhone,varchar(36),YES,,,
57,BuyerAgentOfficePhone,varchar(36),YES,,,
58,BuyerAgentOfficePhoneExt,varchar(30),YES,,,
59,BuyerAgentPager,varchar(36),YES,,,
60,BuyerAgentPreferredPhone,varchar(36),YES,,,
61,BuyerAgentPreferredPhoneExt,varchar(30),YES,,,
62,BuyerAgentStateLicense,varchar(70),YES,,,
63,BuyerAgentURL,text,YES,,,
64,BuyerFinancing,text,YES,,,
65,BuyerOfficeAOR,varchar(70),YES,,,
66,BuyerOfficeEmail,varchar(100),YES,,,
67,BuyerOfficeFax,varchar(36),YES,,,
68,BuyerOfficeKey,varchar(275),YES,,,
69,BuyerOfficeKeyNumeric,bigint(20),YES,,,
70,BuyerOfficeMlsId,varchar(45),YES,,,
71,BuyerOfficeName,text,YES,,,
72,BuyerOfficePhone,varchar(36),YES,,,
73,BuyerOfficePhoneExt,varchar(30),YES,,,
74,BuyerOfficeURL,text,YES,,,
75,BuyerTeamKey,varchar(275),YES,,,
76,BuyerTeamKeyNumeric,bigint(20),YES,,,
77,BuyerTeamName,varchar(70),YES,,,
78,CapRate,"decimal(4,2)",YES,,,
79,CarportSpaces,"decimal(13,2)",YES,,,
80,CarportYN,tinyint(1),YES,,,
81,City,varchar(70),YES,MUL,,
82,CityRegion,varchar(170),YES,,,
83,CloseDate,date,YES,,,
84,ClosePrice,"decimal(13,2)",YES,,,
85,CoBuyerAgentAOR,varchar(70),YES,,,
86,CoBuyerAgentDirectPhone,varchar(36),YES,,,
87,CoBuyerAgentEmail,varchar(100),YES,,,
88,CoBuyerAgentFax,varchar(36),YES,,,
89,CoBuyerAgentFirstName,varchar(70),YES,,,
90,CoBuyerAgentFullName,varchar(170),YES,,,
91,CoBuyerAgentKey,varchar(275),YES,MUL,,
92,CoBuyerAgentKeyNumeric,bigint(20),YES,,,
93,CoBuyerAgentLastName,varchar(70),YES,,,
94,CoBuyerAgentMiddleName,varchar(70),YES,,,
95,CoBuyerAgentMlsId,varchar(45),YES,,,
96,CoBuyerAgentMobilePhone,varchar(36),YES,,,
97,CoBuyerAgentNameSuffix,varchar(30),YES,,,
98,CoBuyerAgentOfficePhone,varchar(36),YES,,,
99,CoBuyerAgentOfficePhoneExt,varchar(30),YES,,,
100,CoBuyerAgentPager,varchar(36),YES,,,
101,CoBuyerAgentPreferredPhone,varchar(36),YES,,,
102,CoBuyerAgentPreferredPhoneExt,varchar(30),YES,,,
103,CoBuyerAgentStateLicense,varchar(70),YES,,,
104,CoBuyerAgentURL,text,YES,,,
105,CoBuyerOfficeAOR,varchar(70),YES,,,
106,CoBuyerOfficeEmail,varchar(100),YES,,,
107,CoBuyerOfficeFax,varchar(36),YES,,,
108,CoBuyerOfficeKey,varchar(275),YES,,,
109,CoBuyerOfficeKeyNumeric,bigint(20),YES,,,
110,CoBuyerOfficeMlsId,varchar(45),YES,,,
111,CoBuyerOfficeName,text,YES,,,
112,CoBuyerOfficePhone,varchar(36),YES,,,
113,CoBuyerOfficePhoneExt,varchar(30),YES,,,
114,CoBuyerOfficeURL,text,YES,,,
115,CoListAgentAOR,varchar(70),YES,,,
116,CoListAgentDirectPhone,varchar(36),YES,,,
117,CoListAgentEmail,varchar(100),YES,,,
118,CoListAgentFax,varchar(36),YES,,,
119,CoListAgentFirstName,varchar(70),YES,,,
120,CoListAgentFullName,varchar(170),YES,,,
121,CoListAgentKey,varchar(275),YES,MUL,,
122,CoListAgentKeyNumeric,bigint(20),YES,,,
123,CoListAgentLastName,varchar(70),YES,,,
124,CoListAgentMiddleName,varchar(70),YES,,,
125,CoListAgentMlsId,varchar(45),YES,,,
126,CoListAgentMobilePhone,varchar(36),YES,,,
127,CoListAgentNameSuffix,varchar(30),YES,,,
128,CoListAgentOfficePhone,varchar(36),YES,,,
129,CoListAgentOfficePhoneExt,varchar(30),YES,,,
130,CoListAgentPager,varchar(36),YES,,,
131,CoListAgentPreferredPhone,varchar(36),YES,,,
132,CoListAgentPreferredPhoneExt,varchar(30),YES,,,
133,CoListAgentStateLicense,varchar(70),YES,,,
134,CoListAgentURL,text,YES,,,
135,CoListOfficeAOR,varchar(70),YES,,,
136,CoListOfficeEmail,varchar(100),YES,,,
137,CoListOfficeFax,varchar(36),YES,,,
138,CoListOfficeKey,varchar(275),YES,,,
139,CoListOfficeKeyNumeric,bigint(20),YES,,,
140,CoListOfficeMlsId,varchar(45),YES,,,
141,CoListOfficeName,text,YES,,,
142,CoListOfficePhone,varchar(36),YES,,,
143,CoListOfficePhoneExt,varchar(30),YES,,,
144,CoListOfficeURL,text,YES,,,
145,CommonInterest,varchar(45),YES,,,
146,CommonWalls,text,YES,,,
147,CommunityFeatures,text,YES,,,
148,Concessions,varchar(45),YES,,,
149,ConcessionsAmount,bigint(20),YES,,,
150,ConcessionsComments,varchar(220),YES,,,
151,ConstructionMaterials,text,YES,,,
152,Contingency,text,YES,,,
153,ContingentDate,date,YES,,,
154,ContractStatusChangeDate,date,YES,,,
155,Cooling,text,YES,,,
156,CoolingYN,tinyint(1),YES,,,
157,Country,varchar(22),YES,,,
158,CountyOrParish,varchar(70),YES,,,
159,CoveredSpaces,"decimal(13,2)",YES,,,
160,CrossStreet,varchar(70),YES,,,
161,CultivatedArea,"decimal(13,2)",YES,,,
162,CumulativeDaysOnMarket,int(11),YES,,,
163,CurrentFinancing,text,YES,,,
164,CurrentUse,text,YES,,,
165,DaysOnMarket,int(11),YES,,,
166,DevelopmentStatus,text,YES,,,
167,DirectionFaces,varchar(45),YES,,,
168,Directions,text,YES,,,
169,Disclosures,text,YES,,,
170,DistanceToSewerNumeric,bigint(20),YES,,,
171,DistanceToWaterNumeric,bigint(20),YES,,,
172,DocumentsAvailable,text,YES,,,
173,DocumentsChangeTimestamp,datetime,YES,,,
174,DocumentsCount,int(11),YES,,,
175,DoorFeatures,text,YES,,,
176,DualVariableCompensationYN,tinyint(1),YES,,,
177,Electric,text,YES,,,
178,ElectricExpense,"decimal(13,2)",YES,,,
179,ElectricOnPropertyYN,tinyint(1),YES,,,
180,ElementarySchool,varchar(70),YES,,,
181,ElementarySchoolDistrict,varchar(70),YES,,,
182,Elevation,int(11),YES,,,
183,ElevationUnits,varchar(30),YES,,,
184,EntryLevel,int(11),YES,,,
185,EntryLocation,varchar(70),YES,,,
186,Exclusions,text,YES,,,
187,ExistingLeaseType,varchar(95),YES,,,
188,ExteriorFeatures,text,YES,,,
189,Fencing,text,YES,,,
190,FinancialDataSource,varchar(95),YES,,,
191,FireplaceFeatures,text,YES,,,
192,FireplaceYN,tinyint(1),YES,,,
193,FireplacesTotal,int(11),YES,,,
194,Flooring,text,YES,,,
195,FoundationArea,"decimal(13,2)",YES,,,
196,FoundationDetails,text,YES,,,
197,FrontageLength,text,YES,,,
198,FrontageType,text,YES,,,
199,FuelExpense,"decimal(13,2)",YES,,,
200,Furnished,varchar(70),YES,,,
201,GarageSpaces,"decimal(13,2)",YES,,,
202,GarageYN,tinyint(1),YES,,,
203,GardenerExpense,"decimal(13,2)",YES,,,
204,GreenBuildingVerificationType,text,YES,,,
205,GreenEnergyEfficient,text,YES,,,
206,GreenEnergyGeneration,text,YES,,,
207,GreenIndoorAirQuality,text,YES,,,
208,GreenSustainability,text,YES,,,
209,GreenWaterConservation,text,YES,,,
210,GrossIncome,"decimal(13,2)",YES,,,
211,GrossScheduledIncome,"decimal(13,2)",YES,,,
212,HabitableResidenceYN,tinyint(1),YES,,,
213,Heating,text,YES,,,
214,HeatingYN,tinyint(1),YES,,,
215,HighSchool,varchar(70),YES,,,
216,HighSchoolDistrict,varchar(70),YES,,,
217,HomeWarrantyYN,tinyint(1),YES,,,
218,HorseAmenities,text,YES,,,
219,Inclusions,text,YES,,,
220,InsuranceExpense,"decimal(13,2)",YES,,,
221,InteriorFeatures,text,YES,,,
222,InternetAddressDisplayYN,tinyint(1),YES,,,
223,InternetAutomatedValuationDisplayYN,tinyint(1),YES,,,
224,InternetConsumerCommentYN,tinyint(1),YES,,,
225,InternetEntireListingDisplayYN,tinyint(1),YES,,,
226,IrrigationSource,text,YES,,,
227,IrrigationWaterRightsYN,tinyint(1),YES,,,
228,LandLeaseAmount,"decimal(13,2)",YES,,,
229,LandLeaseAmountFrequency,varchar(45),YES,,,
230,LandLeaseYN,tinyint(1),YES,,,
231,Latitude,"decimal(11,8)",YES,MUL,,
232,LaundryFeatures,text,YES,,,
233,LeasableArea,"decimal(13,2)",YES,,,
234,LeasableAreaUnits,varchar(45),YES,,,
235,LeaseAmount,"decimal(13,2)",YES,,,
236,LeaseAmountFrequency,varchar(45),YES,,,
237,LeaseAssignableYN,tinyint(1),YES,,,
238,LeaseConsideredYN,tinyint(1),YES,,,
239,LeaseExpiration,date,YES,,,
240,LeaseTerm,varchar(45),YES,,,
241,Levels,text,YES,,,
242,License1,varchar(45),YES,,,
243,ListAOR,varchar(70),YES,,,
244,ListAgentAOR,varchar(70),YES,,,
245,ListAgentDirectPhone,varchar(36),YES,,,
246,ListAgentEmail,varchar(100),YES,,,
247,ListAgentFax,varchar(36),YES,,,
248,ListAgentFirstName,varchar(70),YES,,,
249,ListAgentFullName,varchar(170),YES,,,
250,ListAgentKey,varchar(275),YES,MUL,,
251,ListAgentKeyNumeric,bigint(20),YES,,,
252,ListAgentLastName,varchar(70),YES,,,
253,ListAgentMiddleName,varchar(70),YES,,,
254,ListAgentMlsId,varchar(45),YES,MUL,,
255,ListAgentMobilePhone,varchar(36),YES,,,
256,ListAgentOfficePhone,varchar(36),YES,,,
257,ListAgentOfficePhoneExt,varchar(30),YES,,,
258,ListAgentPager,varchar(36),YES,,,
259,ListAgentPreferredPhone,varchar(36),YES,,,
260,ListAgentPreferredPhoneExt,varchar(30),YES,,,
261,ListAgentStateLicense,varchar(70),YES,,,
262,ListAgentURL,text,YES,,,
263,ListOfficeAOR,varchar(70),YES,,,
264,ListOfficeEmail,varchar(100),YES,,,
265,ListOfficeFax,varchar(36),YES,,,
266,ListOfficeKey,varchar(275),YES,MUL,,
267,ListOfficeKeyNumeric,bigint(20),YES,,,
268,ListOfficeMlsId,varchar(45),YES,,,
269,ListOfficeName,text,YES,,,
270,ListOfficePhone,varchar(36),YES,,,
271,ListOfficePhoneExt,varchar(30),YES,,,
272,ListOfficeURL,text,YES,,,
273,ListPrice,"decimal(13,2)",YES,MUL,,
274,ListTeamKey,varchar(275),YES,,,
275,ListTeamKeyNumeric,bigint(20),YES,,,
276,ListTeamName,varchar(70),YES,,,
277,ListingAgreement,varchar(70),YES,,,
278,ListingContractDate,date,YES,,,
279,ListingId,varchar(275),NO,PRI,,
280,ListingKey,varchar(275),YES,,,
281,ListingKeyNumeric,bigint(20),YES,,,
282,ListingService,varchar(45),YES,,,
283,ListingTerms,text,YES,,,
284,LivingArea,"decimal(13,2)",YES,MUL,,
285,LivingAreaSource,varchar(70),YES,,,
286,LivingAreaUnits,varchar(45),YES,,,
287,LockBoxLocation,text,YES,,,
288,LockBoxSerialNumber,varchar(45),YES,,,
289,LockBoxType,text,YES,,,
290,Longitude,"decimal(11,8)",YES,MUL,,
291,LotFeatures,text,YES,,,
292,LotSizeAcres,"decimal(15,4)",YES,MUL,,
293,LotSizeArea,"decimal(15,4)",YES,,,
294,LotSizeDimensions,varchar(170),YES,,,
295,LotSizeSource,varchar(70),YES,,,
296,LotSizeSquareFeet,"decimal(13,2)",YES,,,
297,LotSizeUnits,varchar(45),YES,,,
298,MLSAreaMajor,varchar(70),YES,,,
299,MLSAreaMinor,varchar(70),YES,,,
300,MainLevelBathrooms,int(11),YES,,,
301,MainLevelBedrooms,int(11),YES,,,
302,MaintenanceExpense,"decimal(13,2)",YES,,,
303,MajorChangeTimestamp,datetime,YES,,,
304,MajorChangeType,text,YES,,,
305,Make,varchar(70),YES,,,
306,ManagerExpense,"decimal(13,2)",YES,,,
307,MapCoordinate,varchar(45),YES,,,
308,MapCoordinateSource,varchar(45),YES,,,
309,MiddleOrJuniorSchool,varchar(70),YES,,,
310,MiddleOrJuniorSchoolDistrict,varchar(70),YES,,,
311,MlgCanUse,text,YES,,,
312,MlgCanView,tinyint(1),YES,,,
313,MlsStatus,varchar(70),YES,,,
314,MobileHomeRemainsYN,tinyint(1),YES,,,
315,MobileLength,int(11),YES,,,
316,MobileWidth,int(11),YES,,,
317,Model,varchar(70),YES,,,
318,ModificationTimestamp,datetime,YES,,,
319,NetOperatingIncome,"decimal(13,2)",YES,,,
320,NewConstructionYN,tinyint(1),YES,,,
321,NumberOfBuildings,int(11),YES,,,
322,NumberOfFullTimeEmployees,int(11),YES,,,
323,NumberOfLots,int(11),YES,,,
324,NumberOfPartTimeEmployees,int(11),YES,,,
325,NumberOfUnitsInCommunity,int(11),YES,,,
326,NumberOfUnitsLeased,int(11),YES,,,
327,NumberOfUnitsTotal,int(11),YES,,,
328,NumberOfUnitsVacant,int(11),YES,,,
329,OccupantName,varchar(70),YES,,,
330,OccupantType,varchar(70),YES,,,
331,OffMarketDate,date,YES,,,
332,OffMarketTimestamp,datetime,YES,,,
333,OnMarketDate,date,YES,,,
334,OnMarketTimestamp,datetime,YES,,,
335,OpenParkingSpaces,"decimal(13,2)",YES,,,
336,OpenParkingYN,tinyint(1),YES,,,
337,OperatingExpense,"decimal(13,2)",YES,,,
338,OperatingExpenseIncludes,text,YES,,,
339,OriginalEntryTimestamp,datetime,YES,,,
340,OriginalListPrice,"decimal(13,2)",YES,,,
341,OriginatingSystemID,varchar(45),YES,,,
342,OriginatingSystemKey,varchar(275),YES,,,
343,OriginatingSystemModificationTimestamp,datetime,YES,,,
344,OriginatingSystemName,text,YES,,,
345,OtherEquipment,text,YES,,,
346,OtherExpense,"decimal(13,2)",YES,,,
347,OtherParking,text,YES,,,
348,OtherStructures,text,YES,,,
349,OwnerName,varchar(70),YES,,,
350,OwnerPays,text,YES,,,
351,OwnerPhone,varchar(36),YES,,,
352,Ownership,text,YES,,,
353,OwnershipType,varchar(70),YES,,,
354,ParcelNumber,varchar(70),YES,,,
355,ParkManagerName,varchar(70),YES,,,
356,ParkManagerPhone,varchar(36),YES,,,
357,ParkName,varchar(70),YES,,,
358,ParkingFeatures,text,YES,,,
359,ParkingTotal,"decimal(13,2)",YES,,,
360,PastureArea,"decimal(13,2)",YES,,,
361,PatioAndPorchFeatures,text,YES,,,
362,PendingTimestamp,datetime,YES,,,
363,PetsAllowed,text,YES,,,
364,PhotosChangeTimestamp,datetime,YES,,,
365,PhotosCount,int(11),YES,,,
366,PoolFeatures,text,YES,,,
367,PoolPrivateYN,tinyint(1),YES,,,
368,Possession,text,YES,,,
369,PossibleUse,text,YES,,,
370,PostalCity,varchar(70),YES,,,
371,PostalCode,varchar(30),YES,MUL,,
372,PostalCodePlus4,varchar(24),YES,,,
373,PowerProductionType,text,YES,,,
374,PreviousListPrice,"decimal(13,2)",YES,,,
375,PriceChangeTimestamp,datetime,YES,,,
376,PrivateRemarks,text,YES,,,
377,ProfessionalManagementExpense,"decimal(13,2)",YES,,,
378,PropertyAttachedYN,tinyint(1),YES,,,
379,PropertyCondition,text,YES,,,
380,PropertySubType,varchar(70),YES,MUL,,
381,PropertyType,varchar(70),YES,MUL,,
382,PublicRemarks,text,YES,,,
383,PublicSurveyRange,varchar(40),YES,,,
384,PublicSurveySection,varchar(40),YES,,,
385,PublicSurveyTownship,varchar(40),YES,,,
386,PurchaseContractDate,date,YES,,,
387,SecurityFeatures,text,YES,,,
388,SeniorCommunityYN,tinyint(1),YES,,,
389,SerialU,varchar(45),YES,,,
390,Sewer,text,YES,,,
391,ShowingContactPhone,varchar(36),YES,,,
392,ShowingInstructions,text,YES,,,
393,ShowingRequirements,text,YES,,,
394,SignOnPropertyYN,tinyint(1),YES,,,
395,Skirt,text,YES,,,
396,SourceSystemID,varchar(45),YES,,,
397,SourceSystemKey,varchar(275),YES,,,
398,SourceSystemName,text,YES,,,
399,SpaFeatures,text,YES,,,
400,SpaYN,tinyint(1),YES,,,
401,SpecialLicenses,text,YES,,,
402,SpecialListingConditions,text,YES,,,
403,StandardStatus,varchar(45),YES,MUL,,
404,StateOrProvince,varchar(22),YES,MUL,,
405,StatusChangeTimestamp,datetime,YES,,,
406,Stories,int(11),YES,,,
407,StoriesTotal,int(11),YES,,,
408,StreetDirPrefix,varchar(35),YES,,,
409,StreetDirSuffix,varchar(35),YES,,,
410,StreetName,varchar(70),YES,,,
411,StreetNumber,varchar(45),YES,,,
412,StreetNumberNumeric,int(11),YES,,,
413,StreetSuffix,varchar(45),YES,,,
414,StructureType,varchar(45),YES,,,
415,SubAgencyCompensation,varchar(45),YES,,,
416,SubAgencyCompensationType,varchar(45),YES,,,
417,SubdivisionName,varchar(70),YES,,,
418,SyndicateTo,text,YES,,,
419,SyndicationRemarks,text,YES,,,
420,TaxAnnualAmount,"decimal(13,2)",YES,,,
421,TaxAssessedValue,bigint(20),YES,,,
422,TaxBlock,varchar(45),YES,,,
