,Field,Type,Null,Key,Default,Extra
0,AccessCode,varchar(30),YES,,,
1,AccessibilityFeatures,varchar(40),YES,,,
2,AdditionalParcelsDescription,varchar(30),YES,,,
3,Appliances,tinyint(1),YES,,,
4,ArchitecturalStyle,varchar(30),YES,,,
5,AssociationAmenities,tinyint(1),YES,,,
6,AssociationFee,"decimal(14,2)",YES,,,
7,AssociationFeeFrequency,varchar(30),YES,,,
8,AssociationFeeIncludes,varchar(60),YES,,,
9,AssociationName,varchar(30),YES,,,
10,AssociationYN,tinyint(1),YES,,,
11,AttachedGarageYN,tinyint(1),YES,,,
12,AttributionContact,varchar(30),YES,,,
13,Basement,varchar(50),YES,,,
14,BathroomsFull,bigint(20),YES,,,
15,BathroomsHalf,bigint(20),YES,,,
16,BathroomsOneQuarter,bigint(20),YES,,,
17,BathroomsPartial,bigint(20),YES,,,
18,BathroomsThreeQuarter,bigint(20),YES,,,
19,BathroomsTotalInteger,bigint(20),YES,,,
20,BedroomsTotal,bigint(20),YES,,,
21,BodyType,tinyint(1),YES,,,
22,BuildingAreaTotal,"decimal(14,2)",YES,,,
23,BusinessType,varchar(30),YES,,,
24,BuyerAgencyCompensation,varchar(30),YES,,,
25,BuyerAgencyCompensationType,varchar(30),YES,,,
26,BuyerAgentDesignation,varchar(280),YES,,,
27,BuyerAgentDirectPhone,varchar(30),YES,,,
28,BuyerAgentEmail,varchar(50),YES,,,
29,BuyerAgentFax,varchar(30),YES,,,
30,BuyerAgentFirstName,varchar(30),YES,,,
31,BuyerAgentFullName,varchar(30),YES,,,
32,BuyerAgentKey,varchar(32),YES,,,
33,BuyerAgentLastName,varchar(30),YES,,,
34,BuyerAgentMiddleName,varchar(30),YES,,,
35,BuyerAgentMlsId,varchar(32),YES,,,
36,BuyerAgentMobilePhone,varchar(30),YES,,,
37,BuyerAgentOfficePhone,varchar(30),YES,,,
38,BuyerAgentOfficePhoneExt,varchar(30),YES,,,
39,BuyerAgentPager,varchar(30),YES,,,
40,BuyerAgentPreferredPhone,varchar(30),YES,,,
41,BuyerAgentPreferredPhoneExt,varchar(30),YES,,,
42,BuyerAgentStateLicense,varchar(30),YES,,,
43,BuyerAgentTollFreePhone,varchar(30),YES,,,
44,BuyerAgentURL,varchar(160),YES,,,
45,BuyerAgentVoiceMail,varchar(30),YES,,,
46,BuyerAgentVoiceMailExt,varchar(30),YES,,,
47,BuyerFinancing,varchar(30),YES,,,
48,BuyerOfficeEmail,varchar(40),YES,,,
49,BuyerOfficeFax,varchar(30),YES,,,
50,BuyerOfficeKey,varchar(32),YES,,,
51,BuyerOfficeMlsId,varchar(32),YES,,,
52,BuyerOfficeName,varchar(60),YES,,,
53,BuyerOfficePhone,varchar(30),YES,,,
54,BuyerOfficePhoneExt,varchar(30),YES,,,
55,BuyerOfficeURL,varchar(100),YES,,,
56,BuyerTeamKey,varchar(32),YES,,,
57,BuyerTeamName,varchar(30),YES,,,
58,CarportSpaces,"decimal(14,2)",YES,,,
59,CarportYN,tinyint(1),YES,,,
60,City,varchar(30),YES,,,
61,CloseDate,date,YES,,,
62,ClosePrice,"decimal(14,2)",YES,,,
63,CoBuyerAgentDesignation,varchar(210),YES,,,
64,CoBuyerAgentDirectPhone,varchar(30),YES,,,
65,CoBuyerAgentEmail,varchar(40),YES,,,
66,CoBuyerAgentFax,varchar(30),YES,,,
67,CoBuyerAgentFirstName,varchar(30),YES,,,
68,CoBuyerAgentFullName,varchar(30),YES,,,
69,CoBuyerAgentKey,varchar(32),YES,,,
70,CoBuyerAgentLastName,varchar(30),YES,,,
71,CoBuyerAgentMiddleName,varchar(30),YES,,,
72,CoBuyerAgentMlsId,varchar(32),YES,,,
73,CoBuyerAgentMobilePhone,varchar(30),YES,,,
74,CoBuyerAgentOfficePhone,varchar(30),YES,,,
75,CoBuyerAgentOfficePhoneExt,varchar(30),YES,,,
76,CoBuyerAgentPager,varchar(30),YES,,,
77,CoBuyerAgentPreferredPhone,varchar(30),YES,,,
78,CoBuyerAgentPreferredPhoneExt,varchar(30),YES,,,
79,CoBuyerAgentStateLicense,varchar(30),YES,,,
80,CoBuyerAgentTollFreePhone,varchar(30),YES,,,
81,CoBuyerAgentURL,varchar(60),YES,,,
82,CoBuyerAgentVoiceMail,varchar(30),YES,,,
83,CoBuyerAgentVoiceMailExt,varchar(30),YES,,,
84,CoBuyerOfficeEmail,varchar(40),YES,,,
