,Field,Type,Null,Key,Default,Extra
0,Matrix_Unique_ID,bigint(19),NO,PRI,,
1,ActiveContinueToShowDate,datetime,YES,,,
2,ActiveOpenHouseCount,int(11),YES,,,
3,AdvertiseDate,datetime,YES,,,
4,AssociationCommunityName,varchar(100),YES,,,
5,AssociationPhone,varchar(50),YES,,,
6,AuctionDate,datetime,YES,,,
7,BackOnMarketDate,datetime,YES,,,
8,BathsFull,int(11),YES,,,
9,BathsHalf,int(11),YES,,,
10,BathsTotal,"decimal(8,2)",YES,,,
11,BedsTotal,int(11),YES,,,
12,BuildingName,varchar(50),YES,,,
13,BuyerFinancing,varchar(1000),YES,,,
14,City,varchar(50),YES,,,
15,Class,varchar(4),NO,MUL,,
16,CloseDate,datetime,YES,,,
17,ClosePrice,"decimal(16,2)",YES,,,
18,CoListAgentDirectWorkPhone,varchar(50),YES,,,
19,CoListAgentEmail,varchar(80),YES,,,
20,CoListAgentFullName,varchar(150),YES,,,
21,CoListAgentMLSID,varchar(25),YES,MUL,,
22,CoListAgent_MUI,bigint(19),YES,,,
23,CoListOfficeMLSID,varchar(25),YES,,,
24,CoListOfficeName,varchar(50),YES,,,
25,CoListOfficePhone,varchar(50),YES,,,
26,CoListOffice_MUI,bigint(19),YES,,,
27,CoSellingAgentDirectWorkPhone,varchar(50),YES,,,
28,CoSellingAgentEmail,varchar(80),YES,,,
29,CoSellingAgentFullName,varchar(150),YES,,,
30,CoSellingAgentMLSID,varchar(25),YES,,,
31,CoSellingAgent_MUI,bigint(19),YES,,,
32,CoSellingOfficeMLSID,varchar(25),YES,,,
33,CoSellingOfficeName,varchar(50),YES,,,
34,CoSellingOfficePhone,varchar(50),YES,,,
35,CoSellingOffice_MUI,bigint(19),YES,,,
36,CompensationMethod,varchar(25),YES,,,
37,CompensationSubjectTo,varchar(32),YES,,,
38,Concessions,int(11),YES,,,
39,ConditionalDate,datetime,YES,,,
40,CondoPropertyRegimeYN,tinyint(1),YES,,,
41,ConstructionMaterials,varchar(1000),YES,,,
42,CountyOrParish,varchar(32),YES,,,
43,CurrentPrice,"decimal(16,2)",YES,,,
44,DOM,int(11),YES,,,
45,Disclosures,varchar(1000),YES,,,
46,DivisionName,varchar(32),YES,,,
47,DownPaymentResourceYN,tinyint(1),YES,,,
48,DualVariableCompensationYN,tinyint(1),YES,,,
49,Easements,varchar(1000),YES,,,
50,ElementarySchool,varchar(50),YES,,,
51,FeeOptions,varchar(32),YES,,,
52,FeePurchase,int(11),YES,,,
53,FloodZone,varchar(46),YES,,,
54,Flooring,varchar(1000),YES,,,
55,ForecloseureCivilCaseNumber,varchar(20),YES,,,
56,ForeclosureYN,tinyint(1),YES,,,
57,ForeignCountryOrState,varchar(80),YES,,,
58,HighSchool,varchar(50),YES,,,
59,LandRecorded,varchar(32),YES,,,
60,LandTenure,varchar(32),YES,,,
61,LeaseExpirationDate,datetime,YES,,,
62,LeaseExpirationYear,int(11),YES,,,
63,LeaseFeeMonth,"decimal(16,2)",YES,,,
64,LeasePrice,"decimal(16,2)",YES,,,
65,LeaseRenegotiationDate,datetime,YES,,,
66,LessorName,varchar(50),YES,,,
67,ListAgentDirectWorkPhone,varchar(50),YES,,,
68,ListAgentEmail,varchar(80),YES,,,
69,ListAgentFullName,varchar(150),YES,,,
70,ListAgentMLSID,varchar(25),YES,MUL,,
71,ListAgent_MUI,bigint(19),YES,,,
72,ListOfficeMLSID,varchar(25),YES,,,
73,ListOfficeName,varchar(50),YES,MUL,,
74,ListOfficePhone,varchar(50),YES,,,
75,ListOffice_MUI,bigint(19),YES,,,
76,ListPrice,"decimal(16,2)",YES,,,
77,ListingAgreement,varchar(32),YES,,,
78,ListingContractDate,datetime,YES,,,
79,ListingFinancing,varchar(1000),YES,,,
80,ListingService,varchar(32),YES,,,
81,Location,varchar(1000),YES,,,
82,LockBoxYN,tinyint(1),YES,,,
83,LotSizeArea,"decimal(16,2)",YES,,,
84,MLS,varchar(32),YES,,,
85,MLSAreaMajor,varchar(32),YES,,,
86,MLSNumber,varchar(20),NO,MUL,,
87,ManagementCompanyName,varchar(50),YES,,,
88,ManagementCompanyPhone,varchar(25),YES,,,
89,MatrixModifiedDT,datetime,YES,,,
90,MiddleOrJuniorSchool,varchar(50),YES,,,
91,Neighbourhood,varchar(255),YES,,,
92,OffMarketDate,datetime,YES,,,
93,OpenHouseCount,int(11),YES,,,
94,OpenHouseUpcoming,varchar(255),YES,,,
95,OriginalEntryTimestamp,datetime,YES,,,
96,OriginalListPrice,"decimal(16,2)",YES,,,
97,ParcelNumber,varchar(50),YES,,,
98,ParkingFeatures,varchar(1000),YES,,,
99,PendingDate,datetime,YES,,,
100,PermitAddressInternetYN,tinyint(1),YES,,,
101,PermitInternetYN,tinyint(1),YES,,,
102,PhotoCount,int(11),YES,,,
103,PhotoModificationTimestamp,datetime,YES,,,
104,PostalCode,varchar(10),YES,MUL,,
105,PostalCodePlus4,varchar(4),YES,,,
106,PriceChangeTimestamp,datetime,YES,,,
107,PrivateRemarks,varchar(1000),YES,,,
108,PropertyCondition,varchar(1000),YES,,,
109,PropertyFrontage,varchar(1000),YES,,,
110,PropertySubType,varchar(32),YES,,,
111,PropertyType,varchar(32),YES,,,
112,PublicRemarks,varchar(1200),YES,,,
113,PublicReportNumber,int(11),YES,,,
114,RentStepUpMonthFirst,int(11),YES,,,
115,RentYearFirst,int(11),YES,,,
116,RoomCount,int(11),YES,,,
117,SQFTBuilding,int(11),YES,,,
118,SQFTGarageCarport,int(11),YES,,,
119,SQFTLanaiOpen,int(11),YES,,,
120,SQFTRoofedLiving,int(11),YES,,,
121,SQFTRoofedOther,int(11),YES,,,
122,SecurityFeatures,varchar(1000),YES,,,
123,SellingAgentDirectWorkPhone,varchar(50),YES,,,
124,SellingAgentEmail,varchar(80),YES,,,
125,SellingAgentFullName,varchar(150),YES,,,
126,SellingAgentMLSID,varchar(25),YES,,,
127,SellingAgentRemarks,varchar(400),YES,,,
128,SellingAgent_MUI,bigint(19),YES,,,
129,SellingOfficeMLSID,varchar(25),YES,,,
130,SellingOfficeName,varchar(50),YES,,,
131,SellingOfficePhone,varchar(50),YES,,,
132,SellingOffice_MUI,bigint(19),YES,,,
133,SpecialListingConditions,varchar(1000),YES,,,
134,SqftTotal,int(11),YES,MUL,,
135,StateOrProvince,varchar(2),YES,,,
136,Status,varchar(32),YES,,,
137,StatusChangeTimestamp,datetime,YES,,,
138,StatusContractualSearchDate,datetime,YES,,,
139,StreetDirPrefix,varchar(32),YES,,,
140,StreetDirSuffix,varchar(32),YES,,,
141,StreetName,varchar(50),YES,,,
142,StreetNumber,varchar(25),YES,,,
143,StreetSuffix,varchar(32),YES,,,
144,StreetViewParam,varchar(200),YES,,,
145,SubAgencyCompensation,varchar(25),YES,,,
146,SupplementCount,int(11),YES,,,
147,SupplementModificationTimestamp,datetime,YES,,,
148,TMKArea,int(11),YES,,,
149,TMKCondoPropertyRegimeNumber,int(11),YES,,,
150,TMKDivision,int(11),YES,,,
151,TMKPLAT,int(11),YES,,,
152,TMKParcel,int(11),YES,,,
153,TMKSection,int(11),YES,,,
154,TMKZone,int(11),YES,,,
155,TaxAmount,"decimal(16,2)",YES,,,
156,TaxAssessedValue,"decimal(16,2)",YES,,,
157,TaxAssessedValueImprovements,"decimal(16,2)",YES,,,
158,TaxAssessedValueLand,"decimal(16,2)",YES,,,
159,TaxPaidBySellerYN,tinyint(1),YES,,,
160,TaxYear,int(11),YES,,,
161,TempOffMarketDate,datetime,YES,,,
162,TemporarilyWithdrawnDate,datetime,YES,,,
163,UnitCount,int(11),YES,,,
164,UnitNumber,varchar(25),YES,,,
165,Utilities,varchar(1000),YES,,,
166,VirtualTourURLUnbranded,varchar(255),YES,,,
167,WithdrawnDate,datetime,YES,,,
168,YearBuilt,int(11),YES,MUL,,
169,Zoning,varchar(43),YES,,,
170,BusinessName,varchar(40),YES,,,
171,BusinessType,varchar(1000),YES,,,
172,BusinessTypeDescription,varchar(25),YES,,,
173,CommercialSpaceYN,tinyint(1),YES,,,
174,Cooling,varchar(1000),YES,,,
175,DaysOpenNumberOf,int(11),YES,,,
176,Employees,varchar(1000),YES,,,
177,ExpensesInformationSource,varchar(1000),YES,,,
178,FranchiseFee,int(11),YES,,,
179,GrossIncome,"decimal(16,2)",YES,,,
180,HoursOpen,varchar(1000),YES,,,
181,IncomeInformationSource,varchar(1000),YES,,,
182,LandlordName,varchar(50),YES,,,
183,LandlordPhone,varchar(50),YES,,,
184,LastChangeTimestamp,datetime,YES,,,
185,LeaseType,varchar(1000),YES,,,
186,Loading,varchar(1000),YES,,,
187,OwnershipType,varchar(1000),YES,,,
188,SQFTInterior,int(11),YES,,,
189,SQFTOther,int(11),YES,,,
190,StandardIndustrialClassification,int(11),YES,,,
191,YearEstablished,int(11),YES,,,
192,Documents,varchar(1000),YES,,,
193,Sewer,varchar(1000),YES,,,
194,RentStepUpMonthSecond,int(11),YES,,,
195,RentYearSecond,int(11),YES,,,
196,NetOperatingIncome,"decimal(16,2)",YES,,,
197,TenantsResponsibilitiesIncludes,varchar(1000),YES,,,
198,TotalAnnualOperatingExpenses,"decimal(16,2)",YES,,,
199,Amenities,varchar(1000),YES,,,
200,NumberOfUnitsTotal,int(11),YES,,,
201,ParkingTotal,int(11),YES,,,
202,Possession,varchar(1000),YES,,,
203,Roof,varchar(1000),YES,,,
204,ShowingInstructions,varchar(1000),YES,,,
205,StoriesType,varchar(1000),YES,,,
206,TotalActualRent,"decimal(16,2)",YES,,,
207,FloorNumber,int(11),YES,,,
208,Inclusions,varchar(1000),YES,,,
209,Stories,int(11),YES,,,
210,AdditionalParcelsYN,tinyint(1),YES,,,
211,CropsIncludedYN,tinyint(1),YES,,,
212,Improvements,varchar(1000),YES,,,
213,LandUse,varchar(1000),YES,,,
214,LotSizeDimensions,varchar(50),YES,,,
215,PossibleUse,varchar(1000),YES,,,
216,StructuresPresentYN,tinyint(1),YES,,,
217,TaxLot,varchar(25),YES,,,
218,UtilitiesMeters,varchar(1000),YES,,,
219,LotFeatures,varchar(1000),YES,,,
220,SetBacks,varchar(1000),YES,,,
221,Topography,varchar(1000),YES,,,
222,View,varchar(1000),YES,,,
223,AssociationFee,int(11),YES,,,
224,AssociationFee2,int(11),YES,,,
225,AssociationFeeTotal,int(11),YES,,,
226,MaintenanceExpense,"decimal(16,2)",YES,,,
227,Restrictions,varchar(1000),YES,,,
228,RoadFrontage,varchar(1000),YES,,,
229,Table,varchar(32),YES,,,
230,BuildingType,varchar(1000),YES,,,
231,CommercialSpacesNumberOf,int(11),YES,,,
232,ExpensesInclude,varchar(1000),YES,,,
233,IsDeleted,tinyint(1),YES,,,
234,LaundryFacilities,varchar(1000),YES,,,
235,OtherIncome,"decimal(16,2)",YES,,,
236,OtherParkingFeatures,varchar(1000),YES,,,
237,ProviderModificationTimestamp,datetime,YES,,,
238,RecreationFacilities,varchar(1000),YES,,,
239,StudioUnitsNumberOf,int(11),YES,,,
240,TotalIncome,"decimal(16,2)",YES,,,
241,UnitOneBedNumberOf,int(11),YES,,,
242,UnitThreeBedNumberOf,int(11),YES,,,
243,UnitTwoBedNumberOf,int(11),YES,,,
244,ElevatorsNumberOf,int(11),YES,,,
245,Furnished,varchar(32),YES,,,
246,YearRemodeled,int(11),YES,,,
247,ArchitecturalStyle,varchar(1000),YES,MUL,,
248,AssociationFee2Includes,varchar(1000),YES,,,
249,AssociationFeeIncludes,varchar(1000),YES,,,
250,BuilderName,varchar(50),YES,,,
251,CondoParkingUnit,varchar(25),YES,,,
252,ConversionYear,int(11),YES,,,
253,DepositAmount,"decimal(16,2)",YES,,,
254,ElevatorsFreightNumberOf,int(11),YES,,,
255,Exclusions,varchar(1000),YES,,,
256,FractionalOwnershipYN,tinyint(1),YES,,,
257,LessorName2,varchar(50),YES,,,
258,Model,varchar(50),YES,,,
259,ModelSiteContactName,varchar(50),YES,,,
260,ModelSiteContactPhone,varchar(50),YES,,,
261,ModelSiteOpenHours,varchar(25),YES,,,
262,NewDevelopmentConstructionYN,tinyint(1),YES,,,
263,OccupantType,varchar(1000),YES,,,
264,OwnerOccupancyPercentage,int(11),YES,,,
265,ParkingAdditional,int(11),YES,,,
266,PetsAllowed,varchar(1000),YES,,,
267,PetsAllowedYN,tinyint(1),YES,,,
268,PoolFeatures,varchar(1000),YES,,,
269,ProjectPublicReportNumber,varchar(60),YES,,,
270,Remodelled,varchar(32),YES,,,
271,RentalType,varchar(32),YES,,,
272,RentalUnitAvailableDate,datetime,YES,,,
273,ResidentManagerYN,tinyint(1),YES,,,
274,SQFTLanaiCovered,int(11),YES,,,
275,Section8YN,tinyint(1),YES,,,
276,TaxExcemptionOwnerOccupancy,varchar(25),YES,,,
277,UnitFeatures,varchar(1000),YES,,,
278,PictureLastDownloadedTimestamp,datetime,YES,MUL,,
279,PictureDownloaded,int(11),NO,MUL,0,
280,PictureDownloadedCount,tinyint(4),YES,,,
281,HasPictures,tinyint(2),NO,,0,
282,HoursUntilNextRetry,int(11),YES,,,
283,GeoOverride,int(11),NO,MUL,0,
284,GeoCacheV2Id,int(11),YES,,,
285,GeoAddress,varchar(100),YES,,,
286,GeoCity,varchar(50),YES,,,
287,GeoState,varchar(16),YES,,,
288,GeoZipCode,varchar(10),YES,,,
289,GeoTimestamp,datetime,YES,,,
290,latitude,"decimal(20,8)",YES,,,
291,longitude,"decimal(20,8)",YES,,,
292,PriceDropDate,datetime,YES,,,
293,PriceDropFrom,int(8),YES,,,
294,added_timestamp,timestamp,NO,,CURRENT_TIMESTAMP,
295,AttributionContact,varchar(150),YES,,,
