,Field,Type,Null,Key,Default,Extra
0,id,varchar(50),NO,PRI,,
1,agent_id,varchar(75),YES,,,
2,secondary_agent_id,varchar(75),YES,MUL,,
3,office_id,varchar(75),YES,,,
4,mls_number,varchar(75),YES,MUL,,
5,street_address,varchar(75),YES,,,
6,latitude,"decimal(12,6)",YES,,,
7,longitude,"decimal(12,6)",YES,,,
8,city,varchar(75),YES,MUL,,
9,state,varchar(75),YES,,,
10,postal_code,varchar(75),YES,MUL,,
11,country,varchar(75),YES,,USA,
12,list_price,"decimal(12,2)",YES,MUL,,
13,sold_price,"decimal(12,2)",YES,,,
14,sold_date,datetime,YES,,,
15,currency,varchar(75),YES,,,
16,property_description,text,YES,,,
17,bedrooms,int(10),YES,,,
18,total_bathrooms,float,YES,,,
19,full_bathrooms,float,YES,,,
20,three_quarter_bathrooms,float,YES,,,
21,half_bathrooms,float,YES,,,
22,quarter_bathrooms,float,YES,,,
23,living_area,varchar(75),YES,,,
24,lot_size,float,YES,,,
25,lot_size_units,varchar(75),YES,,,
26,property_type,varchar(75),YES,MUL,,
27,property_sub_type,varchar(75),YES,,,
28,interior_features,text,YES,,,
29,exterior_features,text,YES,,,
30,listing_url,varchar(255),YES,,,
31,listed_at_date,datetime,YES,,,
32,sold_at_date,datetime,YES,,,
33,lead_email,varchar(75),YES,,,
34,virtualtour_url,varchar(510),YES,,,
35,gl_listing,varchar(50),YES,,,
36,lc_package_type,varchar(20),YES,,,
37,lcc_id,varchar(20),YES,,,
38,lc_order_id,varchar(50),YES,,,
39,date_accepted,datetime,YES,,,
40,GeoOverride,int(8),YES,MUL,0,
41,GeoCacheV2Id,int(11),YES,,,
42,GeoAddress,varchar(100),YES,,,
43,GeoCity,varchar(50),YES,,,
44,GeoState,varchar(14),YES,,,
45,GeoZipCode,varchar(10),YES,,,
46,GeoTimestamp,datetime,YES,,,
47,manually_created,tinyint(4),NO,,0,
48,agent_at_office_id,varchar(100),YES,MUL,,
49,client_firstname,varchar(100),YES,,,
50,client_lastname,varchar(100),YES,,,
51,client_email,varchar(255),YES,,,
52,client_email2,varchar(255),YES,,,
53,client_email_salutation,varchar(255),YES,,,
54,mls_listing_status,varchar(255),YES,,,
55,listing_state,varchar(255),YES,MUL,,
56,PriceDropDate,datetime,YES,,,
57,PriceDropFrom,int(8),YES,,,
58,added_timestamp,timestamp,NO,,CURRENT_TIMESTAMP,
59,is_deleted,tinyint(1),NO,MUL,0,
60,date_ordered,datetime,YES,,,
