,Field,Type,Null,Key,Default,Extra
0,system_id,int(10),NO,PRI,,
1,tax_rate,varchar(10),YES,,,
2,acreage_source,varchar(10),YES,,,
3,address,varchar(100),YES,,,
4,address_2,varchar(28),YES,,,
5,address_direction,varchar(2),YES,,,
6,address_number,varchar(15),YES,,,
7,address_search_number,int(10),YES,,,
8,address_street,varchar(50),YES,,,
9,apx_acreage,"decimal(18,2)",YES,,,
10,area,varchar(19),YES,,,
11,associated_document_count,int(10),YES,,,
12,bac,varchar(20),YES,,,
13,branded_virtual_tour_1,text,YES,,,
14,branded_virtual_tour_2,text,YES,,,
15,city,varchar(16),YES,MUL,,
16,class,varchar(33),YES,,,
17,co_list_agent,int(10),YES,,,
18,colist_office,int(10),YES,,,
19,contract_date,date,YES,,,
20,county,varchar(12),YES,,,
21,directions,varchar(500),YES,,,
22,display_address,varchar(3),YES,,,
23,display_avm,varchar(3),YES,,,
24,display_comment,varchar(3),YES,,,
25,doc_manager,int(10),YES,,,
26,doc_timestamp,datetime,YES,,,
27,dom,int(10),YES,,,
28,domls,int(10),YES,,,
29,easements,varchar(33),YES,,,
30,electric_provider,varchar(30),YES,,,
31,expire_date,date,YES,,,
32,first_photo_add_timestamp,datetime,YES,,,
33,flat_fee,varchar(5),YES,,,
34,gas_provider,varchar(30),YES,,,
35,geo_address_line,varchar(255),YES,,,
36,geo_latitude,"decimal(18,15)",YES,,,
37,geo_longitude,"decimal(19,15)",YES,,,
38,geo_match_code,smallint(3),YES,,,
39,geo_matched_method,smallint(3),YES,,,
40,geo_postal_code,varchar(10),YES,,,
41,geo_primary_city,varchar(100),YES,,,
42,geo_quality,"decimal(12,8)",YES,,,
43,geo_secondary_city,varchar(100),YES,,,
44,geo_subdivision,varchar(2),YES,,,
45,geo_update_timestamp,datetime,YES,,,
46,geo_zoom_level,"decimal(2,0)",YES,,,
47,hotsheet_date,date,YES,,,
48,idx_include,varchar(3),YES,,,
49,input_board,varchar(5),YES,,,
50,input_date,datetime,YES,,,
51,la1agent_address2,varchar(50),YES,,,
52,la1agent_address_street_name,varchar(50),YES,,,
53,la1agent_city,varchar(50),YES,,,
54,la1agent_email,varchar(50),YES,,,
55,la1agent_first_name,varchar(50),YES,,,
56,la1agent_last_name,varchar(50),YES,,,
57,la1agent_logon_name,varchar(20),YES,,,
58,la1agent_middle_initial,varchar(1),YES,,,
59,la1agent_phone1_countryid,varchar(28),YES,,,
60,la1agent_phone1_description,varchar(10),YES,,,
61,la1agent_phone1_extension,varchar(5),YES,,,
62,la1agent_phone1_number,varchar(30),YES,,,
63,la1agent_phone2_countryid,varchar(28),YES,,,
64,la1agent_phone2_description,varchar(10),YES,,,
65,la1agent_phone2_extension,varchar(5),YES,,,
66,la1agent_phone2_number,varchar(30),YES,,,
67,la1agent_phone3_countryid,varchar(28),YES,,,
68,la1agent_phone3_description,varchar(10),YES,,,
69,la1agent_phone3_extension,varchar(5),YES,,,
70,la1agent_phone3_number,varchar(30),YES,,,
71,la1agent_phone4_countryid,varchar(28),YES,,,
72,la1agent_phone4_description,varchar(10),YES,,,
73,la1agent_phone4_extension,varchar(5),YES,,,
74,la1agent_phone4_number,varchar(30),YES,,,
75,la1agent_phone5_countryid,varchar(28),YES,,,
76,la1agent_phone5_description,varchar(10),YES,,,
77,la1agent_phone5_extension,varchar(5),YES,,,
78,la1agent_phone5_number,varchar(30),YES,,,
79,la1agent_state,varchar(2),YES,,,
80,la1agent_status,varchar(13),YES,,,
81,la1agent_training,varchar(10),YES,,,
82,la1agent_type,varchar(18),YES,,,
83,la1agent_url,varchar(80),YES,,,
84,la1agent_zip,varchar(20),YES,,,
85,la1notes,varchar(100),YES,,,
86,la1originating_mls,varchar(10),YES,,,
87,la1training_date,date,YES,,,
