,Field,Type,Null,Key,Default,Extra
0,matrix_unique_id,bigint(19),NO,PRI,,
1,matrix_modified_dt,datetime,YES,,,
2,mls_number,varchar(20),YES,MUL,,
3,street_name,varchar(50),YES,,,
4,street_number,varchar(25),YES,,,
5,access,text,YES,,,
6,acres,"decimal(21,1)",YES,,,
7,acres_desciption,varchar(75),YES,,,
8,active_date,datetime,YES,,,
9,active_open_house_count,int(11),YES,,,
10,annual_maint_desc,varchar(75),YES,,,
11,appliances,text,YES,,,
12,application_fee,int(11),YES,,,
13,approval_required,tinyint(1),YES,,,
14,approval_requirements,varchar(100),YES,,,
15,area,varchar(75),YES,,,
16,baths_full,int(11),YES,,,
17,baths_half,int(11),YES,,,
18,baths_total,"decimal(7,2)",YES,MUL,,
19,bed_room_description,text,YES,,,
20,beds_max,int(11),YES,,,
21,beds_total,int(11),YES,MUL,,
22,builder_name,varchar(20),YES,,,
23,building_access,text,YES,,,
24,building_name,varchar(75),YES,,,
25,building_stories,int(11),YES,,,
26,cable,varchar(75),YES,,,
27,carport_description,varchar(75),YES,,,
28,carport_spaces_count,int(11),YES,,,
29,census_tract,"decimal(21,1)",YES,,,
30,city,varchar(32),YES,MUL,,
31,compactor,tinyint(1),YES,,,
32,completed_construction_date,datetime,YES,,,
33,completion_date,datetime,YES,,,
34,complex_access,text,YES,,,
35,condo_yn,tinyint(1),YES,,,
36,connections,text,YES,,,
37,contract_type,varchar(75),YES,,,
38,cool_system,text,YES,,,
39,countertops,varchar(20),YES,,,
40,country,varchar(75),YES,,,
41,county_or_parish,varchar(32),YES,,,
42,date_avail,datetime,YES,,,
43,defects,text,YES,,,
44,deposit_pet,tinyint(1),YES,,,
45,deposit_security,varchar(50),YES,,,
46,description,text,YES,,,
47,develop_community,tinyint(1),YES,,,
48,directions,varchar(500),YES,,,
49,disclosures,text,YES,,,
50,dishwasher,tinyint(1),YES,,,
51,disposal,tinyint(1),YES,,,
52,dwelling_type,text,YES,,,
53,efficiency,tinyint(1),YES,,,
54,electric,varchar(75),YES,,,
55,energy,text,YES,,,
56,exclusions,varchar(50),YES,,,
57,exemptions,varchar(20),YES,,,
58,expense_operating,int(11),YES,,,
59,expense_owner_operating,text,YES,,,
60,exterior,text,YES,,,
61,fee_other,tinyint(1),YES,,,
62,fee_other_amount,varchar(40),YES,,,
63,finance_available,text,YES,,,
64,fireplace_description,text,YES,,,
65,fireplaces_number,int(11),YES,,,
66,floor_location,varchar(5),YES,,,
67,floor_location_search,int(11),YES,,,
68,floors,text,YES,,,
69,for_lease,tinyint(1),YES,,,
70,for_sale,tinyint(1),YES,,,
71,foundation,text,YES,,,
72,front_door_faces,text,YES,,,
73,furnished,tinyint(1),YES,,,
74,garage_carport,text,YES,,,
75,garage_desc,text,YES,,,
76,gas,varchar(75),YES,,,
77,geo_market_area,varchar(75),YES,,,
78,golf_course,varchar(75),YES,,,
79,gp_ext_geo_code_date,datetime,YES,,,
80,gp_ext_latitude,"decimal(11,6)",YES,,,
81,gp_ext_longitude,"decimal(11,6)",YES,,,
82,green_certification,text,YES,,,
83,heat_system,text,YES,,,
84,hoa_mandatory,tinyint(1),YES,,,
85,hoa_phone,varchar(16),YES,,,
86,hoa_website,varchar(50),YES,,,
87,home_phone,varchar(16),YES,,,
88,house,tinyint(1),YES,,,
89,icemaker,tinyint(1),YES,,,
90,improvements,text,YES,,,
91,income_gross,int(11),YES,,,
92,income_gross_operating,int(11),YES,,,
93,income_net_operating,int(11),YES,,,
94,interior,text,YES,,,
95,internet_address,tinyint(1),YES,,,
96,key_map,varchar(4),YES,,,
97,land_use,text,YES,,,
98,latitude,"decimal(11,6)",YES,,,
99,laundry,tinyint(1),YES,,,
100,laundry_location,varchar(75),YES,,,
101,legal,varchar(60),YES,,,
102,legal_subdivision,varchar(75),YES,,,
103,list_agent_direct_work_phone,varchar(50),YES,,,
104,list_agent_full_name,varchar(150),YES,,,
105,list_agent_mlsid,varchar(25),YES,,,
106,list_agent_mui,bigint(19),YES,MUL,,
107,list_office_mlsid,varchar(25),YES,,,
108,list_office_mui,bigint(19),YES,,,
109,list_office_name,varchar(50),YES,MUL,,
110,list_office_phone,varchar(50),YES,,,
111,list_price,"decimal(16,2)",YES,MUL,,
112,list_type,varchar(75),YES,,,
113,listing_contract_date,datetime,YES,,,
114,loan_assumable,varchar(75),YES,,,
115,location,varchar(75),YES,,,
116,loft,tinyint(1),YES,,,
117,longitude,"decimal(11,6)",YES,,,
118,lot_back_dimention,int(11),YES,,,
119,lot_desciption,text,YES,,,
120,lot_dimention,varchar(10),YES,,,
121,lot_front_dimention,int(11),YES,,,
122,lot_improvements,text,YES,,,
123,lot_left_dimention,int(11),YES,,,
124,lot_num,varchar(15),YES,,,
125,lot_righ_dimention,int(11),YES,,,
126,lot_size,int(11),YES,,,
127,lot_size_source,varchar(75),YES,,,
128,lot_use,text,YES,,,
129,lot_value,tinyint(1),YES,,,
130,maint_fee_amt,int(11),YES,,,
131,maint_fee_includes,text,YES,,,
132,maint_fee_pay_schedule,varchar(75),YES,,,
133,maintenance_fee_yes_no,tinyint(1),YES,,,
134,management_co_yn,tinyint(1),YES,,,
135,management_company,varchar(33),YES,,,
136,master_bath_desc,text,YES,,,
137,master_planned_community,varchar(75),YES,,,
138,master_planned_community_yn,tinyint(1),YES,,,
139,meters,varchar(75),YES,,,
140,mgmt_co_on_site,tinyint(1),YES,,,
141,microwave,tinyint(1),YES,,,
142,miles_to_houston,int(11),YES,,,
143,mineral_rights,tinyint(1),YES,,,
144,misc_features,text,YES,,,
145,new_construction,tinyint(1),YES,,,
146,new_construction_desc,varchar(75),YES,,,
147,no_of_garage_cap,int(11),YES,,,
148,occupancy,text,YES,,,
149,occupancy_rate,int(11),YES,,,
150,office_list_address,varchar(31),YES,,,
151,open_house_public_count,int(11),YES,,,
152,open_house_public_upcoming,varchar(255),YES,,,
153,other_mandatory_fee,varchar(50),YES,,,
154,oven_type,text,YES,,,
155,ownership,varchar(75),YES,,,
156,parcel_number,varchar(50),YES,,,
157,parking_desc,text,YES,,,
158,parking_spaces,int(11),YES,,,
159,parking_unit,varchar(75),YES,,,
160,pet_deposit_description,varchar(250),YES,,,
161,pets,varchar(75),YES,,,
162,phone_alt,varchar(16),YES,,,
163,phone_alt_desc,varchar(75),YES,,,
164,phone_avail,varchar(75),YES,,,
165,phone_mgmt_co,varchar(16),YES,,,
166,phone_office_ext,varchar(8),YES,,,
167,photo_count,int(11),YES,,,
168,photo_modification_timestamp,datetime,YES,,,
169,pool_area,tinyint(1),YES,,,
170,pool_private,tinyint(1),YES,,,
171,pool_private_desc,text,YES,,,
172,postal_code,varchar(10),YES,MUL,,
173,postal_code_plus_4,varchar(4),YES,,,
174,price_acre_list,"decimal(16,2)",YES,,,
175,price_change_timestamp,datetime,YES,,,
176,price_sale,"decimal(16,2)",YES,,,
177,price_sq_ft_list,"decimal(16,2)",YES,,,
178,property_sub_type,varchar(32),YES,,,
179,property_type,varchar(32),YES,,,
180,public_remarks,text,YES,,,
181,range,tinyint(1),YES,,,
182,range_type,text,YES,,,
183,realist_block,varchar(50),YES,,,
184,realist_lot,varchar(50),YES,,,
185,realist_owner_name,varchar(50),YES,,,
186,rec_facility,text,YES,,,
187,rec_facility_fee,varchar(75),YES,,,
188,refrigerator,tinyint(1),YES,,,
189,rent_copy_x_ref_uid,varchar(255),YES,,,
190,rental_terms,text,YES,,,
191,rental_type,varchar(75),YES,,,
192,restrictions,text,YES,,,
193,road_frontage,text,YES,,,
194,road_surface,text,YES,,,
195,roof,text,YES,,,
196,room_count,int(11),YES,,,
197,room_description,text,YES,,,
198,sale_ml_num,int(11),YES,,,
199,school_district,varchar(75),YES,,,
200,school_elementary,varchar(54),YES,,,
201,school_high,varchar(52),YES,,,
202,school_middle,varchar(49),YES,,,
203,section_num,varchar(5),YES,,,
204,siding,text,YES,,,
205,siding_acreage,text,YES,,,
206,smoking_allowed,tinyint(1),YES,,,
207,special_conditions,text,YES,,,
208,sq_ft_source,varchar(75),YES,,,
209,sq_ft_total,int(11),YES,MUL,,
210,state_or_province,varchar(32),YES,,,
211,status,varchar(32),YES,,,
212,stories,"decimal(21,1)",YES,,,
213,street_dir_prefix,varchar(32),YES,,,
214,street_dir_suffix,varchar(32),YES,,,
215,street_number_numeric,int(11),YES,,,
216,street_suffix,varchar(32),YES,,,
217,street_surface,text,YES,,,
218,style,text,YES,,,
219,subdivision,varchar(40),YES,,,
220,tax_amount,int(11),YES,,,
221,tax_rate,"decimal(21,1)",YES,,,
222,tax_year,int(11),YES,,,
223,tenancy_type,text,YES,,,
224,tennis,tinyint(1),YES,,,
225,topography,text,YES,,,
226,trec_contract,varchar(75),YES,,,
227,tree_desc,text,YES,,,
228,unit_count,int(11),YES,,,
229,unit_features,text,YES,,,
230,unit_level,varchar(75),YES,,,
231,unit_location,text,YES,,,
232,unit_number,varchar(25),YES,,,
233,unit_story,int(11),YES,,,
234,urlvt_1,varchar(255),YES,,,
235,urlvt_2,varchar(255),YES,,,
236,utilities,text,YES,,,
237,utility_district,tinyint(1),YES,,,
238,vacation_rental,tinyint(1),YES,,,
239,vacation_rental_daily_price,int(11),YES,,,
240,vacation_rental_listing,tinyint(1),YES,,,
241,vacation_rental_monthly_price,int(11),YES,,,
242,vacation_rental_term,text,YES,,,
243,vacation_rental_weekly_price,int(11),YES,,,
244,view_desc,text,YES,,,
245,washer_dryer,tinyint(1),YES,,,
246,water_amenity,text,YES,,,
247,water_sewer,text,YES,,,
248,web_address,varchar(64),YES,,,
249,year_built,int(11),YES,MUL,,
250,year_built_src,varchar(75),YES,,,
251,off_market_date,datetime,YES,,,
252,hs_rets_class,varchar(30),YES,MUL,,
253,PictureLastDownloadedTimestamp,datetime,YES,MUL,,
254,PictureDownloaded,int(11),NO,MUL,0,
255,PictureDownloadedCount,smallint(4),YES,,,
256,HasPictures,tinyint(2),NO,,0,
257,HoursUntilNextRetry,int(11),YES,,,
258,GeoOverride,int(11),NO,MUL,0,
259,GeoCacheV2Id,int(11),YES,,,
260,GeoAddress,varchar(100),YES,,,
261,GeoCity,varchar(50),YES,,,
262,GeoState,varchar(14),YES,,,
263,GeoZipCode,varchar(10),YES,,,
264,GeoTimestamp,datetime,YES,,,
265,added_timestamp,timestamp,NO,,CURRENT_TIMESTAMP,
266,PriceDropDate,datetime,YES,,,
267,PriceDropFrom,int(8),YES,,,
268,idx_contact_info,varchar(255),YES,,,
