,Field,Type,Null,Key,Default,Extra
0,AboveGradeFinishedArea,"decimal(13,2)",YES,,,
1,AboveGradeFinishedAreaSource,varchar(70),YES,,,
2,AboveGradeFinishedAreaUnits,varchar(45),YES,,,
3,AccessibilityFeatures,text,YES,,,
4,AdditionalParcelsDescription,text,YES,,,
5,AdditionalParcelsYN,tinyint(1),YES,,,
6,AnchorsCoTenants,text,YES,,,
7,Appliances,text,YES,,,
8,ArchitecturalStyle,varchar(200),YES,MUL,,
9,AssociationAmenities,text,YES,,,
10,AssociationFee,"decimal(13,2)",YES,,,
11,AssociationFee2,"decimal(13,2)",YES,,,
12,AssociationFee2Frequency,varchar(45),YES,,,
13,AssociationFeeFrequency,varchar(45),YES,,,
14,AttachedGarageYN,tinyint(1),YES,,,
15,AvailabilityDate,date,YES,,,
16,Basement,text,YES,,,
17,BasementYN,tinyint(1),YES,,,
18,BathroomsFull,int(11),YES,,,
19,BathroomsHalf,int(11),YES,,,
20,BathroomsThreeQuarter,int(11),YES,,,
21,BathroomsTotalInteger,int(11),YES,MUL,,
22,BedroomsPossible,int(11),YES,,,
23,BedroomsTotal,int(11),YES,MUL,,
24,BelowGradeFinishedArea,"decimal(13,2)",YES,,,
25,BelowGradeFinishedAreaSource,varchar(70),YES,,,
26,BelowGradeFinishedAreaUnits,varchar(45),YES,,,
27,BodyType,text,YES,,,
28,BuilderModel,varchar(70),YES,,,
29,BuilderName,varchar(70),YES,,,
30,BuildingAreaSource,varchar(70),YES,,,
31,BuildingAreaTotal,"decimal(13,2)",YES,,,
32,BuildingAreaUnits,varchar(45),YES,,,
33,BuildingFeatures,text,YES,,,
34,BuildingName,varchar(70),YES,,,
35,BusinessName,text,YES,,,
36,BusinessType,text,YES,,,
37,BuyerAgencyCompensation,varchar(60),YES,,,
38,BuyerAgencyCompensationType,varchar(45),YES,,,
39,BuyerAgentAOR,varchar(70),YES,,,
40,BuyerAgentEmail,varchar(100),YES,,,
41,BuyerAgentFax,varchar(36),YES,,,
42,BuyerAgentFirstName,varchar(70),YES,,,
43,BuyerAgentFullName,varchar(170),YES,,,
44,BuyerAgentKey,varchar(275),YES,MUL,,
45,BuyerAgentKeyNumeric,bigint(20),YES,,,
46,BuyerAgentMlsId,varchar(45),YES,,,
47,CapRate,"decimal(4,2)",YES,,,
48,CarportSpaces,"decimal(13,2)",YES,,,
49,CarportYN,tinyint(1),YES,,,
50,City,varchar(70),YES,MUL,,
51,CloseDate,date,YES,,,
52,ClosePrice,"decimal(13,2)",YES,,,
53,CoBuyerAgentKey,varchar(275),YES,MUL,,
54,CoBuyerAgentKeyNumeric,bigint(20),YES,,,
55,CoBuyerAgentMlsId,varchar(45),YES,,,
56,CoListAgentFirstName,varchar(70),YES,,,
57,CoListAgentFullName,varchar(170),YES,,,
58,CoListAgentKey,varchar(275),YES,MUL,,
59,CoListAgentKeyNumeric,bigint(20),YES,,,
60,CoListAgentLastName,varchar(70),YES,,,
61,CoListAgentMiddleName,varchar(70),YES,,,
62,CoListAgentMlsId,varchar(45),YES,,,
63,CoListAgentURL,text,YES,,,
64,CoListOfficeAOR,varchar(70),YES,,,
65,CoListOfficeEmail,varchar(100),YES,,,
66,CoListOfficeFax,varchar(36),YES,,,
67,CoListOfficeKey,varchar(275),YES,,,
68,CoListOfficeKeyNumeric,bigint(20),YES,,,
69,CoListOfficeMlsId,varchar(45),YES,,,
70,CoListOfficeName,text,YES,,,
71,CoListOfficePhone,varchar(36),YES,,,
72,CoListOfficePhoneExt,varchar(30),YES,,,
73,CoListOfficeURL,text,YES,,,
74,ConstructionMaterials,text,YES,,,
75,Cooling,text,YES,,,
76,CoolingYN,tinyint(1),YES,,,
77,Country,varchar(22),YES,,,
78,CountyOrParish,varchar(70),YES,,,
79,CoveredSpaces,"decimal(13,2)",YES,,,
80,CumulativeDaysOnMarket,int(11),YES,,,
81,CurrentFinancing,text,YES,,,
82,DaysOnMarket,int(11),YES,,,
83,DevelopmentStatus,text,YES,,,
84,DirectionFaces,varchar(45),YES,,,
85,Directions,text,YES,,,
86,Disclosures,text,YES,,,
87,ElementarySchool,varchar(70),YES,,,
88,ElementarySchoolDistrict,varchar(70),YES,,,
89,ExteriorFeatures,text,YES,,,
90,GarageSpaces,"decimal(13,2)",YES,,,
91,Heating,text,YES,,,
92,HeatingYN,tinyint(1),YES,,,
93,HighSchool,varchar(70),YES,,,
94,HighSchoolDistrict,varchar(70),YES,,,
95,InteriorFeatures,text,YES,,,
96,InternetAddressDisplayYN,tinyint(1),YES,,,
97,InternetAutomatedValuationDisplayYN,tinyint(1),YES,,,
98,InternetConsumerCommentYN,tinyint(1),YES,,,
99,InternetEntireListingDisplayYN,tinyint(1),YES,,,
100,Latitude,"decimal(11,8)",YES,MUL,,
101,LeaseExpiration,date,YES,,,
102,LeaseTerm,varchar(45),YES,,,
103,License1,varchar(45),YES,,,
104,ListAOR,varchar(70),YES,,,
105,ListAgentAOR,varchar(70),YES,,,
106,ListAgentDirectPhone,varchar(36),YES,,,
107,ListAgentEmail,varchar(100),YES,,,
108,ListAgentFax,varchar(36),YES,,,
109,ListAgentFirstName,varchar(70),YES,,,
110,ListAgentFullName,varchar(170),YES,,,
111,ListAgentKey,varchar(275),YES,MUL,,
112,ListAgentKeyNumeric,bigint(20),YES,,,
113,ListAgentLastName,varchar(70),YES,,,
114,ListAgentMiddleName,varchar(70),YES,,,
115,ListAgentMlsId,varchar(45),YES,MUL,,
116,ListAgentMobilePhone,varchar(36),YES,,,
117,ListAgentOfficePhone,varchar(36),YES,,,
118,ListAgentOfficePhoneExt,varchar(30),YES,,,
119,ListAgentPager,varchar(36),YES,,,
120,ListAgentPreferredPhone,varchar(36),YES,,,
121,ListAgentPreferredPhoneExt,varchar(30),YES,,,
122,ListAgentStateLicense,varchar(70),YES,,,
123,ListAgentURL,text,YES,,,
124,ListOfficeAOR,varchar(70),YES,,,
125,ListOfficeEmail,varchar(100),YES,,,
126,ListOfficeKey,varchar(275),YES,MUL,,
127,ListOfficeKeyNumeric,bigint(20),YES,,,
128,ListOfficeMlsId,varchar(45),YES,,,
129,ListOfficeName,varchar(200),YES,MUL,,
130,ListOfficePhone,varchar(36),YES,,,
131,ListOfficePhoneExt,varchar(30),YES,,,
132,ListOfficeURL,text,YES,,,
133,ListPrice,"decimal(13,2)",YES,MUL,,
134,ListTeamKey,varchar(275),YES,,,
135,ListTeamKeyNumeric,bigint(20),YES,,,
136,ListTeamName,varchar(70),YES,,,
137,ListingAgreement,varchar(70),YES,,,
138,ListingContractDate,date,YES,,,
139,ListingId,varchar(275),NO,PRI,,
140,ListingKey,varchar(275),NO,UNI,,
141,ListingKeyNumeric,bigint(20),YES,,,
142,Longitude,"decimal(11,8)",YES,MUL,,
143,LotFeatures,text,YES,,,
144,LotSizeAcres,"decimal(15,4)",YES,MUL,,
145,LotSizeArea,"decimal(15,4)",YES,,,
146,LotSizeDimensions,varchar(170),YES,,,
147,LotSizeSource,varchar(70),YES,,,
148,LotSizeSquareFeet,"decimal(14,2)",YES,,,
149,LotSizeUnits,varchar(45),YES,,,
150,MLSAreaMajor,varchar(70),YES,,,
151,MLSAreaMinor,varchar(70),YES,,,
152,MRD_ZERO_LOT_LINE,text,YES,,,
153,MajorChangeTimestamp,datetime,YES,,,
154,MiddleOrJuniorSchool,varchar(70),YES,,,
155,MiddleOrJuniorSchoolDistrict,varchar(70),YES,,,
156,MlsStatus,varchar(70),YES,,,
157,Model,varchar(70),YES,,,
158,ModificationTimestamp,datetime,YES,,,
159,NumberOfLots,int(11),YES,,,
160,OffMarketDate,date,YES,,,
161,OffMarketTimestamp,datetime,YES,,,
162,OnMarketDate,date,YES,,,
163,OnMarketTimestamp,datetime,YES,,,
164,OpenParkingSpaces,"decimal(13,2)",YES,,,
165,OpenParkingYN,tinyint(1),YES,,,
166,OriginalEntryTimestamp,datetime,YES,,,
167,OriginalListPrice,"decimal(13,2)",YES,,,
168,OriginatingSystemID,varchar(45),YES,,,
169,OriginatingSystemKey,varchar(275),YES,,,
170,OriginatingSystemModificationTimestamp,datetime,YES,,,
171,OriginatingSystemName,text,YES,,,
172,OtherParking,text,YES,,,
173,ParcelNumber,varchar(70),YES,,,
174,ParkManagerName,varchar(70),YES,,,
175,ParkManagerPhone,varchar(36),YES,,,
176,ParkName,varchar(70),YES,,,
177,ParkingFeatures,text,YES,,,
178,ParkingTotal,"decimal(13,2)",YES,,,
179,PendingTimestamp,datetime,YES,,,
180,PhotosChangeTimestamp,datetime,YES,,,
181,PhotosCount,int(11),YES,,,
182,PostalCode,varchar(30),YES,,,
183,PostalCodePlus4,varchar(24),YES,,,
184,PowerProductionType,text,YES,,,
185,PreviousListPrice,"decimal(13,2)",YES,,,
186,PriceChangeTimestamp,datetime,YES,,,
187,PrivateRemarks,text,YES,,,
188,PropertySubType,varchar(70),YES,MUL,,
189,PropertyType,varchar(70),YES,MUL,,
190,PublicRemarks,text,YES,,,
191,PurchaseContractDate,date,YES,,,
192,RTC_AttributionContact,text,YES,,,
193,RoomsTotal,int(11),YES,,,
194,SourceSystemID,varchar(45),YES,,,
195,SourceSystemKey,varchar(275),YES,,,
196,SpecialListingConditions,text,YES,,,
197,StandardStatus,varchar(45),YES,MUL,,
198,StateOrProvince,varchar(22),YES,MUL,,
199,StatusChangeTimestamp,datetime,YES,,,
200,StreetDirPrefix,varchar(35),YES,,,
201,StreetDirSuffix,varchar(35),YES,,,
202,StreetName,varchar(70),YES,,,
203,StreetNumber,varchar(45),YES,,,
204,StreetNumberNumeric,int(11),YES,,,
205,StreetSuffix,varchar(45),YES,,,
206,TaxAnnualAmount,"decimal(13,2)",YES,,,
207,TaxAssessedValue,bigint(20),YES,,,
208,TaxBlock,varchar(45),YES,,,
209,TaxBookNumber,varchar(45),YES,,,
210,TaxLegalDescription,text,YES,,,
211,TaxLot,varchar(45),YES,,,
212,TaxOtherAnnualAssessmentAmount,"decimal(13,2)",YES,,,
213,TaxYear,int(11),YES,,,
214,TotalActualRent,"decimal(13,2)",YES,,,
215,Township,varchar(70),YES,,,
216,UnitNumber,varchar(60),YES,,,
217,UniversalPropertyId,varchar(148),YES,,,
218,UnparsedAddress,text,YES,,,
219,View,text,YES,,,
220,ViewYN,tinyint(1),YES,,,
221,VirtualTourURLBranded,text,YES,,,
222,VirtualTourURLUnbranded,text,YES,,,
223,YearBuilt,int(11),YES,,,
224,PictureLastDownloadedTimestamp,datetime,YES,,,
225,PictureDownloaded,int(11),NO,MUL,0,
226,PictureDownloadedCount,smallint(4),YES,,,
227,HasPictures,tinyint(2),NO,,0,
228,GeoOverride,int(11),NO,,0,
229,GeoCacheV2Id,int(11),YES,,,
230,GeoAddress,varchar(100),YES,,,
231,GeoCity,varchar(50),YES,,,
232,GeoState,varchar(14),YES,,,
233,GeoZipCode,varchar(10),YES,,,
234,GeoTimestamp,datetime,YES,,,
235,added_timestamp,timestamp,NO,,CURRENT_TIMESTAMP,
236,PriceDropDate,datetime,YES,,,
237,PriceDropFrom,int(8),YES,,,
