,Field,Type,Null,Key,Default,Extra
0,AccessCode,varchar(30),YES,,,
1,AdditionalParcelsYN,tinyint(1),YES,,,
2,Appliances,varchar(210),YES,,,
3,ArchitecturalStyle,varchar(110),YES,,,
4,AssociationAmenities,varchar(240),YES,,,
5,AssociationFee,"decimal(14,2)",YES,,,
6,AssociationFee2,"decimal(14,2)",YES,,,
7,AssociationFee2Frequency,varchar(30),YES,,,
8,AssociationFeeFrequency,varchar(30),YES,,,
9,AssociationFeeIncludes,varchar(170),YES,,,
10,AssociationName,varchar(50),YES,,,
11,AssociationPhone,varchar(30),YES,,,
12,AssociationYN,tinyint(1),YES,,,
13,AttachedGarageYN,tinyint(1),YES,,,
14,BathroomsFull,bigint(20),YES,,,
15,BathroomsHalf,bigint(20),YES,,,
16,BathroomsOneQuarter,bigint(20),YES,,,
17,BathroomsThreeQuarter,bigint(20),YES,,,
18,BathroomsTotalInteger,bigint(20),YES,,,
19,BedroomsTotal,bigint(20),YES,,,
20,BodyType,varchar(30),YES,,,
21,BuilderModel,varchar(50),YES,,,
22,BuilderName,varchar(50),YES,,,
23,BuildingAreaSource,varchar(30),YES,,,
24,BuildingAreaTotal,"decimal(14,2)",YES,,,
25,BuildingFeatures,varchar(40),YES,,,
26,BuildingName,varchar(30),YES,,,
27,BusinessName,varchar(30),YES,,,
28,CancelationDate,date,YES,,,
29,CapRate,"decimal(5,2)",YES,,,
30,CarportSpaces,"decimal(14,2)",YES,,,
31,City,varchar(30),YES,,,
32,CloseDate,date,YES,,,
33,ClosePrice,"decimal(14,2)",YES,,,
34,CommunityFeatures,varchar(130),YES,,,
35,ConcessionsAmount,bigint(20),YES,,,
36,ConcessionsComments,varchar(160),YES,,,
37,ContractStatusChangeDate,date,YES,,,
38,Cooling,varchar(110),YES,,,
39,CoolingYN,tinyint(1),YES,,,
40,CopyrightNotice,varchar(30),YES,,,
41,Country,varchar(30),YES,,,
42,CountyOrParish,varchar(30),YES,,,
43,CoveredSpaces,"decimal(14,2)",YES,,,
44,CrossStreet,varchar(60),YES,,,
45,DaysOnMarket,bigint(20),YES,,,
46,Directions,varchar(350),YES,,,
47,Disclaimer,varchar(30),YES,,,
48,Disclosures,varchar(230),YES,,,
49,DistanceToSchoolsComments,varchar(50),YES,,,
50,DocumentsAvailable,varchar(140),YES,,,
51,DocumentsChangeTimestamp,datetime,YES,,,
52,DocumentsCount,bigint(20),YES,,,
53,DoorFeatures,varchar(50),YES,,,
54,DualVariableCompensationYN,tinyint(1),YES,,,
55,ElectricExpense,"decimal(14,2)",YES,,,
56,ElementarySchool,varchar(30),YES,,,
57,EntryLocation,varchar(30),YES,,,
58,Exclusions,varchar(400),YES,,,
59,ExpirationDate,date,YES,,,
60,Fencing,varchar(80),YES,,,
61,FireplaceFeatures,varchar(130),YES,,,
62,FireplaceYN,tinyint(1),YES,,,
63,FireplacesTotal,bigint(20),YES,,,
64,FloorPlansChangeTimestamp,datetime,YES,,,
65,Flooring,varchar(60),YES,,,
66,Furnished,varchar(30),YES,,,
67,GarageSpaces,"decimal(14,2)",YES,,,
68,Heating,varchar(70),YES,,,
69,HeatingYN,tinyint(1),YES,,,
70,HighSchool,varchar(30),YES,,,
71,HighSchoolDistrict,varchar(50),YES,,,
72,HomeWarrantyYN,tinyint(1),YES,,,
73,Inclusions,varchar(220),YES,,,
74,InsuranceExpense,"decimal(14,2)",YES,,,
75,InteriorFeatures,varchar(150),YES,,,
76,InternetAddressDisplayYN,tinyint(1),YES,,,
77,InternetAutomatedValuationDisplayYN,tinyint(1),YES,,,
78,InternetConsumerCommentYN,tinyint(1),YES,,,
79,InternetEntireListingDisplayYN,tinyint(1),YES,,,
80,LandLeaseAmount,"decimal(14,2)",YES,,,
81,LandLeaseExpirationDate,date,YES,,,
82,LandLeaseYN,tinyint(1),YES,,,
83,Latitude,"decimal(12,8)",YES,,,
84,LaundryFeatures,varchar(70),YES,,,
85,LeasableArea,"decimal(14,2)",YES,,,
86,Levels,varchar(80),YES,,,
87,ListAgentDesignation,varchar(1030),YES,,,
88,ListAgentDirectPhone,varchar(30),YES,,,
89,ListAgentEmail,varchar(50),YES,,,
90,ListAgentFax,varchar(30),YES,,,
91,ListAgentFirstName,varchar(30),YES,,,
92,ListAgentFullName,varchar(30),YES,,,
93,ListAgentKey,varchar(30),YES,,,
94,ListAgentLastName,varchar(30),YES,,,
95,ListAgentMiddleName,varchar(30),YES,,,
96,ListAgentMlsId,varchar(20),YES,,,
97,ListAgentMobilePhone,varchar(30),YES,,,
98,ListAgentOfficePhone,varchar(30),YES,,,
99,ListAgentOfficePhoneExt,varchar(30),YES,,,
100,ListAgentPager,varchar(30),YES,,,
101,ListAgentPreferredPhone,varchar(30),YES,,,
102,ListAgentPreferredPhoneExt,varchar(30),YES,,,
103,ListAgentStateLicense,varchar(30),YES,,,
104,ListAgentTollFreePhone,varchar(30),YES,,,
105,ListAgentURL,varchar(90),YES,,,
106,ListAgentVoiceMail,varchar(30),YES,,,
107,ListAgentVoiceMailExt,varchar(30),YES,,,
108,ListOfficeEmail,varchar(40),YES,,,
109,ListOfficeFax,varchar(30),YES,,,
110,ListOfficeKey,varchar(30),YES,,,
111,ListOfficeMlsId,varchar(20),YES,,,
112,ListOfficeName,varchar(60),YES,,,
113,ListOfficePhone,varchar(30),YES,,,
114,ListOfficePhoneExt,varchar(30),YES,,,
115,ListOfficeURL,varchar(50),YES,,,
116,ListPrice,"decimal(14,2)",YES,,,
117,ListTeamKey,varchar(10),YES,,,
118,ListTeamName,varchar(30),YES,,,
119,ListingAgreement,varchar(30),YES,,,
120,ListingContractDate,date,YES,,,
121,ListingId,varchar(10),YES,,,
122,ListingKey,varchar(30),NO,PRI,,
123,LivingArea,"decimal(14,2)",YES,,,
124,LockBoxLocation,varchar(30),YES,,,
125,LockBoxType,varchar(40),YES,,,
126,Longitude,"decimal(12,8)",YES,,,
127,LotDimensionsSource,varchar(30),YES,,,
128,LotFeatures,varchar(50),YES,,,
129,LotSizeAcres,"decimal(16,4)",YES,,,
130,LotSizeArea,"decimal(16,4)",YES,,,
131,LotSizeDimensions,varchar(40),YES,,,
132,LotSizeSource,varchar(30),YES,,,
133,LotSizeSquareFeet,"decimal(14,2)",YES,,,
134,LotSizeUnits,varchar(30),YES,,,
135,MLSAreaMajor,varchar(50),YES,,,
136,MLSAreaMinor,varchar(40),YES,,,
137,MaintenanceExpense,"decimal(14,2)",YES,,,
138,MajorChangeTimestamp,datetime,YES,,,
139,MajorChangeType,varchar(30),YES,,,
140,Make,varchar(60),YES,,,
141,MiddleOrJuniorSchool,varchar(30),YES,,,
142,MlsStatus,varchar(30),YES,,,
143,MobileLength,bigint(20),YES,,,
144,MobileWidth,bigint(20),YES,,,
145,Model,varchar(60),YES,,,
146,ModificationTimestamp,datetime,YES,,,
147,NewConstructionYN,tinyint(1),YES,,,
148,NumberOfBuildings,bigint(20),YES,,,
149,NumberOfUnitsInCommunity,bigint(20),YES,,,
150,OccupantType,varchar(30),YES,,,
151,OffMarketDate,date,YES,,,
152,OffMarketTimestamp,datetime,YES,,,
153,OnMarketDate,date,YES,,,
154,OnMarketTimestamp,datetime,YES,,,
155,OpenParkingSpaces,"decimal(14,2)",YES,,,
156,OperatingExpense,"decimal(14,2)",YES,,,
157,OriginalEntryTimestamp,datetime,YES,,,
158,OriginalListPrice,"decimal(14,2)",YES,,,
159,OriginatingSystemID,varchar(30),YES,,,
160,OriginatingSystemKey,varchar(30),YES,,,
161,OriginatingSystemName,varchar(50),YES,,,
162,OtherExpense,"decimal(14,2)",YES,,,
163,OwnerName,varchar(30),YES,,,
164,OwnerPhone,varchar(30),YES,,,
165,ParcelNumber,varchar(50),YES,,,
166,ParkManagerName,varchar(30),YES,,,
167,ParkManagerPhone,varchar(30),YES,,,
168,ParkName,varchar(50),YES,,,
169,ParkingFeatures,varchar(130),YES,,,
170,ParkingTotal,"decimal(14,2)",YES,,,
171,PatioAndPorchFeatures,varchar(100),YES,,,
172,PendingTimestamp,datetime,YES,,,
173,PhotosChangeTimestamp,datetime,YES,,,
174,PhotosCount,bigint(20),YES,,,
175,PoolFeatures,varchar(70),YES,,,
176,PoolPrivateYN,tinyint(1),YES,,,
177,PostalCode,varchar(30),YES,,,
178,PostalCodePlus4,varchar(30),YES,,,
179,PreviousListPrice,"decimal(14,2)",YES,,,
180,PriceChangeTimestamp,datetime,YES,,,
181,PrivateRemarks,varchar(30),YES,,,
182,ProfessionalManagementExpense,"decimal(14,2)",YES,,,
183,PropertyCondition,varchar(90),YES,,,
184,PropertySubType,varchar(30),YES,,,
185,PropertyType,varchar(30),YES,,,
186,PublicRemarks,varchar(4400),YES,,,
187,PurchaseContractDate,date,YES,,,
188,RoadFrontageType,varchar(60),YES,,,
189,SeatingCapacity,bigint(20),YES,,,
190,SecurityFeatures,varchar(210),YES,,,
191,SeniorCommunityYN,tinyint(1),YES,,,
192,Sewer,varchar(80),YES,,,
193,ShowingContactName,varchar(60),YES,,,
194,ShowingContactPhone,varchar(30),YES,,,
195,ShowingContactType,varchar(30),YES,,,
196,ShowingInstructions,varchar(30),YES,,,
197,SignOnPropertyYN,tinyint(1),YES,,,
198,Skirt,varchar(30),YES,,,
199,SourceSystemID,varchar(30),YES,,,
200,SourceSystemKey,varchar(30),YES,,,
201,SourceSystemName,varchar(50),YES,,,
202,SpaYN,tinyint(1),YES,,,
203,SpecialLicenses,varchar(30),YES,,,
204,SpecialListingConditions,varchar(40),YES,,,
205,StandardStatus,varchar(30),YES,,,
206,StateOrProvince,varchar(30),YES,,,
207,StatusChangeTimestamp,datetime,YES,,,
208,StoriesTotal,bigint(20),YES,,,
209,StreetAdditionalInfo,varchar(30),YES,,,
210,StreetDirPrefix,varchar(30),YES,,,
211,StreetDirSuffix,varchar(30),YES,,,
212,StreetName,varchar(30),YES,,,
213,StreetNumber,varchar(30),YES,,,
214,StreetNumberNumeric,bigint(20),YES,,,
215,StreetSuffix,varchar(30),YES,,,
216,SubdivisionName,varchar(40),YES,,,
217,SuppliesExpense,"decimal(14,2)",YES,,,
218,TaxAnnualAmount,"decimal(14,2)",YES,,,
219,TaxLegalDescription,varchar(130),YES,,,
220,TaxYear,bigint(20),YES,,,
221,Topography,varchar(40),YES,,,
222,TrashExpense,"decimal(14,2)",YES,,,
