,Field,Type,Null,Key,Default,Extra
0,internal_listing_id,varchar(26),NO,PRI,,
1,absolute_longitude,"decimal(11,6)",YES,,,
2,addendum,varchar(400),YES,,,
3,address_2,varchar(30),YES,,,
4,agent_days_on_market,varchar(4),YES,,,
5,agent_id,varchar(26),YES,MUL,,
6,area,varchar(100),YES,,,
7,asking_price,"decimal(15,2)",YES,,,
8,assessors_acct_num,varchar(50),YES,,,
9,back_on_market_timestamp,datetime,YES,,,
10,bbc_comm,"decimal(11,2)",YES,,,
11,bbc_comm_type,varchar(100),YES,,,
12,bill_of_sale,varchar(50),YES,,,
13,branded_virtual_tour,text,YES,,,
14,cancel_date,date,YES,,,
15,citytown,varchar(100),YES,MUL,,
16,colist_agent_id,varchar(26),YES,MUL,,
17,colist_office_id,varchar(26),YES,,,
18,colistingmemberaddress,varchar(150),YES,,,
19,colistingmemberemail,varchar(150),YES,,,
20,colistingmemberfax,varchar(15),YES,,,
21,colistingmembername,varchar(122),YES,,,
22,colistingmemberphone,varchar(25),YES,,,
23,colistingmembershortid,varchar(15),YES,,,
24,colistingmemberurl,varchar(150),YES,,,
25,colistingofficeaddress,varchar(150),YES,,,
26,colistingofficeemail,varchar(150),YES,,,
27,colistingofficefax,varchar(15),YES,,,
28,colistingofficename,varchar(150),YES,,,
29,colistingofficephone,varchar(25),YES,,,
30,colistingofficeshortid,varchar(15),YES,,,
31,colistingofficeurl,varchar(150),YES,,,
32,compensation_disclaimer,varchar(400),YES,,,
33,coselling_agency_id,varchar(26),YES,,,
34,coselling_agent_id,varchar(26),YES,,,
35,cosellingmemberaddress,varchar(150),YES,,,
36,cosellingmemberemail,varchar(150),YES,,,
37,cosellingmemberfax,varchar(15),YES,,,
38,cosellingmembername,varchar(122),YES,,,
39,cosellingmemberphone,varchar(25),YES,,,
40,cosellingmembershortid,varchar(15),YES,,,
41,cosellingmemberurl,varchar(150),YES,,,
42,cosellingofficeaddress,varchar(150),YES,,,
43,cosellingofficeemail,varchar(150),YES,,,
44,cosellingofficefax,varchar(15),YES,,,
45,cosellingofficename,varchar(150),YES,,,
46,cosellingofficephone,varchar(25),YES,,,
47,cosellingofficeshortid,varchar(15),YES,,,
48,cosellingofficeurl,varchar(150),YES,,,
49,county,varchar(100),YES,,,
50,cumulative_dom,varchar(4),YES,,,
51,description_of_items,varchar(100),YES,,,
52,directions,varchar(400),YES,,,
