,Field,Type,Null,Key,Default,Extra
0,Matrix_Unique_ID,bigint(19),NO,PRI,,
1,Acres,"decimal(14,4)",YES,,,
2,ActiveOpenHouseCount,int(11),YES,,,
3,Adaptations,varchar(40),YES,,,
4,AerialYN,tinyint(1),YES,,,
5,AgentOnlyRemarks,text,YES,,,
6,AnnualBaseRent,int(11),YES,,,
7,Appliances,text,YES,,,
8,Assessments,varchar(40),YES,,,
9,Basement,text,YES,,,
10,BathsFull,int(11),YES,,,
11,BathsHalf,int(11),YES,,,
12,BathsTotal,"decimal(7,2)",YES,MUL,,
13,BedsTotal,int(11),YES,MUL,,
14,BuildingLevel,int(11),YES,,,
15,BuildingName,varchar(50),YES,,,
16,BuyerAgentYN,tinyint(1),YES,,,
17,BuyerBrokerCompensation,varchar(20),YES,,,
18,CapRateBasedOn,varchar(75),YES,,,
19,CapRatePCT,int(11),YES,,,
20,City,varchar(33),YES,MUL,,
21,CloseDate,date,YES,,,
22,ClosePrice,"decimal(16,2)",YES,,,
23,CoListAgentDirectWorkPhone,varchar(50),YES,,,
24,CoListAgentEmail,varchar(80),YES,,,
25,CoListAgentFullName,varchar(150),YES,,,
26,CoListAgentMLSID,varchar(25),YES,,,
27,CoListAgent_MUI,bigint(19),YES,MUL,,
28,CoListOfficeMLSID,varchar(25),YES,,,
29,CoListOfficeName,varchar(100),YES,,,
30,CoListOfficePhone,varchar(50),YES,,,
31,CoListOffice_MUI,bigint(19),YES,,,
32,CoSellingAgentDirectWorkPhone,varchar(50),YES,,,
33,CoSellingAgentEmail,varchar(80),YES,,,
34,CoSellingAgentFullName,varchar(150),YES,,,
35,CoSellingAgentMLSID,varchar(25),YES,,,
36,CoSellingAgent_MUI,bigint(19),YES,,,
37,CoSellingOfficeMLSID,varchar(25),YES,,,
38,CoSellingOfficeName,varchar(100),YES,,,
39,CoSellingOfficePhone,varchar(50),YES,,,
40,CoSellingOffice_MUI,bigint(19),YES,,,
41,CommissionComments,varchar(200),YES,,,
42,ConstructionType,text,YES,,,
43,Cooling,text,YES,,,
44,CountyOrParish,varchar(32),YES,,,
45,CurrentPrice,"decimal(16,2)",YES,,,
46,DOM,int(11),YES,,,
47,Directions,varchar(500),YES,,,
48,DisabilityAdaptedYN,tinyint(1),YES,,,
49,DistressedProperty,text,YES,,,
50,EffectiveIncome,int(11),YES,,,
51,EffectiveIncomePotential,int(11),YES,,,
52,ExpenseNonReimbursable,int(11),YES,,,
53,ExpenseNonReimbursementPotential,int(11),YES,,,
54,ExpenseReimbursable,int(11),YES,,,
55,ExpenseReimbursablePotential,int(11),YES,,,
56,FacilityExpandableYN,tinyint(1),YES,,,
57,Fireplace,text,YES,,,
58,Frontage,varchar(40),YES,,,
59,Garage,text,YES,,,
60,GrossIncomePotential,int(11),YES,,,
61,GrossRevenue,int(11),YES,,,
62,HOACondoFee,"decimal(10,2)",YES,,,
63,HOAFeeFrequency,varchar(75),YES,,,
64,HasDocBoxYN,tinyint(1),YES,,,
65,Heating,text,YES,,,
66,HomesteadExemptionYN,tinyint(1),YES,,,
67,InsideFeatures,text,YES,,,
68,KitchenFeatures,text,YES,,,
69,LandFeatures,text,YES,,,
70,LastChangeTimestamp,datetime,YES,,,
71,LastChangeType,varchar(32),YES,,,
72,LastListPrice,"decimal(16,2)",YES,,,
73,LastStatus,varchar(32),YES,,,
74,LayDownYard,varchar(75),YES,,,
75,LeasePrice,"decimal(16,2)",YES,,,
76,LeaseType,varchar(75),YES,,,
77,LegalDescription,varchar(150),YES,,,
78,Levels,text,YES,,,
79,ListAgentDirectWorkPhone,varchar(50),YES,,,
80,ListAgentEmail,varchar(80),YES,,,
81,ListAgentFullName,varchar(150),YES,,,
82,ListAgentMLSID,varchar(25),YES,,,
83,ListAgent_MUI,bigint(19),YES,,,
84,ListOfficeMLSID,varchar(25),YES,,,
85,ListOfficeName,varchar(100),YES,MUL,,
86,ListOfficePhone,varchar(50),YES,,,
87,ListOffice_MUI,bigint(19),YES,,,
88,ListPrice,"decimal(16,2)",YES,MUL,,
89,ListingContractDate,date,YES,,,
90,LotDimensions,varchar(40),YES,,,
91,LotSizeSource,text,YES,,,
92,LotSquareFootage,int(11),YES,,,
93,MLS,varchar(32),YES,,,
94,MLSNumber,varchar(20),YES,MUL,,
95,MatrixModifiedDT,datetime,YES,,,
96,MaximumClearHeight,int(11),YES,,,
97,MinimumClearHeight,int(11),YES,,,
98,NationalFloodJurisdictionYN,tinyint(1),YES,,,
99,NetLeaseInvestmentYN,tinyint(1),YES,,,
100,NetOperatingIncomePotential,int(11),YES,,,
101,NewConstruction,varchar(75),YES,,,
102,NumberOfFullBathsOnLevel1,int(11),YES,,,
103,NumberOfFullBathsOnLevel2,int(11),YES,,,
104,NumberOfFullBathsOnLevel3,int(11),YES,,,
105,NumberOfFullBathsOnLevel4,int(11),YES,,,
106,NumberOfFullBathsOnLevelLower,int(11),YES,,,
107,NumberOfHalfBathsOnLevel1,int(11),YES,,,
108,NumberOfHalfBathsOnLevel2,int(11),YES,,,
109,NumberOfHalfBathsOnLevel3,int(11),YES,,,
110,NumberOfHalfBathsOnLevel4,int(11),YES,,,
111,NumberOfHalfBathsOnLevelLower,int(11),YES,,,
112,NumberOfHalfBathsonLowerLevelBasement,int(11),YES,,,
113,NumberofFullBathsonLowerLevelBasement,int(11),YES,,,
114,OpenHouseCount,int(11),YES,,,
115,OpenHousePublicCount,int(11),YES,,,
116,OpenHousePublicUpcoming,varchar(255),YES,,,
117,OpenHouseUpcoming,varchar(255),YES,,,
118,OriginalEntryTimestamp,datetime,YES,,,
119,OtherTenants,varchar(200),YES,,,
120,OutsideFeatures,text,YES,,,
121,Ownership,varchar(75),YES,,,
122,ParcelNumber,varchar(50),YES,,,
123,ParkingRatioPer1000SqFt,"decimal(15,5)",YES,,,
124,PhotoCount,int(11),YES,,,
125,PhotoModificationTimestamp,datetime,YES,,,
126,PostalCode,varchar(10),YES,MUL,,
127,PostalCodePlus4,varchar(4),YES,,,
128,PriceBasedOn,varchar(75),YES,,,
129,PriceChangeTimestamp,datetime,YES,,,
130,PropertySubType,varchar(32),YES,,,
131,PropertyType,varchar(32),YES,,,
132,PublicRemarks,text,YES,,,
133,RoadType,varchar(40),YES,,,
134,RoomCount,int(11),YES,,,
135,RoomsTotal,int(11),YES,,,
136,SchoolDistrict,varchar(75),YES,,,
137,SellingAgentDirectWorkPhone,varchar(50),YES,,,
138,SellingAgentEmail,varchar(80),YES,,,
139,SellingAgentFullName,varchar(150),YES,,,
140,SellingAgentMLSID,varchar(25),YES,,,
141,SellingAgent_MUI,bigint(19),YES,,,
142,SellingComments,varchar(100),YES,,,
143,SellingOfficeMLSID,varchar(25),YES,,,
144,SellingOfficeName,varchar(100),YES,,,
145,SellingOfficePhone,varchar(50),YES,,,
146,SellingOffice_MUI,bigint(19),YES,,,
147,SqFtLayDownYard,int(11),YES,,,
148,SqFtTotal,int(11),YES,,,
149,SquareFootage,int(11),YES,,,
150,StateOrProvince,varchar(2),YES,,,
151,Status,varchar(32),YES,,,
152,StatusChangeTimestamp,datetime,YES,,,
153,StatusContractualSearchDate,date,YES,,,
154,StreetDirPrefix,varchar(32),YES,,,
155,StreetDirSuffix,varchar(32),YES,,,
156,StreetDirection,varchar(75),YES,,,
157,StreetName,varchar(50),YES,,,
158,StreetNumber,varchar(25),YES,,,
159,StreetNumberModifier,varchar(8),YES,,,
160,StreetSuffix,varchar(32),YES,,,
161,SubAgencyCommission,varchar(20),YES,,,
162,SubDivisionPlatedYN,tinyint(1),YES,,,
163,SubLeaseExpirationDate,date,YES,,,
164,SubLeaseYN,tinyint(1),YES,,,
165,SubdivisionName,varchar(60),YES,,,
166,TaxesRealEstate,int(11),YES,,,
167,TaxesSemiAnnual,"decimal(16,2)",YES,,,
168,TillableAcreage,"decimal(11,3)",YES,,,
169,Timber,varchar(60),YES,,,
