,Field,Type,Null,Key,Default,Extra
0,AboveGradeFinishedArea,"decimal(7,2)",YES,,,
1,AboveGradeFinishedAreaSource,varchar(70),YES,,,
2,AboveGradeFinishedAreaUnits,varchar(45),YES,,,
3,AccessCode,varchar(45),YES,,,
4,AccessibilityFeatures,text,YES,,,
5,AdditionalParcelsDescription,text,YES,,,
6,AdditionalParcelsYN,tinyint(1),YES,,,
7,AlternateStreetDirPrefix,varchar(35),YES,,,
8,AlternateStreetDirSuffix,varchar(35),YES,,,
9,AlternateStreetName,varchar(70),YES,,,
10,AlternateStreetNumber,varchar(45),YES,,,
11,AlternateStreetSuffix,varchar(45),YES,,,
12,AnchorsCoTenants,text,YES,,,
13,Appliances,text,YES,,,
14,ArchitectName,varchar(30),YES,,,
15,ArchitecturalStyle,text,YES,,,
16,AreaOverFAR,varchar(20),YES,,,
17,AreaUnderFAR,varchar(20),YES,,,
18,AssociationAmenities,text,YES,,,
19,AssociationFee,"decimal(6,2)",YES,,,
20,AssociationFee2,"decimal(2,2)",YES,,,
21,AssociationFee2Frequency,varchar(45),YES,,,
22,AssociationFeeFrequency,varchar(45),YES,,,
23,AssociationFeeIncludes,text,YES,,,
24,AssociationName,varchar(70),YES,,,
25,AssociationName2,varchar(70),YES,,,
26,AssociationPhone,varchar(36),YES,,,
27,AssociationPhone2,varchar(36),YES,,,
28,AssociationYN,tinyint(1),YES,,,
29,AttachedGarageYN,tinyint(1),YES,,,
30,AttendanceType,varchar(39),YES,,,
31,AuctionBuyersPremiumAmount,"decimal(2,2)",YES,,,
32,AuctionLocation,varchar(70),YES,,,
33,AuctionOnlineBidYN,tinyint(1),YES,,,
34,AuctionStartTime,datetime,YES,,,
35,AuctionType,varchar(45),YES,,,
36,AvailabilityDate,date,YES,,,
37,Basement,text,YES,,,
38,BasementYN,tinyint(1),YES,,,
39,BathroomCondition,varchar(19),YES,,,
40,BathroomsFull,bigint(20),YES,MUL,,
41,BathroomsHalf,bigint(20),YES,MUL,,
42,BathroomsOneQuarter,bigint(20),YES,MUL,,
43,BathroomsPartial,bigint(20),YES,,,
44,BathroomsThreeQuarter,bigint(20),YES,MUL,,
45,BathroomsTotalInteger,bigint(20),YES,,,
46,BedroomsPossible,bigint(20),YES,,,
47,BedroomsTotal,bigint(20),YES,MUL,,
48,BelowGradeFinishedArea,"decimal(2,2)",YES,,,
49,BelowGradeFinishedAreaSource,varchar(70),YES,,,
50,BelowGradeFinishedAreaUnits,varchar(45),YES,,,
51,BoardApprovalRequiredYN,tinyint(1),YES,,,
52,BodyType,text,YES,,,
53,BonusRemarks,varchar(30),YES,,,
54,BonusYN,tinyint(1),YES,,,
55,BuilderModel,varchar(70),YES,,,
56,BuilderName,varchar(70),YES,,,
57,BuildingAreaSource,varchar(70),YES,,,
58,BuildingAreaTotal,"decimal(2,2)",YES,,,
59,BuildingAreaUnits,varchar(45),YES,,,
60,BuildingDescription,varchar(30),YES,,,
61,BuildingFeatures,text,YES,,,
62,BuildingName,varchar(70),YES,,,
63,BuildingParkingTotal,bigint(20),YES,,,
64,BuildingRules,varchar(39),YES,,,
