,Field,Type,Null,Key,Default,Extra
0,internal_listing_id,varchar(26),NO,PRI,,
1,location_type,varchar(100),YES,,,
2,showing_instructions,varchar(100),YES,,,
3,lot_num,varchar(20),YES,,,
4,addlincentivesbonus,varchar(400),YES,,,
5,agent_id,varchar(26),YES,MUL,,
6,agent_remarks,varchar(500),YES,,,
7,appt_center_phone,varchar(15),YES,,,
8,cancel_date,date,YES,,,
9,city,varchar(100),YES,MUL,,
10,city_limits,varchar(100),YES,,,
11,colist_agent_id,varchar(26),YES,,,
12,colist_office_id,varchar(26),YES,,,
13,colistingmemberaddress,varchar(150),YES,,,
14,colistingmemberemail,varchar(150),YES,,,
15,colistingmemberfax,varchar(15),YES,,,
16,colistingmembername,varchar(122),YES,,,
17,colistingmemberphone,varchar(25),YES,,,
18,colistingmembershortid,varchar(15),YES,MUL,,
19,colistingmemberurl,varchar(150),YES,,,
20,colistingofficeaddress,varchar(150),YES,,,
21,colistingofficeemail,varchar(150),YES,,,
22,colistingofficefax,varchar(15),YES,,,
23,colistingofficename,varchar(150),YES,,,
24,colistingofficephone,varchar(25),YES,,,
25,colistingofficeshortid,varchar(15),YES,,,
26,colistingofficeurl,varchar(150),YES,,,
27,continue_showing,varchar(100),YES,,,
28,coselling_agency_id,varchar(26),YES,,,
29,coselling_agent_id,varchar(26),YES,,,
30,cosellingmemberaddress,varchar(150),YES,,,
31,cosellingmemberemail,varchar(150),YES,,,
32,cosellingmemberfax,varchar(15),YES,,,
33,cosellingmembername,varchar(122),YES,,,
34,cosellingmemberphone,varchar(25),YES,,,
35,cosellingmembershortid,varchar(15),YES,,,
36,cosellingmemberurl,varchar(150),YES,,,
37,cosellingofficeaddress,varchar(150),YES,,,
38,cosellingofficeemail,varchar(150),YES,,,
39,cosellingofficefax,varchar(15),YES,,,
40,cosellingofficename,varchar(150),YES,,,
41,cosellingofficephone,varchar(25),YES,,,
42,cosellingofficeshortid,varchar(15),YES,,,
43,cosellingofficeurl,varchar(150),YES,,,
44,county,varchar(100),YES,,,
45,cumulative_dom,varchar(4),YES,,,
46,days_on_market,varchar(4),YES,,,
47,delayed_marketing_date_dm,date,YES,,,
48,directions_to_property,varchar(400),YES,,,
49,display_on_public_websites,varchar(1),YES,,,
50,document_count,int(11),YES,,,
51,document_timestamp,datetime,YES,,,
52,documents,varchar(100),YES,,,
53,emd_trust_account,varchar(100),YES,,,
54,entry_timestamp,datetime,YES,,,
55,expiration_date,date,YES,,,
56,fallthrough_date,date,YES,,,
57,geo_lat,"decimal(11,6)",YES,,,
58,geo_lon,"decimal(11,6)",YES,,,
59,hoa,varchar(100),YES,,,
60,list_agent_board_code,varchar(150),YES,,,
61,list_agent_board_id,varchar(26),YES,,,
62,list_number_main,int(11),YES,,,
63,list_number_prefix,varchar(2),YES,,,
64,list_office_board_code,varchar(150),YES,,,
65,list_office_board_id,varchar(26),YES,,,
66,listing_id,varchar(22),YES,MUL,,
67,listingmemberaddress,varchar(150),YES,,,
68,listingmemberemail,varchar(150),YES,,,
69,listingmemberfax,varchar(15),YES,,,
70,listingmembername,varchar(122),YES,,,
71,listingmemberphone,varchar(25),YES,,,
72,listingmembershortid,varchar(15),YES,MUL,,
73,listingmemberurl,varchar(150),YES,,,
74,listingofficeaddress,varchar(150),YES,,,
75,listingofficeemail,varchar(150),YES,,,
76,listingofficefax,varchar(15),YES,,,
