,Field,Type,Null,Key,Default,Extra
0,listing_rid,int(10),NO,PRI,,
1,age,varchar(16),YES,,,
2,acres,"decimal(14,2)",YES,,,
3,agreement_type,varchar(20),YES,,,
4,agreement_type_2,varchar(4),YES,,,
5,area,varchar(35),YES,,,
6,association,varchar(50),YES,,,
7,available_date,date,YES,,,
8,board_loaded,varchar(3),YES,,,
9,broker_approved,varchar(5),YES,,,
10,city,varchar(21),YES,,,
11,contingent_date,date,YES,,,
12,county,varchar(21),YES,,,
13,days_on_market,int(4),YES,,,
14,directions,varchar(250),YES,,,
15,entered_by_mls_id,varchar(10),YES,,,
16,entry_date,datetime,YES,,,
17,estimated_selling_date,date,YES,,,
18,financing,varchar(20),YES,,,
19,financing_comments,varchar(30),YES,,,
20,fips_code,int(10),YES,,,
21,last_modified_date_time,datetime,YES,,,
22,latitude,"decimal(12,8)",YES,,,
23,lease_type,varchar(3),YES,,,
24,legal_description,varchar(150),YES,,,
25,listing_agent_first_name,varchar(12),YES,,,
26,listing_agent_last_name,varchar(30),YES,,,
27,listing_agent_mls_id,varchar(12),YES,MUL,,
28,listing_agent_number,int(10),YES,,,
29,listing_co_agent_mls_id,varchar(12),YES,MUL,,
30,listing_co_agent_number,int(10),YES,,,
31,listing_co_office_mls_id,varchar(12),YES,,,
32,listing_co_office_name,varchar(100),YES,,,
33,listing_co_office_number,int(10),YES,,,
34,listing_date,date,YES,,,
35,listing_number,int(10),NO,MUL,,
36,listing_office_mls_id,varchar(12),YES,,,
37,listing_office_name,varchar(100),YES,MUL,,
38,listing_price,"decimal(12,2)",YES,,,
39,listingoffice_number,int(10),YES,,,
40,longitude,"decimal(12,8)",YES,,,
41,lot_measurement,varchar(5),YES,,,
42,lot_square_footage,"decimal(14,2)",YES,,,
43,marketing_remark,varchar(2547),YES,,,
44,multiple_listing_service,varchar(20),YES,,,
45,non_member_sales_agent_name,varchar(30),YES,,,
46,non_member_sales_office_name,varchar(30),YES,,,
47,original_price,"decimal(12,2)",YES,,,
48,pending_date,date,YES,,,
49,phone_to_show_area_code,varchar(3),YES,,,
50,phone_to_show_number,varchar(7),YES,,,
51,picture_count,int(2),YES,,,
52,picture_modified_date_time,datetime,YES,,,
53,possible_bedrooms,int(3),YES,,,
54,price_per_acre,"decimal(12,2)",YES,,,
55,price_per_square_foot,"decimal(12,2)",YES,,,
56,property_disclaimer,varchar(500),YES,,,
57,property_subtype_1,varchar(20),YES,,,
58,property_subtype_2,varchar(4),YES,,,
59,property_subtype_3,varchar(4),YES,,,
60,property_type,varchar(20),YES,,,
61,public_viewable,tinyint(1),YES,,,
62,region,int(10),YES,,,
63,search_price,"decimal(12,2)",YES,,,
64,searchcontractualdate,date,YES,,,
65,show_address_to_public,tinyint(1),YES,,,
66,showing_instructions,varchar(150),YES,,,
67,state,varchar(2),YES,,,
68,status,varchar(10),YES,,,
69,status_comments,varchar(20),YES,,,
70,status_date,date,YES,,,
71,street_direction,varchar(15),YES,,,
72,street_name,varchar(30),YES,,,
73,street_number,int(10),YES,,,
74,street_number_modifier,varchar(8),YES,,,
75,street_post_direction,varchar(15),YES,,,
76,street_suffix,varchar(9),YES,,,
