,Field,Type,Null,Key,Default,Extra
0,AnalyticsClick,varchar(1000),YES,,,
1,AnalyticsView,varchar(1000),YES,,,
2,ArchitecturalStyle,varchar(100),YES,MUL,,
3,AssociationFee,varchar(32),YES,,,
4,AssociationFeeFrequency,varchar(32),YES,,,
5,AttachedGarageYN,varchar(5),YES,,,
6,BathroomsHalf,bigint(12),YES,,,
7,BathroomsTotal,varchar(100),YES,MUL,,
8,BedroomsTotal,bigint(12),YES,MUL,,
9,BuildingAreaTotal,"decimal(12,2)",YES,,,
10,BuildingAreaUnits,varchar(100),YES,,,
11,CarportSpaces,bigint(12),YES,,,
12,CarportYN,varchar(5),YES,,,
13,City,varchar(100),YES,MUL,,
14,CoListAgentCellPhone,varchar(100),YES,,,
15,CoListAgentDesignation,varchar(2466),YES,,,
16,CoListAgentDirectPhone,varchar(100),YES,,,
17,CoListAgentEmail,varchar(255),YES,,,
18,CoListAgentFax,varchar(100),YES,,,
19,CoListAgentFullName,varchar(100),YES,,,
20,CoListAgentKey,varchar(100),YES,MUL,,
21,CoListAgentOfficePhone,varchar(100),YES,,,
22,CoListAgentOfficePhoneExt,varchar(100),YES,,,
23,CoListAgentPager,varchar(100),YES,,,
24,CoListAgentTollFreePhone,varchar(100),YES,,,
25,CoListAgentURL,varchar(138),YES,,,
26,CoListOfficeFax,varchar(100),YES,,,
27,CoListOfficeKey,varchar(100),YES,,,
28,CoListOfficeName,varchar(100),YES,,,
29,CoListOfficePhone,varchar(100),YES,,,
30,CoListOfficePhoneExt,varchar(100),YES,,,
31,CoListOfficeURL,varchar(100),YES,,,
32,CommunityFeatures,varchar(126),YES,,,
33,ConstructionMaterials,varchar(100),YES,,,
34,Cooling,varchar(100),YES,,,
35,CoolingYN,varchar(5),YES,,,
36,Country,varchar(100),YES,,,
37,CoveredSpaces,bigint(12),YES,,,
38,Fencing,varchar(100),YES,,,
39,FireplaceFeatures,varchar(100),YES,,,
40,FireplaceFuel,varchar(100),YES,,,
41,FireplacesTotal,bigint(12),YES,,,
42,Flooring,varchar(142),YES,,,
43,FrontageLength,varchar(100),YES,,,
44,FrontageType,varchar(100),YES,,,
45,GarageSpaces,bigint(12),YES,,,
46,GarageYN,varchar(5),YES,,,
47,GreenBuildingCertification,varchar(100),YES,,,
48,GreenCertificationRating,varchar(100),YES,,,
49,Heating,varchar(160),YES,,,
50,HeatingFuel,varchar(100),YES,,,
51,Lease,varchar(100),YES,,,
52,LeaseFrequency,varchar(100),YES,,,
53,LeaseTerm,varchar(100),YES,,,
54,Levels,varchar(100),YES,,,
55,ListAOR,varchar(100),YES,,,
56,ListAgentCellPhone,varchar(100),YES,,,
57,ListAgentDesignation,varchar(2466),YES,,,
58,ListAgentDirectPhone,varchar(100),YES,,,
59,ListAgentEmail,varchar(255),YES,,,
60,ListAgentFax,varchar(100),YES,,,
61,ListAgentFullName,varchar(100),YES,,,
62,ListAgentKey,varchar(100),YES,MUL,,
63,ListAgentOfficePhone,varchar(100),YES,,,
64,ListAgentOfficePhoneExt,varchar(100),YES,,,
65,ListAgentPager,varchar(100),YES,,,
66,ListAgentURL,varchar(220),YES,,,
67,ListOfficeFax,varchar(100),YES,,,
68,ListOfficeKey,varchar(100),YES,,,
69,ListOfficeName,varchar(100),YES,MUL,,
70,ListOfficePhone,varchar(100),YES,,,
71,ListOfficePhoneExt,varchar(100),YES,,,
72,ListOfficeURL,varchar(100),YES,,,
73,ListPrice,"decimal(13,2)",YES,MUL,,
74,ListingContractDate,varchar(16),YES,,,
75,ListingId,varchar(100),NO,MUL,,
76,ListingKey,varchar(11),NO,PRI,,
77,LotFeatures,varchar(100),YES,,,
78,LotSizeArea,"decimal(14,2)",YES,,,
79,LotSizeUnits,varchar(100),YES,,,
80,ModificationTimestamp,datetime,YES,,,
81,MoreInformationLink,varchar(3100),YES,,,
82,NumberOfUnitsTotal,bigint(12),YES,,,
83,OpenParkingSpaces,bigint(12),YES,,,
84,OpenParkingYN,varchar(5),YES,,,
85,OriginatingSystemKey,varchar(100),YES,,,
86,OriginatingSystemName,varchar(100),YES,,,
87,ParkingTotal,bigint(12),YES,,,
88,PhotosChangeTimestamp,datetime,YES,MUL,,
89,PhotosCount,bigint(12),YES,,,
90,PoolFeatures,varchar(100),YES,,,
91,PoolYN,varchar(5),YES,,,
92,PostalCode,varchar(100),YES,MUL,,
93,PropertyType,varchar(100),YES,,,
94,PublicRemarks,varchar(3100),YES,,,
95,Roof,varchar(100),YES,,,
96,RoomDimensions1,varchar(100),YES,,,
97,RoomDimensions10,varchar(100),YES,,,
98,RoomDimensions11,varchar(100),YES,,,
99,RoomDimensions12,varchar(100),YES,,,
100,RoomDimensions13,varchar(100),YES,,,
101,RoomDimensions14,varchar(100),YES,,,
102,RoomDimensions15,varchar(100),YES,,,
103,RoomDimensions16,varchar(100),YES,,,
104,RoomDimensions17,varchar(100),YES,,,
105,RoomDimensions18,varchar(100),YES,,,
106,RoomDimensions19,varchar(100),YES,,,
107,RoomDimensions2,varchar(100),YES,,,
108,RoomDimensions20,varchar(100),YES,,,
109,RoomDimensions3,varchar(100),YES,,,
110,RoomDimensions4,varchar(100),YES,,,
111,RoomDimensions5,varchar(100),YES,,,
112,RoomDimensions6,varchar(100),YES,,,
113,RoomDimensions7,varchar(100),YES,,,
114,RoomDimensions8,varchar(100),YES,,,
115,RoomDimensions9,varchar(100),YES,,,
116,RoomLength1,"decimal(12,2)",YES,,,
117,RoomLength10,"decimal(12,2)",YES,,,
118,RoomLength11,"decimal(12,2)",YES,,,
119,RoomLength12,"decimal(12,2)",YES,,,
120,RoomLength13,"decimal(12,2)",YES,,,
121,RoomLength14,"decimal(12,2)",YES,,,
122,RoomLength15,"decimal(12,2)",YES,,,
123,RoomLength16,"decimal(12,2)",YES,,,
124,RoomLength17,"decimal(12,2)",YES,,,
125,RoomLength18,"decimal(12,2)",YES,,,
126,RoomLength19,"decimal(12,2)",YES,,,
127,RoomLength2,"decimal(12,2)",YES,,,
128,RoomLength20,"decimal(12,2)",YES,,,
129,RoomLength3,"decimal(12,2)",YES,,,
130,RoomLength4,"decimal(12,2)",YES,,,
131,RoomLength5,"decimal(12,2)",YES,,,
132,RoomLength6,"decimal(12,2)",YES,,,
133,RoomLength7,"decimal(12,2)",YES,,,
134,RoomLength8,"decimal(12,2)",YES,,,
135,RoomLength9,"decimal(12,2)",YES,,,
136,RoomLengthWidthUnits1,varchar(100),YES,,,
137,RoomLengthWidthUnits10,varchar(100),YES,,,
138,RoomLengthWidthUnits11,varchar(100),YES,,,
139,RoomLengthWidthUnits12,varchar(100),YES,,,
140,RoomLengthWidthUnits13,varchar(100),YES,,,
141,RoomLengthWidthUnits14,varchar(100),YES,,,
142,RoomLengthWidthUnits15,varchar(100),YES,,,
143,RoomLengthWidthUnits16,varchar(100),YES,,,
144,RoomLengthWidthUnits17,varchar(100),YES,,,
145,RoomLengthWidthUnits18,varchar(100),YES,,,
146,RoomLengthWidthUnits19,varchar(100),YES,,,
147,RoomLengthWidthUnits2,varchar(100),YES,,,
148,RoomLengthWidthUnits20,varchar(100),YES,,,
149,RoomLengthWidthUnits3,varchar(100),YES,,,
150,RoomLengthWidthUnits4,varchar(100),YES,,,
151,RoomLengthWidthUnits5,varchar(100),YES,,,
152,RoomLengthWidthUnits6,varchar(100),YES,,,
153,RoomLengthWidthUnits7,varchar(100),YES,,,
154,RoomLengthWidthUnits8,varchar(100),YES,,,
155,RoomLengthWidthUnits9,varchar(100),YES,,,
156,RoomLevel1,varchar(100),YES,,,
157,RoomLevel10,varchar(100),YES,,,
158,RoomLevel11,varchar(100),YES,,,
159,RoomLevel12,varchar(100),YES,,,
160,RoomLevel13,varchar(100),YES,,,
161,RoomLevel14,varchar(100),YES,,,
162,RoomLevel15,varchar(100),YES,,,
163,RoomLevel16,varchar(100),YES,,,
164,RoomLevel17,varchar(100),YES,,,
165,RoomLevel18,varchar(100),YES,,,
166,RoomLevel19,varchar(100),YES,,,
167,RoomLevel2,varchar(100),YES,,,
168,RoomLevel20,varchar(100),YES,,,
169,RoomLevel3,varchar(100),YES,,,
170,RoomLevel4,varchar(100),YES,,,
171,RoomLevel5,varchar(100),YES,,,
172,RoomLevel6,varchar(100),YES,,,
173,RoomLevel7,varchar(100),YES,,,
174,RoomLevel8,varchar(100),YES,,,
175,RoomLevel9,varchar(100),YES,,,
176,RoomType1,varchar(100),YES,,,
177,RoomType10,varchar(100),YES,,,
178,RoomType11,varchar(100),YES,,,
179,RoomType12,varchar(100),YES,,,
180,RoomType13,varchar(100),YES,,,
181,RoomType14,varchar(100),YES,,,
182,RoomType15,varchar(100),YES,,,
183,RoomType16,varchar(100),YES,,,
184,RoomType17,varchar(100),YES,,,
185,RoomType18,varchar(100),YES,,,
186,RoomType19,varchar(100),YES,,,
187,RoomType2,varchar(100),YES,,,
188,RoomType20,varchar(100),YES,,,
189,RoomType3,varchar(100),YES,,,
190,RoomType4,varchar(100),YES,,,
191,RoomType5,varchar(100),YES,,,
192,RoomType6,varchar(100),YES,,,
193,RoomType7,varchar(100),YES,,,
194,RoomType8,varchar(100),YES,,,
195,RoomType9,varchar(100),YES,,,
196,RoomWidth1,"decimal(12,2)",YES,,,
197,RoomWidth10,"decimal(12,2)",YES,,,
198,RoomWidth11,"decimal(12,2)",YES,,,
