,Field,Type,Null,Key,Default,Extra
0,type,varchar(7),YES,,,
1,address,varchar(35),YES,,,
2,air_conditioning,varchar(11),YES,,,
3,approx_age,varchar(5),YES,,,
4,aptunit,varchar(7),YES,,,
5,area,varchar(40),YES,,,
6,area_code,varchar(4),YES,,,
7,assessment,"decimal(9,0)",YES,,,
8,assessment_year,"decimal(4,0)",YES,,,
9,basement1,varchar(12),YES,,,
10,community,varchar(44),YES,,,
11,community_code,varchar(20),YES,,,
12,directionscross_streets,varchar(30),YES,,,
13,display_address_on_internet,varchar(1),YES,,,
14,elevator,varchar(7),YES,,,
15,extras,varchar(240),YES,,,
16,garage_type,varchar(16),YES,,,
17,heat_type,varchar(20),YES,,,
18,idx_updated_date,date,YES,,,
19,list_brokerage,varchar(80),YES,MUL,,
20,list_price,"decimal(11,2)",YES,MUL,,
21,map_column_num,"decimal(2,0)",YES,,,
22,map_num,"decimal(3,0)",YES,,,
23,map_row,varchar(1),YES,,,
24,mlsnum,varchar(8),NO,PRI,,
25,municipality,varchar(40),YES,,,
26,municipality_district,varchar(44),YES,,,
27,municp_code,varchar(10),YES,,,
28,out_of_area_municipality,varchar(16),YES,,,
29,parking_spaces,"decimal(4,0)",YES,,,
30,pinnum,varchar(9),YES,,,
31,pix_updated_date,date,YES,,,
32,possession_remarks,varchar(14),YES,,,
33,postal_code,varchar(7),YES,,,
34,province,varchar(16),YES,,,
35,remarks_for_clients,varchar(1000),YES,,,
36,salelease,varchar(9),YES,,,
37,status,varchar(87),YES,,,
38,street_abbreviation,varchar(4),YES,,,
39,street_direction,varchar(1),YES,,,
40,street_name,varchar(20),YES,,,
41,street_num,varchar(7),YES,,,
42,tax_year,"decimal(4,0)",YES,,,
43,taxes,"decimal(8,2)",YES,,,
44,uffi,varchar(12),YES,,,
45,updated_timestamp,date,YES,,,
46,virtual_tour_upload_date,date,YES,,,
47,virtual_tour_url,varchar(100),YES,,,
48,washrooms,varchar(14),YES,MUL,,
49,zoning,varchar(40),YES,,,
50,_building,"decimal(3,0)",YES,,,
51,amps,"decimal(4,0)",YES,,,
52,area_influences1,varchar(15),YES,,,
53,area_influences2,varchar(15),YES,,,
54,bay_size_length_feet,"decimal(2,0)",YES,,,
55,bay_size_length_inches,"decimal(2,0)",YES,,,
56,bay_size_width_feet,"decimal(2,0)",YES,,,
57,bay_size_width_inches,"decimal(2,0)",YES,,,
58,businessbuilding_name,varchar(37),YES,,,
59,category,varchar(30),YES,,,
60,chattels,varchar(1),YES,,,
61,clear_height_feet,"decimal(2,0)",YES,,,
62,clear_height_inches,"decimal(2,0)",YES,,,
63,commercial_condo_fees,"decimal(9,2)",YES,,,
64,common_area_upcharge,"decimal(3,0)",YES,,,
65,crane,varchar(1),YES,,,
66,days_open,varchar(1),YES,,,
67,double_man_shipping_doors_height_feet,"decimal(2,0)",YES,,,
68,double_man_shipping_doors_height_inches,"decimal(2,0)",YES,,,
69,double_man_shipping_doors_num,"decimal(3,0)",YES,,,
70,double_man_shipping_doors_width_feet,"decimal(2,0)",YES,,,
71,double_man_shipping_doors_width_inches,"decimal(2,0)",YES,,,
72,drivein_level_shipping_doors,"decimal(3,0)",YES,,,
73,drivein_level_shipping_doors_height_feet,"decimal(2,0)",YES,,,
74,drivein_level_shipping_doors_height_inches,"decimal(2,0)",YES,,,
75,drivein_level_shipping_doors_width_feet,"decimal(2,0)",YES,,,
76,drivein_level_shipping_doors_width_inches,"decimal(2,0)",YES,,,
