,Field,Type,Null,Key,Default,Extra
0,systemid,int(10),NO,PRI,,
1,type,varchar(31),YES,,,
2,acreage,"decimal(18,2)",YES,,,
3,activation_date,date,YES,,,
4,additional_document1_amt,int(10),YES,,,
5,additional_document1_type,varchar(50),YES,,,
6,additional_document2_amt,int(10),YES,,,
7,additional_document2_type,varchar(50),YES,,,
8,additional_documents_yn,varchar(10),YES,,,
9,address,varchar(100),YES,,,
10,address_direction,varchar(2),YES,,,
11,address_number,varchar(15),YES,,,
12,address_search_number,int(10),YES,,,
13,address_street,varchar(50),YES,,,
14,advertisingmarketing_yn,varchar(10),YES,,,
15,agent,int(10),YES,MUL,,
16,agent_remarks,text,YES,,,
17,alt_mlsnum,varchar(50),YES,,,
18,area_municipality,varchar(29),YES,,,
19,asking_price,int(10),YES,MUL,,
20,assessments_amount,"decimal(18,2)",YES,,,
21,assessments_yn,varchar(10),YES,,,
22,associated_document_count,int(10),YES,,,
23,association_name,varchar(50),YES,,,
24,ba_comp_description,varchar(30),YES,,,
25,ba_compensation_amount,"decimal(18,2)",YES,,,
26,ba_compensation_type,varchar(16),YES,,,
27,ba_compensation_yn,varchar(10),YES,,,
28,back_on_market_date,date,YES,,,
29,below_grade_lavatory,int(10),YES,,,
30,board_confirmed,varchar(14),YES,,,
31,body_of_water,varchar(25),YES,,,
32,branded_virtual_tour,text,YES,,,
33,broker_exclusive,varchar(10),YES,,,
34,cancel_date,date,YES,,,
35,certification_date,date,YES,,,
36,class,varchar(25),YES,,,
37,closing_date,date,YES,,,
38,colist_agent,int(10),YES,MUL,,
39,colist_office,int(10),YES,,,
40,concession_amount,"decimal(18,2)",YES,,,
41,contract,varchar(26),YES,,,
42,cosell_agent,int(10),YES,,,
43,cosell_office,int(10),YES,,,
44,county,varchar(14),YES,,,
45,county__municipality,varchar(100),YES,,,
46,cross_street_1,varchar(25),YES,,,
47,cross_street_2,varchar(25),YES,,,
48,cumulative_dom,int(10),YES,,,
49,cumulative_domls,int(10),YES,,,
50,cure_selling_agent_1,varchar(50),YES,,,
51,cure_selling_agent_2,varchar(50),YES,,,
52,cure_selling_office_1,varchar(50),YES,,,
53,cure_selling_office_2,varchar(50),YES,,,
54,directions,varchar(1564),YES,,,
55,doc_timestamp,datetime,YES,,,
56,dom,int(10),YES,,,
57,domls,int(10),YES,,,
58,encroachment_yn,varchar(3),YES,,,
59,expiration_date,date,YES,,,
60,financial_terms,varchar(199),YES,,,
61,fips,varchar(10),YES,,,
62,fips_entity,varchar(5),YES,,,
63,first_photo_add_timestamp,datetime,YES,,,
64,flood_insurance,varchar(12),YES,,,
65,flood_plain,varchar(8),YES,,,
66,frontage,int(10),YES,,,
67,frontage_type,varchar(11),YES,,,
68,full_addresses,varchar(100),YES,,,
69,full_service_listing_yn,varchar(10),YES,,,
70,geo_address_line,varchar(255),YES,,,
71,geo_latitude,"decimal(18,15)",YES,,,
72,geo_longitude,"decimal(19,15)",YES,,,
73,geo_match_code,smallint(3),YES,,,
74,geo_matched_method,smallint(3),YES,,,
75,geo_postal_code,varchar(10),YES,,,
76,geo_primary_city,varchar(100),YES,,,
77,geo_quality,"decimal(12,8)",YES,,,
78,geo_secondary_city,varchar(100),YES,,,
79,geo_subdivision,varchar(2),YES,,,
80,geo_update_timestamp,datetime,YES,,,
81,geo_zoom_level,"decimal(2,0)",YES,,,
82,handle_incmg_inquiries_yn,varchar(10),YES,,,
83,hotsheet_date,date,YES,,,
84,how_sold,varchar(21),YES,,,
85,idx_automated_valuation,varchar(3),YES,,,
86,idx_consumer_comment,varchar(3),YES,,,
87,idx_include,varchar(19),YES,,,
88,incmg_inquiries_contact,varchar(50),YES,,,
89,incmg_inquiries_exp_date,date,YES,,,
90,incmg_inquiries_phone,varchar(10),YES,,,
91,incmg_inquiries_title,varchar(25),YES,,,
92,input_date,datetime,YES,,,
93,insp_cmpl_for_wellseptic,varchar(10),YES,,,
94,la1agent_address2,varchar(50),YES,,,
95,la1agent_address_street_name,varchar(51),YES,,,
96,la1agent_city,varchar(50),YES,,,
97,la1agent_email,varchar(50),YES,,,
98,la1agent_first_name,varchar(50),YES,,,
99,la1agent_idx_pin,int(10),YES,,,
100,la1agent_last_name,varchar(50),YES,,,
101,la1agent_license_id,varchar(25),YES,MUL,,
102,la1agent_logon_name,varchar(20),YES,,,
103,la1agent_middle_initial,varchar(1),YES,,,
104,la1agent_phone1_countryid,varchar(28),YES,,,
105,la1agent_phone1_description,varchar(10),YES,,,
106,la1agent_phone1_extension,varchar(5),YES,,,
107,la1agent_phone1_number,varchar(30),YES,,,
108,la1agent_phone2_countryid,varchar(28),YES,,,
109,la1agent_phone2_description,varchar(10),YES,,,
110,la1agent_phone2_extension,varchar(5),YES,,,
111,la1agent_phone2_number,varchar(30),YES,,,
112,la1agent_phone3_countryid,varchar(28),YES,,,
113,la1agent_phone3_description,varchar(10),YES,,,
114,la1agent_phone3_extension,varchar(5),YES,,,
115,la1agent_phone3_number,varchar(30),YES,,,
116,la1agent_phone4_countryid,varchar(28),YES,,,
117,la1agent_phone4_description,varchar(10),YES,,,
118,la1agent_phone4_extension,varchar(5),YES,,,
119,la1agent_phone4_number,varchar(30),YES,,,
120,la1agent_phone5_countryid,varchar(28),YES,,,
121,la1agent_phone5_description,varchar(10),YES,,,
122,la1agent_phone5_extension,varchar(5),YES,,,
123,la1agent_phone5_number,varchar(30),YES,,,
124,la1agent_state,varchar(2),YES,,,
125,la1agent_status,varchar(13),YES,,,
126,la1agent_subscriptions,varchar(50),YES,,,
127,la1agent_termination_date,date,YES,,,
128,la1agent_type,varchar(24),YES,,,
129,la1agent_url,varchar(80),YES,,,
130,la1agent_zip,varchar(20),YES,,,
131,la1cloudcma_activation,date,YES,,,
132,la1mirex_agent_key,varchar(50),YES,,,
133,la1mirex_board,varchar(100),YES,,,
134,la1mirex_board_verified,date,YES,,,
135,la1mirex_office_key,varchar(50),YES,,,
136,la1new_agent_date,date,YES,,,
137,la1notes,varchar(255),YES,,,
138,la1orientation_class_date,date,YES,,,
139,la1original_agent_id,varchar(20),YES,,,
140,la1originating_database,varchar(10),YES,,,
141,la1rco_matrix_unique_id,varchar(50),YES,,,
142,la1user_code,varchar(20),YES,,,
143,la2agent_address2,varchar(50),YES,,,
144,la2agent_address_street_name,varchar(50),YES,,,
145,la2agent_city,varchar(50),YES,,,
146,la2agent_email,varchar(50),YES,,,
147,la2agent_first_name,varchar(50),YES,,,
148,la2agent_idx_pin,int(10),YES,,,
149,la2agent_last_name,varchar(50),YES,,,
150,la2agent_middle_initial,varchar(1),YES,,,
151,la2agent_phone1_countryid,varchar(28),YES,,,
152,la2agent_phone1_description,varchar(10),YES,,,
153,la2agent_phone1_extension,varchar(5),YES,,,
154,la2agent_phone1_number,varchar(30),YES,,,
155,la2agent_phone2_countryid,varchar(28),YES,,,
156,la2agent_phone2_description,varchar(10),YES,,,
157,la2agent_phone2_extension,varchar(5),YES,,,
158,la2agent_phone2_number,varchar(30),YES,,,
159,la2agent_phone3_countryid,varchar(28),YES,,,
160,la2agent_phone3_description,varchar(10),YES,,,
161,la2agent_phone3_extension,varchar(5),YES,,,
162,la2agent_phone3_number,varchar(30),YES,,,
163,la2agent_phone4_countryid,varchar(28),YES,,,
164,la2agent_phone4_description,varchar(10),YES,,,
165,la2agent_phone4_extension,varchar(5),YES,,,
166,la2agent_phone4_number,varchar(30),YES,,,
167,la2agent_phone5_countryid,varchar(28),YES,,,
