,Field,Type,Null,Key,Default,Extra
134,LotSizeAcres,"decimal(16,2)",YES,MUL,,
135,LotSizeArea,"decimal(16,2)",YES,,,
136,LotSizeDimensions,varchar(170),YES,,,
137,LotSizeSquareFeet,"decimal(14,2)",YES,,,
138,LotSizeUnits,varchar(45),YES,,,
139,MLSAreaMajor,varchar(70),YES,,,
140,MainLevelBathrooms,bigint(20),YES,,,
141,MainLevelBedrooms,bigint(20),YES,,,
142,MiddleOrJuniorSchool,varchar(70),YES,,,
143,MlsStatus,varchar(70),YES,,,
144,ModificationTimestamp,datetime,YES,,,
145,NewConstructionYN,tinyint(1),YES,,,
146,NumberOfBuildings,bigint(20),YES,,,
147,NumberOfUnitsTotal,bigint(20),YES,,,
148,OccupantType,varchar(70),YES,,,
149,OpenParkingYN,tinyint(1),YES,,,
150,OriginalEntryTimestamp,datetime,YES,,,
151,OriginatingSystemID,varchar(45),YES,,,
152,OriginatingSystemKey,varchar(275),YES,,,
153,OriginatingSystemName,text,YES,,,
154,OtherEquipment,text,YES,,,
155,OtherStructures,text,YES,,,
156,ParcelNumber,varchar(70),YES,,,
157,ParkingFeatures,text,YES,,,
158,ParkingTotal,"decimal(14,2)",YES,,,
159,PatioAndPorchFeatures,text,YES,,,
160,PetsAllowed,text,YES,,,
161,PhotosChangeTimestamp,datetime,YES,,,
162,PhotosCount,bigint(20),YES,,,
163,PoolFeatures,text,YES,,,
164,PoolPrivateYN,tinyint(1),YES,,,
165,PostalCode,varchar(30),YES,MUL,,
166,PostalCodePlus4,varchar(24),YES,,,
167,PriceChangeTimestamp,datetime,YES,,,
168,PropertyCondition,text,YES,,,
169,PropertySubType,varchar(70),YES,MUL,,
170,PropertyType,varchar(70),YES,MUL,,
171,PublicRemarks,text,YES,,,
172,RentIncludes,text,YES,,,
173,RoadFrontageType,text,YES,,,
174,RoadSurfaceType,text,YES,,,
175,Roof,text,YES,,,
176,RoomBedroom2Area,"decimal(14,2)",YES,,,
177,RoomBedroom2Length,"decimal(14,2)",YES,,,
178,RoomBedroom2Width,"decimal(14,2)",YES,,,
179,RoomBedroom3Area,"decimal(14,2)",YES,,,
180,RoomBedroom3Length,"decimal(14,2)",YES,,,
181,RoomBedroom3Width,"decimal(14,2)",YES,,,
182,RoomBedroom4Area,"decimal(14,2)",YES,,,
183,RoomBedroom4Length,"decimal(14,2)",YES,,,
184,RoomBedroom4Width,"decimal(14,2)",YES,,,
185,RoomBedroom5Area,"decimal(14,2)",YES,,,
186,RoomBedroom5Length,"decimal(14,2)",YES,,,
187,RoomBedroom5Width,"decimal(14,2)",YES,,,
188,RoomDiningRoomArea,"decimal(14,2)",YES,,,
189,RoomDiningRoomLength,"decimal(14,2)",YES,,,
190,RoomDiningRoomWidth,"decimal(14,2)",YES,,,
191,RoomFamilyRoomArea,"decimal(14,2)",YES,,,
192,RoomFamilyRoomLength,"decimal(14,2)",YES,,,
193,RoomFamilyRoomWidth,"decimal(14,2)",YES,,,
194,RoomKitchenArea,"decimal(14,2)",YES,,,
195,RoomKitchenLength,"decimal(14,2)",YES,,,
196,RoomKitchenWidth,"decimal(14,2)",YES,,,
197,RoomLivingRoomArea,"decimal(14,2)",YES,,,
198,RoomLivingRoomLength,"decimal(14,2)",YES,,,
199,RoomLivingRoomWidth,"decimal(14,2)",YES,,,
200,RoomMasterBathroomFeatures,text,YES,,,
201,RoomMasterBedroomArea,"decimal(14,2)",YES,,,
202,RoomMasterBedroomFeatures,text,YES,,,
203,RoomMasterBedroomLength,"decimal(14,2)",YES,,,
204,RoomMasterBedroomLevel,varchar(45),YES,,,
205,RoomMasterBedroomWidth,"decimal(14,2)",YES,,,
206,RoomOfficeArea,"decimal(14,2)",YES,,,
207,RoomOfficeLength,"decimal(14,2)",YES,,,
208,RoomOfficeWidth,"decimal(14,2)",YES,,,
209,SecurityFeatures,text,YES,,,
210,SeniorCommunityYN,tinyint(1),YES,,,
