,Field,Type,Null,Key,Default,Extra
0,internal_listing_id,varchar(26),NO,PRI,,
1,zoning,varchar(149),YES,,,
2,absolute_longitude,int(11),YES,,,
3,buyer_zip_code,int(4),YES,,,
4,agent_id,varchar(26),YES,MUL,,
5,buyeroffice_comm,"decimal(15,2)",YES,,,
6,cancel_date,date,YES,,,
7,city,varchar(100),YES,MUL,,
8,colist_agent_id,varchar(26),YES,MUL,,
9,colist_office_id,varchar(26),YES,,,
10,colistingmemberaddress,varchar(150),YES,,,
11,colistingmemberemail,varchar(150),YES,,,
12,colistingmemberfax,varchar(15),YES,,,
13,colistingmembername,varchar(72),YES,,,
14,colistingmemberphone,varchar(31),YES,,,
15,colistingmembershortid,varchar(15),YES,,,
16,colistingmemberurl,varchar(150),YES,,,
17,colistingofficeaddress,varchar(150),YES,,,
18,colistingofficeemail,varchar(150),YES,,,
19,colistingofficefax,varchar(15),YES,,,
20,colistingofficename,varchar(150),YES,,,
21,colistingofficephone,varchar(25),YES,,,
22,colistingofficeshortid,varchar(15),YES,,,
23,colistingofficeurl,varchar(150),YES,,,
24,concessions,varchar(100),YES,,,
25,concessions_remarks,varchar(120),YES,,,
26,contingent,varchar(1),YES,,,
27,contingent_remarks,varchar(20),YES,,,
28,coselling_agency_id,varchar(26),YES,,,
29,coselling_agent_id,varchar(26),YES,,,
30,cosellingmemberaddress,varchar(150),YES,,,
31,cosellingmemberemail,varchar(150),YES,,,
32,cosellingmemberfax,varchar(15),YES,,,
33,cosellingmembername,varchar(72),YES,,,
34,cosellingmemberphone,varchar(25),YES,,,
35,cosellingmembershortid,varchar(15),YES,,,
36,cosellingmemberurl,varchar(150),YES,,,
37,cosellingofficeaddress,varchar(150),YES,,,
38,cosellingofficeemail,varchar(150),YES,,,
39,cosellingofficefax,varchar(15),YES,,,
40,cosellingofficename,varchar(150),YES,,,
41,cosellingofficephone,varchar(25),YES,,,
42,cosellingofficeshortid,varchar(15),YES,,,
43,cosellingofficeurl,varchar(150),YES,,,
44,county,varchar(100),YES,,,
45,cumulative_dom,varchar(4),YES,,,
