,Field,Type,Null,Key,Default,Extra
0,customer_id,int(11),NO,MUL,,
1,Address,text,YES,,,
2,AskingPrice,int(11),YES,,,
3,AttachedGarage,int(11),YES,,,
4,Basement,int(11),YES,,,
5,BathroomFromMLS,float,YES,,,
6,BathroomsFull,int(11),YES,,,
7,BathroomsPartial,int(11),YES,,,
8,BedroomCount,int(11),YES,MUL,,
9,Bonus,int(11),YES,,,
10,City,text,YES,,,
11,CityCleaned,text,YES,,,
12,CityID,int(11),YES,,,
13,CityOriginal,text,YES,,,
14,CoListAgentID,varchar(30),YES,MUL,,
15,CoListingAgent,text,YES,,,
16,CoListingAgentPhone,text,YES,,,
17,Comments,text,YES,,,
18,CommercialType,int(11),YES,,,
19,CompanyID,int(11),YES,,,
20,CoolingType,text,YES,,,
21,County,text,YES,,,
22,CountyID,int(11),YES,,,
23,Culdesac,int(11),YES,,,
24,CustomListingID,text,YES,,,
25,DateClosed,text,YES,,,
26,DateEntered,text,YES,,,
27,DateExpire,text,YES,,,
28,DateList,text,YES,,,
29,DateModified,text,YES,,,
30,DateUpdated,text,YES,,,
31,DeltaListingID,int(11),NO,PRI,,
32,Exercise,int(11),YES,,,
33,Exterior,int(11),YES,,,
34,ExteriorDescription,text,YES,,,
35,FamilyRoom,int(11),YES,,,
36,FeatureComments,text,YES,,,
37,Fenced,int(11),YES,,,
38,FineHome,int(11),YES,,,
39,FireplaceNumber,int(11),YES,,,
40,Flat,int(11),YES,,,
41,FormalDining,int(11),YES,,,
42,Furnished,int(11),YES,,,
43,GarageSize,float,YES,,,
44,Gentle,int(11),YES,,,
45,GeoLat,float,YES,,,
46,GeoLon,float,YES,,,
47,GeoPrecision,int(11),YES,,,
48,GolfCourse,int(11),YES,,,
49,GreenHouse,int(11),YES,,,
50,HandicapAccess,int(11),YES,,,
51,HeatingType,text,YES,,,
52,Hillside,int(11),YES,,,
53,HomeSize,int(11),YES,MUL,,
54,HomeType,int(11),YES,,,
55,HomeTypeDesc,text,YES,,,
56,HotTub,int(11),YES,,,
57,ImageCount,int(11),YES,,,
58,Lake,int(11),YES,,,
59,Level,int(11),YES,,,
60,Library,int(11),YES,,,
61,LinkBack,text,YES,,,
62,ListAgentID,varchar(30),YES,MUL,,
63,ListingAgent,text,YES,,,
64,ListingAgentPhone,text,YES,,,
65,ListingCompany,text,YES,,,
66,ListingCompanyPhone,text,YES,,,
67,ListingStatus,int(11),YES,,,
68,ListingStatusDisplay,text,YES,,,
69,LotSize,text,YES,,,
70,LotSizeAcres,int(11),YES,,,
71,LotSizeFeet,int(11),YES,,,
72,MLSID,varchar(20),YES,,,
73,MLSName,text,YES,,,
74,MLSSourceID,int(11),YES,,,
75,Nation,text,YES,,,
76,NationID,int(11),YES,,,
77,Neighborhood,text,YES,,,
78,NeighborhoodCleaned,text,YES,,,
79,NeighborhoodOriginal,text,YES,,,
80,NewHome,int(11),YES,,,
81,NoAvm,tinyint(1),YES,,,
82,NoSyndication,tinyint(1),YES,,,
83,Occupied,int(11),YES,,,
84,Ocean,int(11),YES,,,
85,Office,int(11),YES,,,
86,OfficeMLSID,text,YES,,,
87,OutBuilding,int(11),YES,,,
88,Pasture,int(11),YES,,,
89,PetsAllowed,int(11),YES,,,
90,PostOffice,text,YES,,,
91,PromotionPrice,int(11),YES,,,
92,PropCatCommercial,tinyint(1),YES,,,
93,PropCatLand,tinyint(1),YES,,,
94,PropCatMulti,tinyint(1),YES,,,
95,PropCatRental,tinyint(1),YES,,,
96,PropCatResidential,tinyint(1),YES,,,
97,PropTypeAuction,tinyint(1),YES,,,
98,PropType0Down,tinyint(1),YES,,,
99,PropTypeBoat,tinyint(1),YES,,,
100,PropTypeBusiness,tinyint(1),YES,,,
101,PropTypeChurch,tinyint(1),YES,,,
102,PropTypeCoOp,tinyint(1),YES,,,
103,PropTypeCondo,tinyint(1),YES,,,
104,PropTypeFarm,tinyint(1),YES,,,
105,PropTypeForeclosure,tinyint(1),YES,,,
106,PropTypeHUD,tinyint(1),YES,,,
107,PropTypeIndustrial,tinyint(1),YES,,,
108,PropTypeInvest,tinyint(1),YES,,,
109,PropTypeMFG,tinyint(1),YES,,,
110,PropTypeMedical,tinyint(1),YES,,,
111,PropTypeMobile,tinyint(1),YES,,,
112,PropTypeMultiple,tinyint(1),YES,,,
113,PropTypeOffice,tinyint(1),YES,,,
114,PropTypeRec,tinyint(1),YES,,,
115,PropTypeRetail,tinyint(1),YES,,,
116,PropTypeSingle,tinyint(1),YES,,,
117,PropTypeTimeShare,tinyint(1),YES,,,
118,PropTypeTown,tinyint(1),YES,,,
119,PropTypeWarehouse,tinyint(1),YES,,,
120,PropTypeWholesale,tinyint(1),YES,,,
121,PropertyTax,int(11),YES,,,
122,Ravine,int(11),YES,,,
123,RentalPrice,float,YES,,,
124,River,int(11),YES,,,
125,RiverAccess,int(11),YES,,,
126,RiverFront,int(11),YES,,,
127,Road,int(11),YES,,,
128,Rolling,int(11),YES,,,
129,Rugged,int(11),YES,,,
130,Sauna,int(11),YES,,,
131,SchoolDistrict,text,YES,,,
132,SchoolEle,text,YES,,,
