,Field,Type,Null,Key,Default,Extra
0,internal_listing_id,varchar(26),NO,PRI,,
1,absolute_longitude,"decimal(11,6)",YES,,,
2,agent_id,varchar(26),YES,MUL,,
3,appraiser,varchar(100),YES,,,
4,area,varchar(100),YES,,,
5,begin_date,date,YES,,,
6,book_msg_2,varchar(30),YES,,,
7,branded_virtual_tour,text,YES,,,
8,buyer,varchar(20),YES,,,
9,cancel_date,date,YES,,,
10,city,varchar(100),YES,MUL,,
11,colist_agent_id,varchar(26),YES,MUL,,
12,colist_office_id,varchar(26),YES,,,
13,colistingmemberaddress,varchar(150),YES,,,
14,colistingmemberemail,varchar(150),YES,,,
15,colistingmemberfax,varchar(15),YES,,,
16,colistingmembername,varchar(122),YES,,,
17,colistingmemberphone,varchar(25),YES,,,
18,colistingmembershortid,varchar(15),YES,,,
19,colistingmemberurl,varchar(150),YES,,,
20,colistingofficeaddress,varchar(150),YES,,,
21,colistingofficeemail,varchar(150),YES,,,
22,colistingofficefax,varchar(15),YES,,,
23,colistingofficename,varchar(150),YES,,,
24,colistingofficephone,varchar(25),YES,,,
25,colistingofficeshortid,varchar(15),YES,,,
26,colistingofficeurl,varchar(150),YES,,,
27,contingent,varchar(100),YES,,,
28,contingent_remarks,varchar(20),YES,,,
29,coselling_agency_id,varchar(26),YES,,,
30,coselling_agent_id,varchar(26),YES,,,
31,cosellingmemberaddress,varchar(150),YES,,,
32,cosellingmemberemail,varchar(150),YES,,,
33,cosellingmemberfax,varchar(15),YES,,,
34,cosellingmembername,varchar(122),YES,,,
35,cosellingmemberphone,varchar(25),YES,,,
36,cosellingmembershortid,varchar(15),YES,,,
37,cosellingmemberurl,varchar(150),YES,,,
38,cosellingofficeaddress,varchar(150),YES,,,
39,cosellingofficeemail,varchar(150),YES,,,
40,cosellingofficefax,varchar(15),YES,,,
41,cosellingofficename,varchar(150),YES,,,
42,cosellingofficephone,varchar(25),YES,,,
43,cosellingofficeshortid,varchar(15),YES,,,
44,cosellingofficeurl,varchar(150),YES,,,
45,country,varchar(100),YES,,,
46,county,varchar(100),YES,,,
47,days_on_market,varchar(4),YES,,,
48,directions,varchar(400),YES,,,
49,display_on_public_websites,varchar(1),YES,,,
50,document_count,int(11),YES,,,
51,document_timestamp,datetime,YES,,,
52,end_date,date,YES,,,
53,entry_timestamp,datetime,YES,,,
54,extra_agency_info,varchar(20),YES,,,
