,Field,Type,Null,Key,Default,Extra
0,internal_listing_id,varchar(26),NO,PRI,,
1,absolute_longitude,int(11),YES,,,
2,acres,"decimal(10,2)",YES,,,
3,agent_id,varchar(26),YES,,,
4,apn,varchar(50),YES,,,
5,branded_virtual_tour,text,YES,,,
6,cancel_date,date,YES,,,
7,city,varchar(100),YES,,,
8,colist_agent_id,varchar(26),YES,,,
9,colist_office_id,varchar(26),YES,,,
10,colistingmemberaddress,varchar(150),YES,,,
11,colistingmemberemail,varchar(150),YES,,,
12,colistingmemberfax,varchar(26),YES,,,
13,colistingmembername,varchar(72),YES,,,
14,colistingmemberphone,varchar(31),YES,,,
15,colistingmembershortid,varchar(15),YES,MUL,,
16,colistingmemberurl,varchar(150),YES,,,
17,colistingofficeaddress,varchar(150),YES,,,
18,colistingofficeemail,varchar(150),YES,,,
19,colistingofficefax,varchar(15),YES,,,
20,colistingofficename,varchar(150),YES,,,
21,colistingofficephone,varchar(25),YES,,,
22,colistingofficeshortid,varchar(15),YES,,,
23,colistingofficeurl,varchar(150),YES,,,
24,commission_2,"decimal(11,2)",YES,,,
25,commission_2_type,varchar(100),YES,,,
26,commission_3,"decimal(11,2)",YES,,,
27,commission_3_type,varchar(100),YES,,,
28,commission_comments,varchar(500),YES,,,
29,contingency_choices,varchar(100),YES,,,
30,contingent,varchar(100),YES,,,
31,contingent_date,date,YES,,,
32,coselling_agency_id,varchar(26),YES,,,
33,coselling_agent_id,varchar(26),YES,,,
34,cosellingmemberaddress,varchar(150),YES,,,
35,cosellingmemberemail,varchar(150),YES,,,
36,cosellingmemberfax,varchar(15),YES,,,
37,cosellingmembername,varchar(72),YES,,,
38,cosellingmemberphone,varchar(25),YES,,,
39,cosellingmembershortid,varchar(15),YES,,,
40,cosellingmemberurl,varchar(150),YES,,,
41,cosellingofficeaddress,varchar(150),YES,,,
42,cosellingofficeemail,varchar(150),YES,,,
43,cosellingofficefax,varchar(15),YES,,,
44,cosellingofficename,varchar(150),YES,,,
45,cosellingofficephone,varchar(25),YES,,,
46,cosellingofficeshortid,varchar(15),YES,,,
47,cosellingofficeurl,varchar(150),YES,,,
48,county,varchar(100),YES,,,
49,cross_street,varchar(120),YES,,,
50,cumulative_dom,varchar(4),YES,,,
51,days_on_market,varchar(4),YES,,,
52,deposit,"decimal(15,2)",YES,,,
53,directions_to_property,varchar(400),YES,,,
54,display_on_public_websites,varchar(1),YES,,,
55,document_count,int(11),YES,,,
56,document_timestamp,datetime,YES,,,
57,entry_timestamp,datetime,YES,,,
58,expiration_date,date,YES,,,
59,fallthrough_date,date,YES,,,
60,geo_lat,"decimal(11,6)",YES,,,
61,geo_lon,"decimal(11,6)",YES,,,
62,list_205,datetime,YES,,,
63,list_206,datetime,YES,,,
64,list_207,"decimal(15,1)",YES,,,
65,list_208,datetime,YES,,,
66,list_agent_board_code,varchar(150),YES,,,
67,list_agent_board_id,varchar(26),YES,,,
68,list_number_main,int(11),YES,,,
69,list_number_prefix,varchar(2),YES,,,
70,list_office_board_code,varchar(150),YES,,,
71,list_office_board_id,varchar(26),YES,,,
72,listing_date,date,YES,,,
73,listing_id,varchar(13),YES,MUL,,
74,listing_price,"decimal(15,2)",YES,,,
75,listing_type,varchar(100),YES,,,
76,listingmemberaddress,varchar(150),YES,,,
77,listingmemberemail,varchar(150),YES,,,
78,listingmemberfax,varchar(26),YES,,,
79,listingmembername,varchar(72),YES,,,
80,listingmemberphone,varchar(31),YES,,,
81,listingmembershortid,varchar(15),YES,MUL,,
82,listingmemberurl,varchar(150),YES,,,
83,listingofficeaddress,varchar(150),YES,,,
84,listingofficeemail,varchar(150),YES,,,
85,listingofficefax,varchar(15),YES,,,
86,listingofficename,varchar(150),YES,MUL,,
87,listingofficephone,varchar(25),YES,,,
88,listingofficeshortid,varchar(15),YES,,,
89,listingofficeurl,varchar(150),YES,,,
90,lock_box,varchar(100),YES,,,
91,lock_box_location,varchar(50),YES,,,
92,lot_descdimensions,varchar(50),YES,,,
93,lot_size_source,varchar(100),YES,,,
94,lot_size_sqft,"decimal(15,2)",YES,,,
95,major_area,varchar(100),YES,,,
96,map_book,varchar(22),YES,,,
97,map_coordinates_side,varchar(20),YES,,,
98,map_coordinates_top,varchar(20),YES,,,
99,map_page,varchar(20),YES,,,
100,mls_approved,varchar(1),YES,,,
101,mls_identifier,varchar(26),YES,,,
102,modifier,varchar(20),YES,,,
103,office_id,varchar(26),YES,,,
104,original_list_price,"decimal(14,2)",YES,,,
105,owner_name,varchar(30),YES,,,
106,owner_phone,varchar(12),YES,,,
107,phone_to_show,varchar(20),YES,,,
108,picture_count,int(11),YES,,,
109,picture_timestamp,datetime,YES,,,
110,property_group_id,varchar(26),YES,,,
111,property_type,varchar(2),YES,,,
112,public_remarks,text,YES,,,
113,selling_agency_id,varchar(26),YES,,,
114,selling_agent_id,varchar(26),YES,,,
115,sellingmemberaddress,varchar(150),YES,,,
116,sellingmemberemail,varchar(150),YES,,,
117,sellingmemberfax,varchar(15),YES,,,
118,sellingmembername,varchar(72),YES,,,
119,sellingmemberphone,varchar(25),YES,,,
120,sellingmembershortid,varchar(15),YES,,,
121,sellingmemberurl,varchar(150),YES,,,
122,sellingofficeaddress,varchar(150),YES,,,
123,sellingofficeemail,varchar(150),YES,,,
124,sellingofficefax,varchar(15),YES,,,
125,sellingofficename,varchar(150),YES,,,
126,sellingofficephone,varchar(25),YES,,,
127,sellingofficeshortid,varchar(15),YES,,,
128,sellingofficeurl,varchar(150),YES,,,
129,service_type,varchar(100),YES,,,
130,stateprovince,varchar(100),YES,,,
131,status,varchar(100),YES,,,
132,status_change_date,date,YES,,,
133,street_dir,varchar(100),YES,,,
134,street_name,varchar(30),YES,,,
135,street_num,varchar(10),YES,,,
136,street_post_dir,varchar(100),YES,,,
137,sub_agency_comp,"decimal(11,2)",YES,,,
138,sub_agency_comp_type,varchar(100),YES,,,
139,subarea,varchar(100),YES,,,
140,suffix,varchar(100),YES,,,
141,syndication_remarks,text,YES,,,
142,timestamp,datetime,YES,,,
143,unbranded_virtual_tour,text,YES,,,
144,under_contract_date,date,YES,,,
145,unit_num,varchar(30),YES,,,
146,value_range_price,"decimal(15,2)",YES,,,
147,variable_rate_comm,varchar(100),YES,,,
148,withdrawal_date,date,YES,,,
149,zip,varchar(100),YES,MUL,,
150,zip__4,varchar(6),YES,,,
151,basement_length,varchar(50),YES,,,
152,basement_level,varchar(50),YES,,,
153,basement_width,varchar(50),YES,,,
154,bedroom_2_length,varchar(50),YES,,,
155,bedroom_2_level,varchar(50),YES,,,
156,bedroom_2_width,varchar(50),YES,,,
157,bedroom_3_length,varchar(50),YES,,,
158,bedroom_3_level,varchar(50),YES,,,
159,bedroom_3_width,varchar(50),YES,,,
160,bedroom_4_length,varchar(50),YES,,,
161,bedroom_4_level,varchar(50),YES,,,
162,bedroom_4_width,varchar(50),YES,,,
163,bonus_room_length,varchar(50),YES,,,
164,bonus_room_level,varchar(50),YES,,,
165,bonus_room_width,varchar(50),YES,,,
166,covered_parking,varchar(100),YES,,,
167,denoffice_length,varchar(50),YES,,,
168,denoffice_level,varchar(50),YES,,,
169,denoffice_width,varchar(50),YES,,,
170,dining_room_desc,varchar(100),YES,,,
171,dining_room_length,varchar(50),YES,,,
172,dining_room_level,varchar(50),YES,,,
173,dining_room_width,varchar(50),YES,,,
174,dwelling,varchar(100),YES,,,
175,family_room_length,varchar(50),YES,,,
176,family_room_level,varchar(50),YES,,,
177,family_room_width,varchar(50),YES,,,
178,fireplace_loctype,varchar(101),YES,,,
179,flooring,varchar(100),YES,,,
180,furnfixt_exclude,varchar(50),YES,,,
181,game_room_length,varchar(50),YES,,,
182,game_room_level,varchar(50),YES,,,
183,game_room_width,varchar(50),YES,,,
184,great_room_length,varchar(50),YES,,,
185,great_room_level,varchar(50),YES,,,
186,great_room_width,varchar(50),YES,,,
187,green_features,varchar(202),YES,,,
188,green_ratings,varchar(100),YES,,,
189,guest_quarters_length,varchar(50),YES,,,
190,guest_quarters_level,varchar(50),YES,,,
191,guest_quarters_width,varchar(50),YES,,,
192,kitchen_length,varchar(50),YES,,,
193,kitchen_level,varchar(50),YES,,,
194,kitchen_width,varchar(50),YES,,,
195,library_length,varchar(50),YES,,,
196,library_level,varchar(50),YES,,,
197,library_width,varchar(50),YES,,,
198,license_info_license_1,text,YES,,,
199,license_info_license_2,text,YES,,,
200,license_info_license_expiration_date,date,YES,,,
201,living_room_length,varchar(50),YES,,,
202,living_room_level,varchar(50),YES,,,
203,living_room_width,varchar(50),YES,,,
204,loft_length,varchar(50),YES,,,
205,loft_level,varchar(50),YES,,,
206,loft_width,varchar(50),YES,,,
207,master_bedroom_length,varchar(50),YES,,,
208,master_bedroom_level,varchar(50),YES,,,
209,master_bedroom_on_lwr_lvl,varchar(100),YES,,,
210,master_bedroom_width,varchar(50),YES,,,
211,mobile_home_type,varchar(100),YES,,,
212,mobilemfg_info_manufacture_name,text,YES,,,
213,mobilemfg_info_manufacture_series_1,text,YES,,,
214,mobilemfg_info_manufacture_series_2,text,YES,,,
215,mobilemfg_info_mobile_length,"decimal(23,2)",YES,,,
216,mobilemfg_info_mobile_width,"decimal(23,2)",YES,,,
217,mobilemfg_info_model_name,text,YES,,,
218,mobilemfg_info_model_size,varchar(100),YES,,,
219,mobilemfg_info_monthly_space_rent,"decimal(23,2)",YES,,,
220,mobilemfg_info_tax_license,text,YES,,,
221,mobilemfg_info_taxed_by,text,YES,,,
222,num_of_fireplaces,int(4),YES,,,
223,other_length,varchar(50),YES,,,
224,other_level,varchar(50),YES,,,
225,other_parking,varchar(100),YES,,,
226,other_width,varchar(50),YES,,,
227,patio_enclosed_length,varchar(50),YES,,,
228,patio_enclosed_level,varchar(50),YES,,,
229,patio_enclosed_width,varchar(50),YES,,,
230,renewable_energy,varchar(100),YES,,,
231,rooms,varchar(198),YES,,,
232,rooms_basement_level,varchar(100),YES,,,
233,rooms_bedroom_2_level,varchar(100),YES,,,
234,rooms_bedroom_3_level,varchar(100),YES,,,
235,rooms_bedroom_4_level,varchar(100),YES,,,
236,rooms_bonus_room_level,varchar(100),YES,,,
237,rooms_denoffice_level,varchar(100),YES,,,
238,rooms_dining_room_level,varchar(100),YES,,,
239,rooms_family_room_level,varchar(100),YES,,,
240,rooms_game_room_level,varchar(100),YES,,,
241,rooms_great_room_level,varchar(100),YES,,,
242,rooms_guest_quarters_level,varchar(100),YES,,,
243,rooms_kitchen_level,varchar(100),YES,,,
244,rooms_library_level,varchar(100),YES,,,
245,rooms_living_room_level,varchar(100),YES,,,
246,rooms_loft_level,varchar(100),YES,,,
247,rooms_master_bedroom_level,varchar(100),YES,,,
248,rooms_other_room_level,varchar(100),YES,,,
249,rooms_patio_enclosed_level,varchar(100),YES,,,
250,rooms_study_level,varchar(100),YES,,,
251,rooms_sun_room_level,varchar(100),YES,,,
252,solar_panel_options,varchar(100),YES,,,
253,solar_panels,varchar(100),YES,,,
254,study_length,varchar(50),YES,,,
255,study_level,varchar(50),YES,,,
256,study_width,varchar(50),YES,,,
257,sun_room_length,varchar(50),YES,,,
258,sun_room_level,varchar(50),YES,,,
259,sun_room_width,varchar(50),YES,,,
260,auction,varchar(100),YES,,,
261,auction_auction_comments,text,YES,,,
262,auction_auction_compensation,varchar(100),YES,,,
263,auction_auction_date,date,YES,,,
264,auction_auction_place,text,YES,,,
265,auction_auction_time,text,YES,,,
266,auction_buyers_premium,varchar(100),YES,,,
267,auction_buyers_premium_type,varchar(100),YES,,,
268,auction_minimum_accepted_bid,"decimal(23,2)",YES,,,
269,auction_preauction_comp,"decimal(23,2)",YES,,,
270,auction_preauction_notes,text,YES,,,
271,auction_preauction_offer_acc,varchar(100),YES,,,
272,auction_premium_amount,"decimal(23,2)",YES,,,
273,financing,varchar(100),YES,,,
274,listing_detail,varchar(100),YES,,,
275,lot_characteristics,varchar(106),YES,,,
276,possession,varchar(100),YES,,,
277,property_subtype,varchar(100),YES,,,
278,reo,varchar(100),YES,,,
279,reports_available,varchar(100),YES,,,
280,selling_info_concession_amount,"decimal(23,2)",YES,,,
281,selling_info_concessions,varchar(100),YES,,,
282,selling_info_selling_comments,text,YES,,,
283,sewer,varchar(100),YES,,,
284,short_sale,varchar(100),YES,,,
285,showing_instructions,varchar(100),YES,,,
286,site_improvements,varchar(100),YES,,,
287,terms,varchar(100),YES,,,
288,water,varchar(100),YES,,,
289,zone_description,varchar(137),YES,,,
290,confidential_agent_remarks,text,YES,,,
291,air_conditioning,varchar(100),YES,,,
292,exterior,varchar(100),YES,,,
293,exterior_features,varchar(120),YES,,,
294,foundation,varchar(100),YES,,,
295,heating,varchar(100),YES,,,
296,interior_features,varchar(126),YES,,,
297,laundry,varchar(100),YES,,,
298,levels,varchar(100),YES,,,
299,roof_description,varchar(100),YES,,,
300,showing_instructions_showing_comments,text,YES,,,
301,14_baths,"decimal(15,2)",YES,,,
302,approx_sqft,"decimal(10,2)",YES,,,
303,approx_yr_blt,int(4),YES,,,
304,full_baths,int(6),YES,,,
305,half_baths,int(6),YES,,,
306,list_pricesqft,"decimal(15,2)",YES,,,
307,sold_pricesqft,"decimal(15,2)",YES,,,
308,sq_ft_source,varchar(100),YES,,,
309,stories,int(4),YES,,,
310,total_baths,"decimal(7,2)",YES,,,
311,year_built_exception,varchar(100),YES,,,
312,subdivhoaprk_name,varchar(100),YES,,,
313,34_baths,int(6),YES,,,
314,occupant_name,varchar(20),YES,,,
315,occupant_type,varchar(100),YES,,,
316,sold_date,date,YES,,,
317,sold_price,"decimal(15,2)",YES,,,
318,loan_balance,"decimal(15,2)",YES,,,
319,additional_buildings,varchar(100),YES,,,
320,bedrooms,int(4),YES,,,
321,well_installed,varchar(100),YES,,,
322,stairs_to_entry,varchar(100),YES,,,
323,under_construction,varchar(100),YES,,,
324,garage_spaces,int(4),YES,,,
325,assessments,varchar(100),YES,,,
326,association_fee_incl,varchar(100),YES,,,
327,hoa_contact_name,varchar(50),YES,,,
328,hoa_fee_frequency,varchar(100),YES,,,
329,optional_services,varchar(100),YES,,,
330,sale_options,varchar(100),YES,,,
331,view,varchar(100),YES,,,
332,association,varchar(100),YES,,,
333,association_fee,"decimal(15,2)",YES,,,
334,age_restricted,varchar(100),YES,,,
335,appliances_included,varchar(202),YES,,,
336,pets_allowed,varchar(100),YES,,,
337,1_bedroom_units_rent_range,text,YES,,,
338,1_bedroom_units_sqft_range,text,YES,,,
339,2_bedroom_units_rent_range,text,YES,,,
340,2_bedroom_units_sqft_range,text,YES,,,
341,3_bedroom_units_rent_range,text,YES,,,
342,3_bedroom_units_sqft_range,text,YES,,,
343,4_bedroom_units_rent_range,text,YES,,,
344,4_bedroom_units_sqft_range,text,YES,,,
345,income__expenses_annual_gross_rent_inc,"decimal(23,2)",YES,,,
346,income__expenses_gross_rent_multiplier,"decimal(23,2)",YES,,,
347,studio_rent_range,text,YES,,,
348,studio_sqft_range,text,YES,,,
349,total_num_units,int(4),YES,,,
350,income__expenses_vacancy_,"decimal(23,2)",YES,,,
351,lease_term,varchar(100),YES,,,
352,property_disclaimer,varchar(500),YES,,,
353,income_source,varchar(100),YES,,,
354,landlord_pays,varchar(100),YES,,,
355,operating_expense,varchar(102),YES,,,
356,separate_meters,varchar(100),YES,,,
357,sublease,varchar(100),YES,,,
358,tenant_pays,varchar(102),YES,,,
359,inspection_procedure_inspection_procedure,text,YES,,,
360,1_bedroom_units_34_baths,text,YES,,,
361,1_bedroom_units_bedrooms,text,YES,,,
362,1_bedroom_units_full_baths,text,YES,,,
363,1_bedroom_units_half_baths,text,YES,,,
364,1_bedroom_units_num_of_1_bedroom_units,bigint(20),YES,,,
365,2_bedroom_units_34_baths,text,YES,,,
366,2_bedroom_units_bedrooms,text,YES,,,
367,2_bedroom_units_full_baths,text,YES,,,
368,2_bedroom_units_half_baths,text,YES,,,
369,2_bedroom_units_num_of_2_bedroom_units,bigint(20),YES,,,
370,3_bedroom_units_34_baths,text,YES,,,
371,3_bedroom_units_bedrooms,text,YES,,,
372,3_bedroom_units_full_baths,text,YES,,,
373,3_bedroom_units_half_baths,text,YES,,,
374,3_bedroom_units_num_of_3_bedroom_units,bigint(20),YES,,,
375,4_bedroom_units_34_baths,text,YES,,,
376,4_bedroom_units_bedrooms,text,YES,,,
377,4_bedroom_units_full_baths,text,YES,,,
378,4_bedroom_units_half_baths,text,YES,,,
379,4_bedroom_units_num_of_4_bedroom_units,bigint(20),YES,,,
380,income__expenses_annual_operating_exp,"decimal(23,2)",YES,,,
381,income__expenses_cap_rate,"decimal(23,2)",YES,,,
382,income__expenses_net_operating_income,"decimal(23,2)",YES,,,
383,studio_34_baths,text,YES,,,
384,studio_bedrooms,text,YES,,,
385,studio_full_baths,text,YES,,,
386,studio_half_baths,text,YES,,,
387,studio_num_of_studio_units,bigint(20),YES,,,
388,sub_lease_exp_date,date,YES,,,
389,parking,varchar(100),YES,,,
390,business_opportunity_furnfixtequip_excl,text,YES,,,
391,business_opportunity_inventory_of_resale,text,YES,,,
392,business_opportunity_lighting,text,YES,,,
393,financials_modified_gross,"decimal(23,2)",YES,,,
394,load_factor,"decimal(10,2)",YES,,,
395,rent_annual,"decimal(10,2)",YES,,,
396,tenant_information_tenant_1_expiration_date,date,YES,,,
