,Field,Type,Null,Key,Default,Extra
0,internal_listing_id,varchar(26),NO,PRI,,
1,waterfront,varchar(100),YES,,,
2,property_type,varchar(2),YES,,,
3,absolute_longitude,"decimal(11,6)",YES,,,
4,agent_id,varchar(26),YES,MUL,,
5,agent_remarks,varchar(400),YES,,,
6,area,varchar(100),YES,,,
7,back_on_market_timestamp,datetime,YES,,,
8,branded_virtual_tour,text,YES,,,
9,city,varchar(100),YES,MUL,,
10,colist_agent_id,varchar(26),YES,,,
11,colist_office_id,varchar(26),YES,,,
12,colistingmemberaddress,varchar(150),YES,,,
13,colistingmemberemail,varchar(150),YES,,,
14,colistingmemberfax,varchar(15),YES,,,
15,colistingmembername,varchar(122),YES,,,
16,colistingmemberphone,varchar(31),YES,,,
17,colistingmembershortid,varchar(19),YES,,,
18,colistingmemberurl,varchar(150),YES,,,
19,colistingofficeaddress,varchar(150),YES,,,
20,colistingofficeemail,varchar(150),YES,,,
21,colistingofficefax,varchar(15),YES,,,
22,colistingofficename,varchar(150),YES,,,
23,colistingofficephone,varchar(31),YES,,,
24,colistingofficeshortid,varchar(15),YES,,,
25,colistingofficeurl,varchar(150),YES,,,
26,control_depth,int(4),YES,,,
27,coselling_agency_id,varchar(26),YES,,,
28,coselling_agent_id,varchar(26),YES,,,
29,cosellingmemberaddress,varchar(150),YES,,,
30,cosellingmemberemail,varchar(150),YES,,,
31,cosellingmemberfax,varchar(15),YES,,,
32,cosellingmembername,varchar(122),YES,,,
33,cosellingmemberphone,varchar(31),YES,,,
34,cosellingmembershortid,varchar(18),YES,,,
35,cosellingmemberurl,varchar(150),YES,,,
36,cosellingofficeaddress,varchar(150),YES,,,
37,cosellingofficeemail,varchar(150),YES,,,
38,cosellingofficefax,varchar(15),YES,,,
39,cosellingofficename,varchar(150),YES,,,
40,cosellingofficephone,varchar(31),YES,,,
41,cosellingofficeshortid,varchar(15),YES,,,
42,cosellingofficeurl,varchar(150),YES,,,
43,county,varchar(100),YES,,,
44,days_on_market,varchar(4),YES,,,
45,direction,varchar(100),YES,,,
46,directions,varchar(400),YES,,,
47,display_on_public_websites,varchar(1),YES,,,
48,dockage,varchar(100),YES,,,
49,dockage_dock,varchar(100),YES,,,
50,dockage_seawall,varchar(100),YES,,,
51,document_count,int(11),YES,,,
52,document_timestamp,datetime,YES,,,
53,duplicate_listing,varchar(100),YES,,,
54,entry_timestamp,datetime,YES,,,
55,expiration_date,date,YES,,,
56,financial_status_bank_owned,varchar(100),YES,,,
57,financial_status_potential_short_sale,varchar(100),YES,,,
58,geo_lat,"decimal(11,6)",YES,,,
59,geo_lon,"decimal(11,6)",YES,,,
60,keyisland,varchar(100),YES,,,
61,kw_neighborhood,varchar(100),YES,,,
62,list_agent_board_code,varchar(150),YES,,,
63,list_agent_board_id,varchar(26),YES,,,
64,list_number_main,int(11),YES,MUL,,
65,list_number_prefix,varchar(2),YES,,,
66,list_office_board_code,varchar(150),YES,,,
67,list_office_board_id,varchar(26),YES,,,
68,listing_board,varchar(100),YES,,,
69,listing_date,date,YES,,,
70,listing_id,varchar(22),YES,,,
71,listingmemberaddress,varchar(150),YES,,,
72,listingmemberemail,varchar(150),YES,,,
73,listingmemberfax,varchar(15),YES,,,
74,listingmembername,varchar(122),YES,,,
75,listingmemberphone,varchar(31),YES,,,
76,listingmembershortid,varchar(23),YES,,,
77,listingmemberurl,varchar(150),YES,,,
