,Field,Type,Null,Key,Default,Extra
0,listing_rid,int(10),NO,PRI,,
1,12_year_taxes,"decimal(9,2)",YES,,,
2,acres,"decimal(14,2)",YES,,,
3,age,int(10),YES,,,
4,agent_only_remarks,text,YES,,,
5,agreement_type,varchar(20),YES,,,
6,agreement_type_2,varchar(4),YES,,,
7,area,varchar(30),YES,,,
8,association,varchar(50),YES,,,
9,available_date,date,YES,,,
10,bathrooms_display,varchar(20),YES,,,
11,board_loaded,varchar(3),YES,,,
12,broker_approved,varchar(14),YES,,,
13,buycode,varchar(20),YES,,,
14,city,varchar(21),YES,MUL,,
15,commission_3,varchar(10),YES,,,
16,commission_comments,varchar(200),YES,,,
17,contingent_date,date,YES,,,
18,contingent_expiration_date,date,YES,,,
19,county,varchar(21),YES,,,
20,cross_street_address,varchar(30),YES,,,
21,days_on_market,int(4),YES,,,
22,directions,varchar(250),YES,,,
23,entered_by_mls_id,varchar(12),YES,,,
24,entry_date,datetime,YES,,,
25,expiration_date,date,YES,,,
26,financing_comments,varchar(30),YES,,,
27,fips_code,int(10),YES,,,
28,inactive_date,date,YES,,,
29,last_modified_date_time,datetime,YES,,,
30,latitude,"decimal(12,8)",YES,,,
31,legal_description,varchar(150),YES,,,
32,listing_agent_first_name,varchar(12),YES,,,
33,listing_agent_full_name,varchar(60),YES,,,
34,listing_agent_last_name,varchar(30),YES,,,
35,listing_agent_mls_id,varchar(12),YES,MUL,,
36,listing_agent_number,int(10),YES,,,
37,listing_co_agent_full_name,varchar(60),YES,,,
38,listing_co_agent_mls_id,varchar(12),YES,MUL,,
39,listing_co_agent_number,int(10),YES,,,
40,listing_co_office_mls_id,varchar(12),YES,,,
41,listing_co_office_name,varchar(100),YES,,,
42,listing_co_office_number,int(10),YES,,,
43,listing_date,date,YES,,,
44,listing_number,int(10),YES,MUL,,
45,listing_number_display,varchar(25),YES,,,
46,listing_office_mls_id,varchar(12),YES,,,
47,listing_office_name,varchar(100),YES,MUL,,
48,listing_price,"decimal(12,2)",YES,,,
49,listingoffice_number,int(10),YES,,,
50,longitude,"decimal(12,8)",YES,,,
51,lot_measurement,varchar(5),YES,,,
52,lot_size_source,varchar(20),YES,,,
53,lot_square_footage,"decimal(14,2)",YES,,,
54,marketing_remark,text,YES,,,
55,mls_origin,varchar(60),YES,,,
56,multiple_listing_service,varchar(34),YES,,,
57,non_member_sales_agent_name,varchar(30),YES,,,
58,non_member_sales_office_name,varchar(30),YES,,,
59,on_market,varchar(14),YES,,,
60,original_price,"decimal(12,2)",YES,,,
61,owner_name,varchar(50),YES,,,
62,owner_phone_area_code,varchar(3),YES,,,
63,owner_phone_number,varchar(7),YES,,,
64,parcel_id,varchar(40),YES,,,
65,pending_date,date,YES,,,
66,phone_to_show_area_code,varchar(3),YES,,,
67,phone_to_show_number,varchar(7),YES,,,
68,picture_count,int(2),YES,,,
69,picture_modified_date_time,datetime,YES,,,
70,picture_provided_by,varchar(20),YES,,,
71,possible_short_sale,varchar(4),YES,,,
72,price_change_date,datetime,YES,,,
73,price_per_acre,"decimal(12,2)",YES,,,
74,price_per_square_foot,"decimal(12,2)",YES,,,
75,property_disclaimer,varchar(500),YES,,,
76,property_subtype_1,varchar(23),YES,,,
77,property_subtype_2,varchar(13),YES,,,
78,property_subtype_3,varchar(4),YES,,,
79,property_type,varchar(20),YES,,,
80,public_viewable,tinyint(1),YES,,,
81,reciprocal_listing,varchar(3),YES,,,
82,reciprocal_member_area_code,varchar(3),YES,,,
83,reciprocal_member_name,varchar(30),YES,,,
84,reciprocal_member_phone,varchar(7),YES,,,
85,reciprocal_office_name,varchar(30),YES,,,
86,region,int(10),YES,,,
87,school_system,varchar(20),YES,,,
88,search_price,"decimal(12,2)",YES,,,
89,searchcontractualdate,date,YES,,,
90,selling_agent_full_name,varchar(60),YES,,,
91,selling_agent_mls_id,varchar(12),YES,,,
92,selling_agent_number,int(10),YES,,,
93,selling_co_agent_full_name,varchar(60),YES,,,
94,selling_co_agent_mls_id,varchar(12),YES,,,
95,selling_co_agent_number,int(10),YES,,,
96,selling_co_office_mls_id,varchar(12),YES,,,
97,selling_co_office_name,varchar(100),YES,,,
98,selling_co_office_number,int(10),YES,,,
99,selling_comments,varchar(100),YES,,,
100,selling_date,date,YES,,,
101,selling_office_mls_id,varchar(12),YES,,,
102,selling_office_name,varchar(100),YES,,,
103,selling_office_number,int(10),YES,,,
104,selling_price,"decimal(12,2)",YES,,,
105,showing_instructions,varchar(52),YES,,,
106,state,varchar(2),YES,,,
107,status,varchar(13),YES,,,
108,status_comments,varchar(20),YES,,,
109,status_date,date,YES,,,
110,street_direction,varchar(15),YES,,,
111,street_name,varchar(30),YES,,,
112,street_number,int(10),YES,,,
113,street_number_modifier,varchar(8),YES,,,
114,street_suffix,varchar(9),YES,,,
115,sub_lease,varchar(1),YES,,,
116,sub_lease_expiration_date,datetime,YES,,,
117,subcode,varchar(20),YES,,,
118,three_quarter_bathrooms,int(3),YES,,,
119,title_company,varchar(40),YES,,,
120,township,varchar(40),YES,,,
121,url,text,YES,,,
122,validated,tinyint(1),YES,,,
123,virtual_media_count,int(2),YES,,,
124,virtual_media_last_modified_date_time,datetime,YES,,,
125,virtual_tour_url,varchar(200),YES,,,
126,water_related,varchar(72),YES,,,
127,waterfront,varchar(3),YES,,,
128,zip,varchar(5),YES,MUL,,
129,zip_plus_4,varchar(4),YES,,,
130,assessments_12_yr,"decimal(15,2)",YES,,,
131,for_lease,varchar(20),YES,,,
132,frontage,varchar(40),YES,,,
133,industrial_sq_ft,int(10),YES,,,
134,office_sq_ft,int(10),YES,,,
135,residential_sq_ft,int(10),YES,,,
136,restrooms,varchar(20),YES,,,
137,retail_sq_ft,int(10),YES,,,
138,sq_ft_price,int(10),YES,,,
139,stories,int(10),YES,,,
140,warehouse_sq_ft,int(10),YES,,,
141,parking_total,"decimal(6,2)",YES,,,
142,property_description,varchar(50),YES,,,
143,auction,varchar(3),YES,,,
144,contingency,varchar(20),YES,,,
145,water_comment,varchar(125),YES,,,
146,waterfront_desc,varchar(100),YES,,,
147,electricity,varchar(20),YES,,,
148,exteriorconstruction,varchar(100),YES,,,
149,square_footage,"decimal(14,2)",YES,,,
150,square_footage_source,varchar(20),YES,,,
151,unit,varchar(5),YES,,,
152,year_built,int(4),YES,MUL,,
153,year_built_exception,varchar(20),YES,,,
154,buyers_name,varchar(40),YES,,,
155,concessions,varchar(4),YES,,,
156,flood_plain,varchar(20),YES,,,
157,lot_dimensions,varchar(40),YES,,,
158,other_compensations,varchar(20),YES,,,
159,other_mls_nums,varchar(40),YES,,,
160,possession,varchar(180),YES,,,
161,sewer_comment,varchar(125),YES,,,
162,subdivision,varchar(40),YES,,,
163,tax_year,int(10),YES,,,
164,zoning,varchar(40),YES,,,
165,accessibility,varchar(168),YES,,,
166,extras,varchar(399),YES,,,
167,sewer,varchar(180),YES,,,
168,water,varchar(180),YES,,,
169,asmt_typ_comment,varchar(125),YES,,,
170,roof,varchar(168),YES,,,
171,assessments_12_yr__,"decimal(10,0)",YES,,,
172,industrial_sq_ft__,int(6),YES,,,
173,other_compensations_,varchar(10),YES,,,
174,triple_net_lease,varchar(4),YES,,,
175,utility_responsblty,varchar(8),YES,,,
176,full_bathrooms,int(3),YES,,,
177,half_bathrooms,int(3),YES,,,
178,quarter_bathrooms,int(3),YES,,,
179,agent_compensations,varchar(10),YES,,,
180,taxes,varchar(13),YES,,,
181,assesment_12_year,varchar(40),YES,,,
182,assesment_thru,varchar(40),YES,,,
183,frontage_length,varchar(40),YES,,,
184,lot_description,varchar(168),YES,,,
185,water_related_desc,varchar(100),YES,,,
186,bathrooms,"decimal(5,2)",YES,,,
187,bedrooms,int(3),YES,MUL,,
188,gas,varchar(40),YES,,,
189,gross_income,"decimal(14,2)",YES,,,
190,net_operating_income,"decimal(15,2)",YES,,,
191,operating_expenses,"decimal(15,2)",YES,,,
192,separate_utilities,varchar(168),YES,,,
193,basement,varchar(180),YES,,,
194,heat_source,varchar(180),YES,,,
195,heat_system,varchar(180),YES,,,
196,home_warranty,varchar(20),YES,,,
197,style,varchar(168),YES,MUL,,
198,substructure,varchar(20),YES,,,
199,view,varchar(180),YES,,,
200,warranty_company,varchar(40),YES,,,
201,heat_source_comment,varchar(125),YES,,,
202,num_of_garage_spaces,"decimal(6,2)",YES,,,
203,parking_features,varchar(112),YES,,,
204,2bedroom_area,"decimal(10,6)",YES,,,
205,2bedroom_dim,varchar(15),YES,,,
206,2bedroom_len,"decimal(5,2)",YES,,,
207,2bedroom_wid,"decimal(5,2)",YES,,,
