,Field,Type,Null,Key,Default,Extra
0,APIModificationTimestamp,datetime,YES,,,
1,AboveGradeFinishedArea,"decimal(14,2)",YES,,,
2,AboveGradeFinishedAreaUnits,varchar(45),YES,,,
3,AccessibilityFeatures,text,YES,,,
4,Appliances,text,YES,,,
5,ArchitecturalStyle,text,YES,,,
6,AssociationFee,"decimal(14,2)",YES,,,
7,AssociationFeeFrequency,varchar(45),YES,,,
8,AssociationFeeIncludes,text,YES,,,
9,AssociationName,varchar(70),YES,,,
10,AssociationYN,tinyint(1),YES,,,
11,AttachedGarageYN,tinyint(1),YES,,,
12,AvailabilityDate,date,YES,,,
13,Basement,text,YES,,,
14,BathroomsFull,bigint(20),YES,,,
15,BathroomsHalf,bigint(20),YES,,,
16,BathroomsOneQuarter,bigint(20),YES,,,
17,BathroomsPartial,bigint(20),YES,,,
18,BathroomsThreeQuarter,bigint(20),YES,,,
19,BathroomsTotalInteger,bigint(20),YES,,,
20,BedroomsTotal,bigint(20),YES,,,
21,BelowGradeFinishedArea,"decimal(14,2)",YES,,,
22,BelowGradeFinishedAreaUnits,varchar(45),YES,,,
23,BuilderName,varchar(70),YES,,,
24,BuildingAreaSource,varchar(70),YES,,,
25,BuildingAreaTotal,"decimal(14,2)",YES,,,
26,BuildingAreaUnits,varchar(45),YES,,,
27,BuyerAgencyCompensation,varchar(45),YES,,,
28,BuyerAgencyCompensationType,varchar(45),YES,,,
29,BuyerAgentCellPhone,varchar(36),YES,,,
30,BuyerAgentEmail,varchar(100),YES,,,
31,BuyerAgentFax,varchar(36),YES,,,
32,BuyerAgentFirstName,varchar(70),YES,,,
33,BuyerAgentFullName,varchar(170),YES,,,
34,BuyerAgentHomePhone,varchar(36),YES,,,
35,BuyerAgentKey,varchar(275),YES,,,
36,BuyerAgentKeyNumeric,bigint(20),YES,,,
37,BuyerAgentLastName,varchar(70),YES,,,
38,BuyerAgentMiddleName,varchar(70),YES,,,
39,BuyerAgentMlsId,varchar(45),YES,,,
40,BuyerAgentOfficePhone,varchar(36),YES,,,
41,BuyerAgentOfficePhoneExt,varchar(30),YES,,,
