,Field,Type,Null,Key,Default,Extra
0,mls_num,varchar(5),NO,PRI,,
1,systemid,int(10),NO,UNI,,
2,age,varchar(24),YES,,,
3,additional_information,varchar(255),YES,,,
4,address,varchar(100),YES,,,
5,address_2,varchar(50),YES,,,
6,address_direction,varchar(2),YES,,,
7,address_number,varchar(15),YES,,,
8,address_search_number,int(10),YES,,,
9,address_street,varchar(50),YES,,,
10,agent,int(10),YES,,,
11,agent_only_remarks,varchar(512),YES,,,
12,appraisers_name,varchar(50),YES,,,
13,approx_age,smallint(5),YES,,,
14,approx_year_built,smallint(5),YES,,,
15,apx_year_built_source,varchar(10),YES,,,
16,area,varchar(32),YES,,,
17,asking_price,int(10),YES,MUL,,
18,associated_document_count,int(10),YES,,,
19,ave_utilitieselectric,varchar(5),YES,,,
20,ave_utilitiesgas,varchar(5),YES,,,
21,bankmortgage_company,varchar(30),YES,,,
22,city,varchar(50),YES,MUL,,
23,city_limits,varchar(10),YES,,,
24,class,varchar(21),YES,,,
25,client_hit_count,int(10),YES,,,
26,closing_date,date,YES,,,
27,code_buyers_agent,varchar(10),YES,,,
28,code_subagent,varchar(10),YES,,,
29,code_trans_broker,varchar(5),YES,,,
30,contract_date,date,YES,,,
31,county,varchar(30),YES,,,
32,directions,varchar(255),YES,,,
33,dist_prop_remarks,varchar(100),YES,,,
34,distressed_property,varchar(25),YES,,,
35,doc_timestamp,datetime,YES,,,
36,documents_on_file,varchar(128),YES,,,
37,dom,int(10),YES,,,
38,domls,int(10),YES,,,
39,electric_supplier,varchar(25),YES,,,
40,expiration_date,date,YES,,,
41,financial_info,varchar(50),YES,,,
42,first_photo_add_timestamp,datetime,YES,,,
43,flood_plain,varchar(10),YES,,,
44,foundation,varchar(87),YES,,,
45,gas_supplier,varchar(25),YES,,,
46,geo_address_line,varchar(255),YES,,,
47,geo_latitude,"decimal(18,15)",YES,,,
48,geo_longitude,"decimal(19,15)",YES,,,
49,geo_match_code,smallint(3),YES,,,
50,geo_matched_method,smallint(3),YES,,,
51,geo_postal_code,varchar(10),YES,,,
52,geo_primary_city,varchar(100),YES,,,
53,geo_quality,"decimal(12,8)",YES,,,
54,geo_secondary_city,varchar(100),YES,,,
55,geo_subdivision,varchar(2),YES,,,
56,geo_update_timestamp,datetime,YES,,,
57,geo_zoom_level,"decimal(2,0)",YES,,,
58,hoa_fee,varchar(10),YES,,,
59,hoa_paid_per,varchar(10),YES,,,
60,hotsheet_date,date,YES,,,
61,how_sold,smallint(3),YES,,,
62,idx_include,varchar(19),YES,,,
63,input_date,datetime,YES,,,
64,internet,varchar(36),YES,,,
65,joins_corps_yn,varchar(5),YES,,,
66,la1agent_address2,varchar(50),YES,,,
67,la1agent_city,varchar(50),YES,,,
68,la1agent_email,varchar(50),YES,,,
69,la1agent_first_name,varchar(50),YES,,,
70,la1agent_last_name,varchar(50),YES,,,
71,la1agent_logon_name,varchar(20),YES,,,
72,la1agent_middle_initial,varchar(1),YES,,,
73,la1agent_phone1_countryid,varchar(18),YES,,,
74,la1agent_phone1_extension,varchar(5),YES,,,
75,la1agent_phone1_number,varchar(30),YES,,,
76,la1agent_phone2_countryid,varchar(28),YES,,,
77,la1agent_phone2_extension,varchar(5),YES,,,
78,la1agent_phone2_number,varchar(30),YES,,,
79,la1agent_phone3_countryid,varchar(28),YES,,,
80,la1agent_phone3_extension,varchar(5),YES,,,
81,la1agent_phone3_number,varchar(30),YES,,,
82,la1agent_phone4_countryid,varchar(28),YES,,,
83,la1agent_phone4_extension,varchar(5),YES,,,
84,la1agent_phone4_number,varchar(30),YES,,,
85,la1agent_phone5_countryid,varchar(28),YES,,,
86,la1agent_phone5_extension,varchar(5),YES,,,
87,la1agent_phone5_number,varchar(30),YES,,,
88,la1agent_state,varchar(2),YES,,,
89,la1agent_status,varchar(13),YES,,,
90,la1agent_type,varchar(35),YES,,,
91,la1agent_url,varchar(80),YES,,,
92,la1agent_zip,varchar(20),YES,,,
93,la1agentaddressstreetname,varchar(50),YES,,,
94,la1agentphone1description,varchar(5),YES,,,
95,la1agentphone2description,varchar(5),YES,,,
96,la1agentphone3description,varchar(5),YES,,,
97,la1agentphone4description,varchar(5),YES,,,
98,la1agentphone5description,varchar(5),YES,,,
99,la1user_code,varchar(20),YES,MUL,,
100,la2agent_address2,varchar(50),YES,,,
101,la2agent_city,varchar(50),YES,,,
