,Field,Type,Null,Key,Default,Extra
0,matrix_unique_id,bigint(19),NO,PRI,,
1,AgentOnlyComments,varchar(500),YES,,,
2,CommonIntCmtyYN,tinyint(1),YES,,,
3,DPRYN,tinyint(1),YES,,,
4,EffectiveYearBuilt,int(11),YES,,,
5,EffectiveYearBuiltSource,text,YES,,,
6,FIRPTAYN,tinyint(1),YES,,,
7,GeocodeSource,varchar(75),YES,,,
8,ListingNumber,int(10),YES,UNI,,
9,ListingPrice,"decimal(12,2)",YES,,,
10,LotSizeSource,varchar(100),YES,,,
11,MarketingComments,text,YES,,,
12,OwnerName2,varchar(65),YES,,,
13,AnnualExpenses,int(10),YES,,,
14,AnnualGrossSales,int(10),YES,,,
15,AnnualRent,int(10),YES,,,
16,ApproximateBuildingSquareFeet,int(10),YES,,,
17,ApproximateOfficeSquareFeet,int(10),YES,,,
18,ApproximateWarehouseManufacturingSquareFeet,int(10),YES,,,
19,BusinessName,varchar(40),YES,,,
20,BusinessType,varchar(40),YES,,,
21,CeilingHeight,varchar(40),YES,,,
22,DepthOfLot,int(10),YES,,,
23,EnvironmentalSurvey,tinyint(1),YES,,,
24,Equipment,int(10),YES,,,
25,ExpansionArea,tinyint(1),YES,,,
26,Features,varchar(400),YES,,,
27,Franchise,tinyint(1),YES,,,
28,GoodwillValue,int(10),YES,,,
29,HoursOfOperation,varchar(40),YES,,,
30,ImprovementsAssessedValue,int(10),YES,,,
31,InventoryValue,int(10),YES,,,
32,LandAssessedValue,int(10),YES,,,
33,LeaseTerms,varchar(400),YES,,,
34,LeasedItemsFlag,tinyint(1),YES,,,
35,Licenses,varchar(400),YES,,,
36,LiensMortgages,tinyint(1),YES,,,
37,Loading,varchar(400),YES,,,
38,Location,varchar(400),YES,,,
39,MajorTypeOfBusiness,varchar(400),YES,,,
40,NetProceeds,int(10),YES,,,
41,NumberOfEmployees,int(10),YES,,,
42,PadReady,tinyint(1),YES,,,
43,ParkingUncoveredTotal,int(10),YES,,,
44,PowerServiceInAmps,int(10),YES,,,
45,RealEstateValue,int(10),YES,,,
46,RealProperty,varchar(400),YES,,,
47,SignageStays,tinyint(1),YES,,,
48,SiteFrontage,int(10),YES,,,
49,TotalAssessedValue,int(10),YES,,,
50,TotalMonthlyRent,int(10),YES,,,
51,TotalMonthlyTripleNet,int(10),YES,,,
52,TotalSqftRented,int(10),YES,,,
53,YearEstablished,int(10),YES,,,
54,YearValueAssessed,int(10),YES,,,
55,YearsCurrentOwnerInBus,int(10),YES,,,
56,EquipmentValue,int(10),YES,,,
57,GrossScheduledIncome,int(10),YES,,,
58,TotalRoomsCount,int(10),YES,,,
59,Bathrooms,"decimal(5,2)",YES,,,
60,Bedrooms,"decimal(5,2)",YES,,,
61,EnergySource,varchar(400),YES,,,
62,EnvironmentalCertification,varchar(400),YES,,,
63,Exterior,varchar(400),YES,,,
64,Foundation,varchar(400),YES,,,
65,FullBathrooms,int(10),YES,,,
66,HalfBathrooms,int(10),YES,,,
67,HeatingCoolingType,varchar(400),YES,,,
68,LegalDescription,varchar(100),YES,,,
69,OccupantName,varchar(34),YES,,,
70,ParkingCoveredTotal,int(10),YES,,,
71,PhonetoShowNumber,varchar(25),YES,,,
72,Roof,varchar(400),YES,,,
73,ShowingInformation,varchar(400),YES,,,
74,ShowingInstructions,varchar(150),YES,,,
75,TotalUnitsCount,int(10),YES,,,
76,Unit,varchar(5),YES,,,
77,APN,varchar(40),YES,,,
78,Area,varchar(60),YES,,,
79,Association,varchar(4),YES,,,
80,Auction,tinyint(1),YES,,,
81,BankOrRealEstateOwned,tinyint(1),YES,,,
82,Block,varchar(40),YES,,,
83,BuiltGreenCertificationRating,varchar(32),YES,,,
84,CDOM,int(10),YES,,,
85,CDOM_ChangeNotes,varchar(250),YES,,,
86,CDOM_Initial,int(10),YES,,,
87,CalculatedSquareFootage,int(11),YES,,,
88,City,varchar(60),YES,,,
