,Field,Type,Null,Key,Default,Extra
0,Matrix_Unique_ID,bigint(19),NO,PRI,,
1,ADAFeatures,text,YES,,,
2,ADAFeaturesYN,tinyint(1),YES,,,
3,Access,text,YES,,,
4,Acres,"decimal(16,2)",YES,,,
5,ActiveOpenHouseCount,int(11),YES,,,
6,AdditionalRoomRemarks,varchar(50),YES,,,
7,Allowance,text,YES,,,
8,AnnualExpenses,int(11),YES,,,
9,AnnualFloodInsurance,int(11),YES,,,
10,AnnualTax,"decimal(16,2)",YES,,,
11,Appliances,text,YES,,,
12,AssignedSpacesYN,tinyint(1),YES,,,
13,AssociationAmenities,text,YES,,,
14,AssociationFeesIncluded,text,YES,,,
15,Attic,text,YES,,,
16,AvailableDate,datetime,YES,,,
17,Basement,text,YES,,,
18,BasementYN,tinyint(1),YES,,,
19,BathsFull,int(11),YES,,,
20,BathsHalf,int(11),YES,,,
21,BathsTotal,"decimal(7,2)",YES,,,
22,BedSizes,text,YES,,,
23,BedsTotal,int(11),YES,,,
24,BuilderModel,varchar(50),YES,,,
25,BuilderName,varchar(50),YES,,,
26,BuildingClass,varchar(75),YES,,,
27,BuildingFeatures,text,YES,,,
28,BuildingName,varchar(50),YES,,,
29,BuildingNumber,varchar(5),YES,,,
30,BuildingPermitNum,varchar(50),YES,,,
31,BuildtoSuitYN,tinyint(1),YES,,,
32,BuyerClientAgencyYN,tinyint(1),YES,,,
33,BuyerClientCommission,varchar(25),YES,,,
34,BuyerCustomerCommission,varchar(25),YES,,,
35,BuyerCustomerYN,tinyint(1),YES,,,
36,BuyerKickOutClauseEndDate,datetime,YES,,,
37,BuyerKickOutClauseYN,tinyint(1),YES,,,
38,CCRYN,tinyint(1),YES,,,
39,CDOM,int(11),YES,,,
40,Cable,text,YES,,,
41,CancelledDate,date,YES,,,
42,CapRate,"decimal(16,2)",YES,,,
43,CarportYN,tinyint(1),YES,,,
44,City,varchar(32),YES,MUL,,
45,ClearSpan,varchar(25),YES,,,
46,CloseDate,date,YES,,,
47,ClosePrice,"decimal(16,2)",YES,,,
48,ClosingCosts,int(11),YES,,,
49,ClosingRemarks,varchar(250),YES,,,
50,CoListAgent2DirectWorkPhone,varchar(50),YES,,,
51,CoListAgent2Email,varchar(80),YES,,,
52,CoListAgent2FullName,varchar(150),YES,,,
53,CoListAgent2MLSID,varchar(25),YES,,,
54,CoListAgent2_MUI,bigint(19),YES,,,
55,CoListAgentCellPhone,varchar(25),YES,,,
56,CoListAgentDirectWorkPhone,varchar(50),YES,,,
57,CoListAgentEmail,varchar(80),YES,,,
58,CoListAgentFullName,varchar(150),YES,,,
59,CoListAgentMLSID,varchar(25),YES,,,
60,CoListAgent_MUI,bigint(19),YES,,,
61,CoListOffice2Email,varchar(80),YES,,,
62,CoListOffice2MLSID,varchar(25),YES,,,
63,CoListOffice2Name,varchar(50),YES,,,
64,CoListOffice2Phone,varchar(50),YES,,,
65,CoListOffice2_MUI,bigint(19),YES,,,
66,CoListOfficeEmail,varchar(128),YES,,,
67,CoListOfficeMLSID,varchar(25),YES,,,
68,CoListOfficeName,varchar(50),YES,,,
69,CoListOfficePhone,varchar(50),YES,,,
70,CoListOffice_MUI,bigint(19),YES,,,
71,CoSAgtFrst,varchar(75),YES,,,
72,CoSAgtLast,varchar(50),YES,,,
73,CoSellingAgentCellPhone,varchar(12),YES,,,
74,CoSellingAgentDirectWorkPhone,varchar(50),YES,,,
75,CoSellingAgentEmail,varchar(80),YES,,,
76,CoSellingAgentFullName,varchar(150),YES,,,
77,CoSellingAgentMLSID,varchar(25),YES,,,
78,CoSellingAgent_MUI,bigint(19),YES,,,
79,CoSellingOfficeEmail,varchar(128),YES,,,
80,CoSellingOfficeMLSID,varchar(25),YES,,,
81,CoSellingOfficeName,varchar(50),YES,,,
82,CoSellingOfficePhone,varchar(50),YES,,,
83,CoSellingOffice_MUI,bigint(19),YES,,,
84,CommonWalls,text,YES,,,
85,Community,text,YES,,,
86,CommunityAssociationFee,"decimal(16,2)",YES,,,
87,CommunityAssociationFeeFrequency,varchar(75),YES,,,
88,CommunityAssociationMandatoryYN,tinyint(1),YES,,,
89,CommunityAssociationName,varchar(50),YES,,,
90,CommunityAssociationPhone,varchar(15),YES,,,
91,CommunityAssociationYN,tinyint(1),YES,,,
