,Field,Type,Null,Key,Default,Extra
0,AboveGradeFinishedArea,"decimal(13,2)",YES,,,
1,AboveGradeFinishedAreaSource,varchar(70),YES,,,
2,AboveGradeFinishedAreaUnits,varchar(45),YES,,,
3,AccessibilityFeatures,text,YES,,,
4,AdditionalParcelsDescription,text,YES,,,
5,AdditionalParcelsYN,tinyint(1),YES,,,
6,AnchorsCoTenants,text,YES,,,
7,Appliances,text,YES,,,
8,ArchitecturalStyle,text,YES,,,
9,AssociationAmenities,text,YES,,,
10,AssociationFee,"decimal(13,2)",YES,,,
11,AssociationFee2,"decimal(13,2)",YES,,,
12,AssociationFee2Frequency,varchar(45),YES,,,
13,AssociationFeeFrequency,varchar(45),YES,,,
14,AssociationFeeIncludes,text,YES,,,
15,AssociationName,varchar(70),YES,,,
16,AssociationPhone,varchar(36),YES,,,
17,AssociationYN,tinyint(1),YES,,,
18,AttachedGarageYN,tinyint(1),YES,,,
19,AvailabilityDate,date,YES,,,
20,Basement,text,YES,,,
21,BasementYN,tinyint(1),YES,,,
22,BathroomsFull,int(11),YES,,,
23,BathroomsHalf,int(11),YES,,,
24,BathroomsTotalInteger,int(11),YES,MUL,,
25,BedroomsPossible,int(11),YES,,,
26,BedroomsTotal,int(11),YES,MUL,,
27,BelowGradeFinishedArea,"decimal(13,2)",YES,,,
28,BelowGradeFinishedAreaSource,varchar(70),YES,,,
29,BelowGradeFinishedAreaUnits,varchar(45),YES,,,
30,BodyType,text,YES,,,
31,BuilderModel,varchar(70),YES,,,
32,BuilderName,varchar(70),YES,,,
33,BuildingAreaSource,varchar(70),YES,,,
34,BuildingAreaTotal,"decimal(13,2)",YES,MUL,,
35,BuildingAreaUnits,varchar(45),YES,,,
36,BuildingFeatures,text,YES,,,
37,BusinessName,text,YES,,,
38,BusinessType,text,YES,,,
39,BuyerAgencyCompensation,varchar(45),YES,,,
40,BuyerAgentAOR,varchar(70),YES,,,
41,BuyerAgentEmail,varchar(100),YES,,,
42,BuyerAgentFax,varchar(36),YES,,,
43,BuyerAgentFirstName,varchar(70),YES,,,
44,BuyerAgentFullName,varchar(170),YES,,,
45,BuyerAgentKey,text,YES,,,
46,BuyerAgentKeyNumeric,bigint(20),YES,,,
47,BuyerAgentLastName,varchar(70),YES,,,
48,BuyerAgentMiddleName,varchar(70),YES,,,
49,BuyerAgentMlsId,varchar(45),YES,,,
50,BuyerAgentMobilePhone,varchar(36),YES,,,
51,BuyerAgentOfficePhone,varchar(36),YES,,,
52,BuyerAgentPager,varchar(36),YES,,,
53,BuyerAgentPreferredPhone,varchar(36),YES,,,
54,BuyerAgentStateLicense,varchar(70),YES,,,
55,BuyerAgentURL,text,YES,,,
56,BuyerFinancing,text,YES,,,
57,BuyerOfficeEmail,varchar(100),YES,,,
58,BuyerOfficeFax,varchar(36),YES,,,
59,BuyerOfficeKey,text,YES,,,
60,BuyerOfficeKeyNumeric,bigint(20),YES,,,
61,BuyerOfficeMlsId,varchar(45),YES,,,
62,BuyerOfficeName,text,YES,,,
63,BuyerOfficePhone,varchar(36),YES,,,
64,BuyerOfficeURL,text,YES,,,
65,BuyerTeamKey,text,YES,,,
66,BuyerTeamKeyNumeric,bigint(20),YES,,,
67,BuyerTeamName,varchar(70),YES,,,
68,CapRate,"decimal(4,2)",YES,,,
69,CarportSpaces,"decimal(13,2)",YES,,,
70,CarportYN,tinyint(1),YES,,,
71,City,varchar(70),YES,MUL,,
72,CloseDate,date,YES,,,
73,ClosePrice,"decimal(13,2)",YES,,,
74,CoBuyerAgentAOR,varchar(70),YES,,,
75,CoBuyerAgentDirectPhone,varchar(36),YES,,,
76,CoBuyerAgentEmail,varchar(100),YES,,,
77,CoBuyerAgentFax,varchar(36),YES,,,
78,CoBuyerAgentFirstName,varchar(70),YES,,,
79,CoBuyerAgentFullName,varchar(170),YES,,,
80,CoBuyerAgentKey,text,YES,,,
81,CoBuyerAgentKeyNumeric,bigint(20),YES,,,
82,CoBuyerAgentLastName,varchar(70),YES,,,
83,CoBuyerAgentMiddleName,varchar(70),YES,,,
84,CoBuyerAgentMlsId,varchar(45),YES,,,
85,CoBuyerAgentMobilePhone,varchar(36),YES,,,
86,CoBuyerAgentNameSuffix,varchar(30),YES,,,
87,CoBuyerAgentOfficePhone,varchar(36),YES,,,
88,CoBuyerAgentPreferredPhone,varchar(36),YES,,,
89,CoBuyerAgentStateLicense,varchar(70),YES,,,
90,CoBuyerAgentURL,text,YES,,,
91,CoBuyerOfficeEmail,varchar(100),YES,,,
92,CoBuyerOfficeFax,varchar(36),YES,,,
93,CoBuyerOfficeKey,text,YES,,,
94,CoBuyerOfficeKeyNumeric,bigint(20),YES,,,
95,CoBuyerOfficeMlsId,varchar(45),YES,,,
96,CoBuyerOfficeName,text,YES,,,
97,CoBuyerOfficePhone,varchar(36),YES,,,
98,CoBuyerOfficeURL,text,YES,,,
99,CoListAgentAOR,varchar(70),YES,,,
100,CoListAgentDirectPhone,varchar(36),YES,,,
101,CoListAgentEmail,varchar(100),YES,,,
102,CoListAgentFax,varchar(36),YES,,,
103,CoListAgentFirstName,varchar(70),YES,,,
104,CoListAgentFullName,varchar(170),YES,,,
105,CoListAgentKey,text,YES,,,
106,CoListAgentKeyNumeric,bigint(20),YES,,,
107,CoListAgentLastName,varchar(70),YES,,,
108,CoListAgentMiddleName,varchar(70),YES,,,
109,CoListAgentMlsId,varchar(45),YES,MUL,,
110,CoListAgentMobilePhone,varchar(36),YES,,,
111,CoListAgentNameSuffix,varchar(30),YES,,,
112,CoListAgentOfficePhone,varchar(36),YES,,,
113,CoListAgentPreferredPhone,varchar(36),YES,,,
114,CoListAgentStateLicense,varchar(70),YES,,,
115,CoListAgentURL,text,YES,,,
116,CoListOfficeEmail,varchar(100),YES,,,
117,CoListOfficeFax,varchar(36),YES,,,
118,CoListOfficeKey,text,YES,,,
119,CoListOfficeKeyNumeric,bigint(20),YES,,,
120,CoListOfficeMlsId,varchar(45),YES,,,
121,CoListOfficeName,text,YES,,,
122,CoListOfficePhone,varchar(36),YES,,,
123,CoListOfficeURL,text,YES,,,
124,CommonInterest,varchar(45),YES,,,
125,CommonWalls,text,YES,,,
126,CommunityFeatures,text,YES,,,
127,Concessions,varchar(45),YES,,,
128,ConcessionsAmount,bigint(20),YES,,,
129,ConstructionMaterials,text,YES,,,
130,Contingency,text,YES,,,
131,ContingentDate,date,YES,,,
132,Cooling,text,YES,,,
133,CoolingYN,tinyint(1),YES,,,
134,Country,varchar(22),YES,,,
135,CountyOrParish,varchar(70),YES,,,
136,CoveredSpaces,"decimal(13,2)",YES,,,
137,CrossStreet,varchar(70),YES,,,
138,CultivatedArea,"decimal(13,2)",YES,,,
139,CumulativeDaysOnMarket,int(11),YES,,,
140,CurrentFinancing,text,YES,,,
141,CurrentUse,text,YES,,,
142,DaysOnMarket,int(11),YES,,,
143,DevelopmentStatus,text,YES,,,
144,DirectionFaces,varchar(45),YES,,,
145,Directions,text,YES,,,
146,Disclosures,text,YES,,,
147,DistanceToSewerNumeric,bigint(20),YES,,,
148,DistanceToWaterNumeric,bigint(20),YES,,,
149,DocumentsAvailable,text,YES,,,
150,DocumentsChangeTimestamp,datetime,YES,,,
151,DocumentsCount,int(11),YES,,,
152,Electric,text,YES,,,
153,ElectricExpense,"decimal(13,2)",YES,,,
154,ElementarySchool,varchar(70),YES,,,
155,ElementarySchoolDistrict,varchar(70),YES,,,
156,Elevation,int(11),YES,,,
157,EntryLevel,int(11),YES,,,
158,Exclusions,text,YES,,,
159,ExistingLeaseType,varchar(95),YES,,,
160,ExteriorFeatures,text,YES,,,
161,Fencing,text,YES,,,
162,FinancialDataSource,varchar(95),YES,,,
163,FireplaceFeatures,text,YES,,,
164,FireplaceYN,tinyint(1),YES,,,
165,FireplacesTotal,int(11),YES,,,
166,Flooring,text,YES,,,
167,FoundationDetails,text,YES,,,
168,FrontageLength,text,YES,,,
169,FrontageType,text,YES,,,
170,FuelExpense,"decimal(13,2)",YES,,,
171,Furnished,varchar(70),YES,,,
172,GarageSpaces,"decimal(13,2)",YES,,,
173,GarageYN,tinyint(1),YES,,,
174,GreenBuildingVerificationType,text,YES,,,
175,GreenEnergyEfficient,text,YES,,,
176,GreenEnergyGeneration,text,YES,,,
177,GreenIndoorAirQuality,text,YES,,,
178,GreenSustainability,text,YES,,,
179,GreenWaterConservation,text,YES,,,
180,GrossIncome,"decimal(13,2)",YES,,,
181,GrossScheduledIncome,"decimal(13,2)",YES,,,
182,HabitableResidenceYN,tinyint(1),YES,,,
183,Heating,text,YES,,,
184,HeatingYN,tinyint(1),YES,,,
185,HighSchool,varchar(70),YES,,,
186,HighSchoolDistrict,varchar(70),YES,,,
187,HomeWarrantyYN,tinyint(1),YES,,,
188,HorseAmenities,text,YES,,,
189,Inclusions,text,YES,,,
190,InsuranceExpense,"decimal(13,2)",YES,,,
191,InteriorFeatures,text,YES,,,
192,InternetAddressDisplayYN,tinyint(1),YES,,,
193,InternetAutomatedValuationDisplayYN,tinyint(1),YES,,,
194,InternetConsumerCommentYN,tinyint(1),YES,,,
195,InternetEntireListingDisplayYN,tinyint(1),YES,,,
196,LandLeaseAmount,"decimal(13,2)",YES,,,
197,LandLeaseYN,tinyint(1),YES,,,
198,Latitude,"decimal(11,8)",YES,,,
199,LaundryFeatures,text,YES,,,
200,LeasableArea,"decimal(13,2)",YES,,,
201,LeasableAreaUnits,varchar(45),YES,,,
202,LeaseAmount,"decimal(13,2)",YES,,,
203,LeaseAmountFrequency,varchar(45),YES,,,
204,LeaseExpiration,date,YES,,,
205,LeaseTerm,varchar(45),YES,,,
206,Levels,text,YES,,,
207,ListAOR,varchar(70),YES,,,
208,ListAgentAOR,varchar(70),YES,,,
209,ListAgentDirectPhone,varchar(36),YES,,,
210,ListAgentEmail,varchar(100),YES,,,
211,ListAgentFax,varchar(36),YES,,,
212,ListAgentFirstName,varchar(70),YES,,,
213,ListAgentFullName,varchar(170),YES,,,
214,ListAgentKey,text,YES,,,
215,ListAgentKeyNumeric,bigint(20),YES,,,
216,ListAgentLastName,varchar(70),YES,,,
217,ListAgentMiddleName,varchar(70),YES,,,
218,ListAgentMlsId,varchar(45),YES,MUL,,
219,ListAgentMobilePhone,varchar(36),YES,,,
220,ListAgentOfficePhone,varchar(36),YES,,,
221,ListAgentOfficePhoneExt,varchar(30),YES,,,
222,ListAgentPager,varchar(36),YES,,,
223,ListAgentPreferredPhone,varchar(36),YES,,,
224,ListAgentStateLicense,varchar(70),YES,,,
225,ListAgentURL,text,YES,,,
226,ListOfficeEmail,varchar(100),YES,,,
227,ListOfficeFax,varchar(36),YES,,,
228,ListOfficeKey,text,YES,,,
229,ListOfficeKeyNumeric,bigint(20),YES,,,
230,ListOfficeMlsId,varchar(45),YES,,,
231,ListOfficeName,varchar(255),YES,MUL,,
232,ListOfficePhone,varchar(36),YES,,,
233,ListOfficeURL,text,YES,,,
234,ListPrice,"decimal(13,2)",YES,MUL,,
235,ListTeamKey,text,YES,,,
236,ListTeamKeyNumeric,bigint(20),YES,,,
237,ListTeamName,varchar(70),YES,,,
238,ListingAgreement,varchar(70),YES,,,
239,ListingContractDate,date,YES,,,
240,ListingId,varchar(11),NO,PRI,,
241,ListingKey,varchar(11),NO,UNI,,
242,ListingKeyNumeric,bigint(20),YES,,,
243,ListingService,varchar(45),YES,,,
244,ListingTerms,text,YES,,,
245,LivingArea,"decimal(13,2)",YES,,,
246,LivingAreaSource,varchar(70),YES,,,
247,LivingAreaUnits,varchar(45),YES,,,
248,LockBoxType,text,YES,,,
249,Longitude,"decimal(13,8)",YES,,,
250,LotFeatures,text,YES,,,
251,LotSizeAcres,"decimal(15,4)",YES,,,
252,LotSizeArea,"decimal(15,4)",YES,,,
253,LotSizeDimensions,varchar(170),YES,,,
254,LotSizeSource,varchar(70),YES,,,
255,LotSizeSquareFeet,"decimal(13,2)",YES,,,
256,LotSizeUnits,varchar(45),YES,,,
257,MAR_Building_Square_Footage,text,YES,,,
258,MAR_Inactive_Date,text,YES,,,
259,MAR_IsDeleted,text,YES,,,
260,MAR_Neighborhood,text,YES,,,
261,MAR_StyleDescription,text,YES,,,
262,MainLevelBathrooms,int(11),YES,,,
263,MainLevelBedrooms,int(11),YES,,,
264,MaintenanceExpense,"decimal(13,2)",YES,,,
265,MajorChangeTimestamp,datetime,YES,,,
266,MajorChangeType,text,YES,,,
267,Make,varchar(70),YES,,,
268,ManagerExpense,"decimal(13,2)",YES,,,
269,MapCoordinate,varchar(45),YES,,,
270,MiddleOrJuniorSchool,varchar(70),YES,,,
271,MiddleOrJuniorSchoolDistrict,varchar(70),YES,,,
272,MlgCanView,tinyint(1),YES,,,
273,MlsStatus,varchar(70),YES,,,
274,Model,varchar(70),YES,,,
275,ModificationTimestamp,datetime,YES,,,
276,NetOperatingIncome,"decimal(13,2)",YES,,,
277,NewConstructionYN,tinyint(1),YES,,,
278,NumberOfBuildings,int(11),YES,,,
279,NumberOfFullTimeEmployees,int(11),YES,,,
280,NumberOfLots,int(11),YES,,,
281,NumberOfPartTimeEmployees,int(11),YES,,,
282,NumberOfUnitsInCommunity,int(11),YES,,,
283,NumberOfUnitsLeased,int(11),YES,,,
284,NumberOfUnitsTotal,int(11),YES,,,
285,OccupantType,varchar(70),YES,,,
286,OffMarketDate,date,YES,,,
287,OffMarketTimestamp,datetime,YES,,,
288,OnMarketDate,date,YES,,,
289,OnMarketTimestamp,datetime,YES,,,
290,OpenParkingSpaces,"decimal(13,2)",YES,,,
291,OperatingExpense,"decimal(13,2)",YES,,,
292,OperatingExpenseIncludes,text,YES,,,
293,OriginalEntryTimestamp,datetime,YES,,,
294,OriginalListPrice,"decimal(13,2)",YES,,,
295,OriginatingSystemID,varchar(45),YES,,,
296,OriginatingSystemKey,text,YES,,,
297,OriginatingSystemModificationTimestamp,datetime,YES,,,
298,OriginatingSystemName,text,YES,,,
299,OtherEquipment,text,YES,,,
300,OtherExpense,"decimal(13,2)",YES,,,
301,OtherParking,text,YES,,,
302,OtherStructures,text,YES,,,
303,OwnerName,varchar(70),YES,,,
304,OwnerPays,text,YES,,,
305,OwnerPhone,varchar(36),YES,,,
306,Ownership,text,YES,,,
307,OwnershipType,varchar(70),YES,,,
308,ParcelNumber,varchar(70),YES,,,
309,ParkName,varchar(70),YES,,,
310,ParkingFeatures,text,YES,,,
311,ParkingTotal,"decimal(13,2)",YES,,,
312,PastureArea,"decimal(13,2)",YES,,,
313,PatioAndPorchFeatures,text,YES,,,
314,PendingTimestamp,datetime,YES,,,
315,PetsAllowed,text,YES,,,
316,PhotosChangeTimestamp,datetime,YES,,,
317,PhotosCount,int(11),YES,,,
318,PoolFeatures,text,YES,,,
319,PoolPrivateYN,tinyint(1),YES,,,
320,Possession,text,YES,,,
321,PossibleUse,text,YES,,,
322,PostalCode,varchar(30),YES,MUL,,
323,PostalCodePlus4,varchar(24),YES,,,
324,PreviousListPrice,"decimal(13,2)",YES,,,
325,PriceChangeTimestamp,datetime,YES,,,
326,PrivateRemarks,text,YES,,,
327,ProfessionalManagementExpense,"decimal(13,2)",YES,,,
328,PropertyAttachedYN,tinyint(1),YES,,,
329,PropertyCondition,text,YES,,,
330,PropertySubType,varchar(70),YES,,,
331,PropertyType,varchar(70),YES,,,
332,PublicRemarks,text,YES,,,
333,PublicSurveyRange,varchar(40),YES,,,
334,PublicSurveySection,varchar(40),YES,,,
335,PurchaseContractDate,date,YES,,,
336,RentIncludes,text,YES,,,
337,RoadFrontageType,text,YES,,,
338,RoadResponsibility,text,YES,,,
339,RoadSurfaceType,text,YES,,,
340,Roof,text,YES,,,
341,RoomsTotal,int(11),YES,,,
342,SecurityFeatures,text,YES,,,
343,SeniorCommunityYN,tinyint(1),YES,,,
344,Sewer,text,YES,,,
345,ShowingContactPhone,varchar(36),YES,,,
346,ShowingInstructions,text,YES,,,
347,ShowingRequirements,text,YES,,,
348,SourceSystemID,varchar(45),YES,,,
349,SourceSystemKey,text,YES,,,
350,SourceSystemName,text,YES,,,
351,SpaFeatures,text,YES,,,
352,SpaYN,tinyint(1),YES,,,
353,SpecialListingConditions,text,YES,,,
354,StandardStatus,varchar(45),YES,,,
355,StateOrProvince,varchar(22),YES,,,
356,StatusChangeTimestamp,datetime,YES,,,
357,Stories,int(11),YES,,,
358,StoriesTotal,int(11),YES,,,
359,StreetDirPrefix,varchar(35),YES,,,
360,StreetDirSuffix,varchar(35),YES,,,
361,StreetName,varchar(70),YES,,,
362,StreetNumber,varchar(45),YES,,,
363,StreetNumberNumeric,int(11),YES,,,
364,StreetSuffix,varchar(45),YES,,,
365,StructureType,varchar(45),YES,,,
366,SubAgencyCompensation,varchar(45),YES,,,
367,SubdivisionName,varchar(70),YES,,,
368,SyndicateTo,text,YES,,,
369,SyndicationRemarks,text,YES,,,
370,TaxAnnualAmount,"decimal(13,2)",YES,,,
371,TaxAssessedValue,bigint(20),YES,,,
372,TaxBlock,varchar(45),YES,,,
373,TaxBookNumber,varchar(45),YES,,,
374,TaxLegalDescription,text,YES,,,
375,TaxLot,varchar(45),YES,,,
376,TaxOtherAnnualAssessmentAmount,"decimal(13,2)",YES,,,
377,TaxYear,int(11),YES,,,
378,TenantPays,text,YES,,,
379,Topography,text,YES,,,
380,TotalActualRent,"decimal(13,2)",YES,,,
381,Township,varchar(70),YES,,,
382,TransactionBrokerCompensation,varchar(45),YES,,,
383,TrashExpense,"decimal(13,2)",YES,,,
384,UnitNumber,varchar(45),YES,,,
385,UniversalPropertyId,varchar(148),YES,,,
386,UnparsedAddress,text,YES,,,
387,Utilities,text,YES,,,
388,VacancyAllowance,int(11),YES,,,
389,VacancyAllowanceRate,"decimal(4,2)",YES,,,
390,Vegetation,text,YES,,,
391,VideosCount,int(11),YES,,,
392,View,text,YES,,,
393,ViewYN,tinyint(1),YES,,,
394,VirtualTourURLBranded,text,YES,,,
395,VirtualTourURLUnbranded,text,YES,,,
396,WaterBodyName,varchar(70),YES,,,
397,WaterSewerExpense,"decimal(13,2)",YES,,,
398,WaterSource,text,YES,,,
399,WaterfrontFeatures,text,YES,,,
400,WaterfrontYN,tinyint(1),YES,,,
401,WindowFeatures,text,YES,,,
402,WoodedArea,"decimal(13,2)",YES,,,
403,YearBuilt,int(11),YES,MUL,,
404,YearBuiltDetails,text,YES,,,
405,YearBuiltEffective,int(11),YES,,,
406,YearEstablished,int(11),YES,,,
407,Zoning,varchar(45),YES,,,
408,ZoningDescription,text,YES,,,
409,PictureLastDownloadedTimestamp,datetime,YES,,,
410,PictureDownloaded,int(11),NO,MUL,0,
411,PictureDownloadedCount,smallint(4),YES,,,
412,HasPictures,tinyint(2),NO,,0,
413,HoursUntilNextRetry,int(11),YES,,,
414,GeoOverride,int(11),NO,MUL,0,
415,GeoCacheV2Id,int(11),YES,,,
416,GeoAddress,varchar(100),YES,,,
417,GeoCity,varchar(50),YES,,,
418,GeoState,varchar(14),YES,,,
419,GeoZipCode,varchar(10),YES,,,
420,GeoTimestamp,datetime,YES,,,
421,added_timestamp,timestamp,NO,,CURRENT_TIMESTAMP,
422,PriceDropDate,datetime,YES,,,
423,PriceDropFrom,int(8),YES,,,
424,odata_entity,varchar(32),YES,,,
425,MlgCanUse,varchar(30),YES,,,
