,Field,Type,Null,Key,Default,Extra
0,AccessibilityFeatures,text,YES,,,
1,Appliances,text,YES,,,
2,ApprovalStatus,varchar(45),YES,,,
3,ArchitecturalStyle,text,YES,,,
4,AssociationAmenities,text,YES,,,
5,AssociationFee,"decimal(14,2)",YES,,,
6,AssociationFeeFrequency,varchar(45),YES,,,
7,AssociationFeeIncludes,text,YES,,,
8,AssociationYN,tinyint(1),YES,,,
9,AttachedGarageYN,tinyint(1),YES,,,
10,AvailabilityDate,date,YES,,,
11,BathroomsFull,bigint(20),YES,MUL,,
12,BathroomsHalf,bigint(20),YES,MUL,,
13,BathroomsPartial,bigint(20),YES,,,
14,BathroomsTotalDecimal,"decimal(5,2)",YES,,,
15,BathroomsTotalInteger,bigint(20),YES,MUL,,
16,BedroomsTotal,bigint(20),YES,,,
17,BridgeModificationTimestamp,datetime,YES,,,
18,BuilderName,varchar(70),YES,,,
19,BuildingAreaTotal,"decimal(14,2)",YES,,,
20,BuildingFeatures,text,YES,,,
21,BuyerAgencyCompensation,varchar(45),YES,,,
22,BuyerAgencyCompensationType,varchar(45),YES,,,
23,BuyerAgentFullName,varchar(170),YES,,,
24,BuyerOfficeName,text,YES,,,
25,CapRate,"decimal(5,2)",YES,,,
26,CarportSpaces,"decimal(14,2)",YES,,,
27,CarportYN,tinyint(1),YES,,,
28,City,varchar(70),YES,MUL,,
29,CoListAgentFullName,varchar(170),YES,,,
30,CoListAgentKey,varchar(275),YES,,,
31,CoListAgentMlsId,varchar(45),YES,,,
32,CoListOfficeKey,varchar(275),YES,,,
33,CoListOfficeMlsId,varchar(45),YES,,,
34,CommunityFeatures,text,YES,,,
35,ConstructionMaterials,text,YES,,,
36,ContractStatusChangeDate,date,YES,,,
37,Cooling,text,YES,,,
38,CoolingYN,tinyint(1),YES,,,
39,Country,varchar(22),YES,,,
40,CountyOrParish,varchar(70),YES,,,
41,CoveredSpaces,"decimal(14,2)",YES,,,
42,CurrentUse,text,YES,,,
43,Directions,text,YES,,,
44,DoorFeatures,text,YES,,,
45,Electric,text,YES,,,
46,ElectricOnPropertyYN,tinyint(1),YES,,,
47,ElementarySchool,varchar(70),YES,,,
48,EntryLocation,varchar(70),YES,,,
49,Exclusions,text,YES,,,
50,ExteriorFeatures,text,YES,,,
51,FeedTypes,text,YES,,,
52,Fencing,text,YES,,,
53,FireplaceFeatures,text,YES,,,
54,FireplaceYN,tinyint(1),YES,,,
55,FireplacesTotal,bigint(20),YES,,,
56,Flooring,text,YES,,,
57,FoundationDetails,text,YES,,,
58,FrontageType,text,YES,,,
59,Furnished,varchar(70),YES,,,
60,GarageSpaces,"decimal(14,2)",YES,,,
61,GarageYN,tinyint(1),YES,,,
62,Gas,text,YES,,,
63,GreenEnergyGeneration,text,YES,,,
64,Heating,text,YES,,,
65,HeatingYN,tinyint(1),YES,,,
66,HighSchool,varchar(70),YES,,,
67,HomeWarrantyYN,tinyint(1),YES,,,
68,HorseYN,tinyint(1),YES,,,
69,IDXParticipationYN,tinyint(1),YES,,,
70,InteriorFeatures,text,YES,,,
71,InternetAddressDisplayYN,tinyint(1),YES,,,
72,InternetAutomatedValuationDisplayYN,tinyint(1),YES,,,
73,InternetConsumerCommentYN,tinyint(1),YES,,,
74,InternetEntireListingDisplayYN,tinyint(1),YES,,,
75,LaundryFeatures,text,YES,,,
76,LeaseConsideredYN,tinyint(1),YES,,,
77,LeaseTerm,varchar(45),YES,,,
78,Levels,text,YES,,,
79,Latitude,"decimal(12,8)",YES,MUL,,
80,ListAgentFullName,varchar(170),YES,,,
81,ListAgentKey,varchar(275),YES,MUL,,
82,ListAgentMlsId,varchar(45),YES,MUL,,
83,ListOfficeKey,varchar(275),YES,MUL,,
84,ListOfficeMlsId,varchar(45),YES,MUL,,
85,ListOfficeName,text,YES,,,
86,ListPrice,"decimal(14,2)",YES,MUL,,
87,ListingAgreement,varchar(45),YES,,,
88,ListingId,varchar(275),YES,MUL,,
89,ListingKey,varchar(275),NO,PRI,,
90,ListingTerms,text,YES,,,
91,LivingArea,"decimal(14,2)",YES,,,
92,LivingAreaSource,varchar(70),YES,,,
93,LivingAreaUnits,varchar(45),YES,,,
94,Longitude,"decimal(12,8)",YES,MUL,,
95,LotFeatures,text,YES,,,
96,LotSizeAcres,"decimal(16,2)",YES,MUL,,
97,LotSizeArea,"decimal(16,2)",YES,,,
98,LotSizeDimensions,varchar(170),YES,,,
99,LotSizeSquareFeet,"decimal(14,2)",YES,,,
100,LotSizeUnits,varchar(45),YES,,,
101,MLSAreaMajor,varchar(70),YES,,,
102,MainLevelBathrooms,bigint(20),YES,,,
103,MainLevelBedrooms,bigint(20),YES,,,
104,MiddleOrJuniorSchool,varchar(70),YES,,,
105,MlsStatus,varchar(70),YES,,,
106,Model,varchar(70),YES,,,
107,ModificationTimestamp,datetime,YES,,,
108,NewConstructionYN,tinyint(1),YES,,,
109,NumberOfBuildings,bigint(20),YES,,,
110,NumberOfUnitsLeased,bigint(20),YES,,,
111,NumberOfUnitsTotal,bigint(20),YES,,,
112,OccupantType,varchar(70),YES,,,
113,OpenParkingYN,tinyint(1),YES,,,
114,OriginalEntryTimestamp,datetime,YES,,,
115,OriginalListPrice,"decimal(14,2)",YES,,,
116,OriginatingSystemKey,varchar(275),YES,,,
117,OriginatingSystemName,text,YES,,,
118,OtherEquipment,text,YES,,,
119,OtherParking,text,YES,,,
120,OtherStructures,text,YES,,,
121,ParcelNumber,varchar(70),YES,,,
122,ParkingFeatures,text,YES,,,
123,ParkingTotal,"decimal(14,2)",YES,,,
124,PatioAndPorchFeatures,text,YES,,,
125,PetsAllowed,text,YES,,,
126,PhotosChangeTimestamp,datetime,YES,,,
127,PhotosCount,bigint(20),YES,,,
128,PoolFeatures,text,YES,,,
129,PoolPrivateYN,tinyint(1),YES,,,
130,PossibleUse,text,YES,,,
131,PostalCode,varchar(30),YES,,,
132,PostalCodePlus4,varchar(24),YES,,,
133,PriceChangeTimestamp,datetime,YES,,,
134,PropertyAttachedYN,tinyint(1),YES,,,
135,PropertyCondition,text,YES,,,
136,PropertySubType,varchar(70),YES,,,
137,PropertyType,varchar(70),YES,,,
138,PublicRemarks,text,YES,,,
139,RoadFrontageType,text,YES,,,
140,RoadSurfaceType,text,YES,,,
141,Roof,text,YES,,,
142,RoomBathroom1Level,varchar(45),YES,,,
143,RoomBathroom2Level,varchar(45),YES,,,
144,RoomBathroom3Level,varchar(45),YES,,,
145,RoomBathroom4Level,varchar(45),YES,,,
146,RoomBathroom5Level,varchar(45),YES,,,
147,RoomBedroom1Level,varchar(45),YES,,,
148,RoomBedroom2Level,varchar(45),YES,,,
149,RoomBedroom3Level,varchar(45),YES,,,
150,RoomBedroom4Level,varchar(45),YES,,,
151,RoomBedroom5Level,varchar(45),YES,,,
152,RoomBedroomLevel,varchar(45),YES,,,
153,RoomDiningRoomLevel,varchar(45),YES,,,
154,RoomFamilyRoomLevel,varchar(45),YES,,,
155,RoomKitchenLevel,varchar(45),YES,,,
156,RoomLivingRoomLevel,varchar(45),YES,,,
157,RoomMasterBathroomLevel,varchar(45),YES,,,
158,RoomMasterBedroomLevel,varchar(45),YES,,,
159,RoomOfficeLevel,varchar(45),YES,,,
160,SecurityFeatures,text,YES,,,
161,SeniorCommunityYN,tinyint(1),YES,,,
162,Sewer,text,YES,,,
163,ShowingInstructions,text,YES,,,
164,SignOnPropertyYN,tinyint(1),YES,,,
165,SpaFeatures,text,YES,,,
166,SpaYN,tinyint(1),YES,,,
167,SpecialListingConditions,text,YES,,,
168,StandardStatus,varchar(45),YES,MUL,,
169,StateOrProvince,varchar(22),YES,,,
170,Stories,bigint(20),YES,,,
171,StreetDirPrefix,varchar(35),YES,,,
172,StreetName,varchar(70),YES,,,
173,StreetNumber,varchar(45),YES,,,
174,StreetSuffix,varchar(45),YES,,,
175,StructureType,varchar(60),YES,,,
176,SubdivisionName,varchar(70),YES,,,
177,TaxLegalDescription,text,YES,,,
178,TaxLot,varchar(45),YES,,,
179,TenantPays,text,YES,,,
180,TotalActualRent,"decimal(14,2)",YES,,,
181,UnitNumber,varchar(45),YES,,,
182,UnparsedAddress,text,YES,,,
183,Utilities,text,YES,,,
184,View,text,YES,,,
185,ViewYN,tinyint(1),YES,,,
186,VirtualTourURLUnbranded,text,YES,,,
187,VirtualTourURLZillow,text,YES,,,
188,WaterSource,text,YES,,,
189,WaterfrontFeatures,text,YES,,,
190,WaterfrontYN,tinyint(1),YES,,,
191,WindowFeatures,text,YES,,,
192,WoodedArea,"decimal(14,2)",YES,,,
193,YearBuilt,bigint(20),YES,,,
194,Zoning,varchar(45),YES,,,
195,PictureLastDownloadedTimestamp,datetime,YES,,,
196,PictureDownloaded,int(11),NO,MUL,0,
197,PictureDownloadedCount,smallint(4),YES,,,
198,HasPictures,tinyint(2),NO,,0,
199,HoursUntilNextRetry,int(11),YES,,,
200,GeoOverride,int(11),NO,,0,
201,GeoCacheV2Id,int(11),YES,,,
202,GeoAddress,varchar(100),YES,,,
203,GeoCity,varchar(50),YES,,,
204,GeoState,varchar(14),YES,,,
205,GeoZipCode,varchar(10),YES,,,
206,GeoTimestamp,datetime,YES,,,
207,added_timestamp,timestamp,NO,,CURRENT_TIMESTAMP,
208,PriceDropDate,datetime,YES,,,
209,PriceDropFrom,int(8),YES,,,
